overlay,level,k,policy,mode,late_submissions,n_jobs,n_dropped,offered_work_s,p99_dl_s,p99_dl_realised_window_s,n_dl_recorded,n_dl_realised,mean_s,p99_all_s,max_s,max_heavy_s,max_excess_s,harm_s,fired_fraction_queue_weighted,fired_pct,max_fcfs_own_s,seconds,drift_mean_s,drift_p50_s,drift_p99_s,drift_max_s,share_arriving_past_deadline,dl_arrivals_per_hour_mean,dl_arrivals_per_hour_p99,dl_arrivals_per_hour_max,busy_hour_work_s,rho_busy_hour,span_days,bound_violations,worst_ratio_to_bound,bmax_s,gap_closed,reduction_pct
0,0,8,FCFS,closed,dropped,17557279,77481,7024068.999414,8.829146100000008,8.824928450000138,4202487,4203556,0.23568767751409544,4.811750619999796,232.453219,230.709251,0.0,0.0,1.0,100.0,232.453219,2.0,37.19923122051971,2.855032,375.2651613199908,1049.33353,0.0,1141.6699266503667,7953.799999999994,12180.0,13204.748717000159,0.4584982193402833,208.32048956768517,,nan,,0.0,0.0
1,0,8,FCFS,closed,dropped,17557890,76870,7023522.393984,8.010491079999994,8.00841950000001,4203098,4204291,0.22489577209032519,4.225312489999965,192.041417,191.849237,0.0,0.0,1.0,100.0,192.041417,1.8,36.06381197389942,2.053646,367.003049,952.055122,0.0,1129.561408223596,7793.000000000008,12763.0,12666.641544999875,0.4398139425347179,208.32048956768517,,nan,,0.0,0.0
2,0,8,FCFS,closed,dropped,17555177,79583,7021003.994515,10.177186000000004,10.173149199999996,4200385,4201675,0.2655801881347593,5.699229799999804,188.739208,183.629239,0.0,0.0,1.0,100.0,188.739208,1.7,42.89510387532971,2.786007,437.085746,1023.165738,0.0,1129.135752688172,7989.099999999999,12068.0,13003.065167999948,0.45149531833333156,208.32048956768517,,nan,,0.0,0.0
0,0,8,Guard(600),closed,dropped,17565646,69114,7028480.14086,5.3779730199999305,5.37750619999997,4210854,4211346,0.1260978026734115,1.9276961000000163,614.577521,614.577521,459.316729,224.135388,3.34501487200345e-05,0.00010816567748205787,237.966623,7.0,17.30678097376117,1.081044,150.045541,1161.253427,0.0,1143.9429502852486,7925.999999999986,12209.0,13199.065311000146,0.45830087885417176,208.32048956768517,0,0.8055274224768827,3480.0,0.8228144205322104,39.08841286475115
1,0,8,Guard(600),closed,dropped,17565871,68889,7029285.750856,5.086157479999991,5.085743599999993,4211079,4211615,0.12170023159028096,1.7369609000000394,590.106057,590.106057,474.999203,200.043331,2.1243894461565633e-05,9.677857704864166e-05,176.064768,6.8,16.74807859285452,0.924402,150.854029,794.632178,0.0,1131.706261757592,7786.000000000002,12750.0,13390.429999999822,0.4649454861111049,208.32048956768517,0,0.8251998337020553,3480.0,0.789472408263105,36.50629619076994
2,0,8,Guard(600),closed,dropped,17564272,70488,7027203.10204,6.320172659999991,6.319310850000004,4209480,4210066,0.14268597070672784,2.3184547599999608,584.933558,584.933558,478.458888,147.223302,3.4858371323542224e-05,8.540063601839006e-05,180.08762,6.5,20.27194449365906,1.130104,172.8964933199932,820.083372,0.0,1131.5806451612902,7971.43,12077.0,13121.732104999894,0.4556156980902741,208.32048956768517,0,0.827961118549374,3480.0,0.8812679638695874,37.898622860975635
0,0,8,SJF,closed,dropped,17566750,68010,7030160.587415,4.634794380000011,4.63353125,4211958,4212426,0.1240080256567094,1.5726067000001147,1093.892743,1093.892743,961.96612,230.918093,0.0,0.0,341.710637,1.9,15.86727980097172,0.949937,133.33827444000204,1222.042266,0.0,1144.2428687856561,7905.599999999991,12254.0,14557.861648999895,0.5054813072569408,208.32048956768517,,nan,,1.0,47.505745997339346
1,0,8,SJF,closed,dropped,17566953,67807,7030329.443866,4.306329199999978,4.3055148000000045,4212161,4212649,0.12005843245718252,1.4242917600000053,828.679311,828.679311,759.130035,247.033442,0.0,0.0,253.255717,1.8,15.165734623051133,0.813053,137.629825,863.165524,0.0,1131.9970438054286,7785.6,12744.0,13583.937533999824,0.47166449770832725,208.32048956768517,,nan,,1.0,46.24138324363528
2,0,8,SJF,closed,dropped,17565516,69244,7028404.900802,5.800522490000014,5.798612440000048,4210724,4211237,0.1426589014116067,1.9599268000000716,753.05697,753.05697,639.483344,410.801654,0.0,0.0,255.090547,1.7,18.086811931221433,1.024766,156.128634,822.77682,0.0,1131.915053763441,7959.389999999999,12081.0,13465.06159499991,0.46753686093749686,208.32048956768517,,nan,,1.0,43.00465285787239
0,0,8,SPJF-E,closed,dropped,17565791,68969,7029149.472086,5.260056039999999,5.259240199999988,4210999,4211517,0.12374647407110788,1.8866349000000133,748.620061,748.620061,572.389156,214.601221,0.0,0.0,176.976636,1.9,17.094085944098843,1.052347,146.472601,1086.78391,0.0,1143.9823417549578,7891.199999999985,12208.0,13111.356767999938,0.4552554433333312,208.32048956768517,,nan,,0.85092769950156,40.42395515462142
