policy,mean_s,p99_s,p999_s,max_s,p99_heavy_s,max_heavy_s,frac_waiting,max_excess_fcfs_s,fire_rate,trace,cap,rho,k,L,gap_p99,gap_mean,busy_hour_load,n,bound_violation_s,bound_slack_med_L
FCFS,8.331226976391324,166.37809663469505,763.7363115016353,877.8461300951894,769.6951374010647,877.8461300951894,0.07266667981305831,0.0,0.0,azure,busy-hour rho=0.5,0.5,30,286.7772170000109,0.0,0.0,14.632731634476167,456399,,
SJF-true (reference),2.49598963235422,23.737867810344348,720.3415973363567,1313.251185038127,883.4103290612338,1313.251185038127,0.06962109908216275,1288.7180200277362,0.0,azure,busy-hour rho=0.5,0.5,30,286.7772170000109,1.0,1.0,14.632731634476167,456399,,
SPJF-log,3.7731770402145575,52.64830811291995,931.9397169233594,1286.1157800988294,1103.562806143169,1286.1157800988294,0.07083494924397293,1137.8574740039185,0.0,azure,busy-hour rho=0.5,0.5,30,286.7772170000109,0.7973191676649906,0.7811250284162878,14.632731634476167,456399,,
SPJF-tweedie,3.6159266230082823,56.98110772926021,871.2513636688581,1302.5749160724226,942.29264809906,1302.5749160724226,0.0709445025076742,1212.3591950149275,0.0,azure,busy-hour rho=0.5,0.5,30,286.7772170000109,0.7669434479115139,0.8080734467813036,14.632731634476167,456399,,
SPJF-ent-tweedie,3.614500740317731,57.14758150725681,852.6456877455211,1300.0381369874813,913.253195272479,1300.0381369874813,0.07117237329617286,1209.6417641139124,0.0,azure,busy-hour rho=0.5,0.5,30,286.7772170000109,0.7657763593603479,0.8083178040553068,14.632731634476167,456399,,
guard G=2L (B=0s),8.331226976391324,166.37809663469505,763.7363115016353,877.8461300951894,769.6951374010647,877.8461300951894,0.07266667981305831,0.0,1.0,azure,busy-hour rho=0.5,0.5,30,286.7772170000109,0.0,0.0,14.632731634476167,456399,-841.2131698666985,2.933333333333333
guard G=5L (B=17780s),3.6079162532193223,56.98110772926021,848.5835463308675,1127.3514239552896,917.7788157109636,1127.3514239552896,0.0709445025076742,627.5275708327536,0.00011612645952335567,azure,busy-hour rho=0.5,0.5,30,286.7772170000109,0.7669434479115139,0.8094462049600512,14.632731634476167,456399,-806.3585141673011,5.0
guard G=15L (B=103813s),3.6159266230082823,56.98110772926021,871.2513636688581,1302.5749160724226,942.29264809906,1302.5749160724226,0.0709445025076742,1212.3591950149275,0.0,azure,busy-hour rho=0.5,0.5,30,286.7772170000109,0.7669434479115139,0.8080734467813036,14.632731634476167,456399,-3089.2990599852355,14.999999999999998
guard B/k=0.001L (B=9s),7.182293101242393,152.0888178450177,751.2454267065608,878.16939109331,769.9491363775913,878.16939109331,0.07236650387051681,65.14239114348311,0.037403675292890654,azure,busy-hour rho=0.5,0.5,30,286.7772170000109,0.10017706019858803,0.19689582572386724,14.632731634476167,456399,-776.3575559402155,2.934333333333333
guard B/k=0.01L (B=86s),5.9199653983380385,130.21421244136167,742.2108599316828,880.724850180326,772.1651938979742,880.724850180326,0.07195239253372597,96.92158107738942,0.020280500176380754,azure,busy-hour rho=0.5,0.5,30,286.7772170000109,0.2535321521242519,0.4132242505126718,14.632731634476167,456399,-747.1593609593093,2.943333333333333
