policy,mean_s,p99_s,p999_s,max_s,p99_heavy_s,max_heavy_s,frac_waiting,max_excess_fcfs_s,fire_rate,trace,cap,rho,k,L,gap_p99,gap_mean,busy_hour_load,n,bound_violation_s,bound_slack_med_L
FCFS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,netbatch,busy-hour rho=0.5,0.5,42026,493857.4580000127,,,21012.62138888889,2021586,,
SJF-true (reference),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,netbatch,busy-hour rho=0.5,0.5,42026,493857.4580000127,,,21012.62138888889,2021586,,
SPJF-log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,netbatch,busy-hour rho=0.5,0.5,42026,493857.4580000127,,,21012.62138888889,2021586,,
SPJF-tweedie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,netbatch,busy-hour rho=0.5,0.5,42026,493857.4580000127,,,21012.62138888889,2021586,,
SPJF-ent-tweedie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,netbatch,busy-hour rho=0.5,0.5,42026,493857.4580000127,,,21012.62138888889,2021586,,
guard G=2L (B=0s),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,netbatch,busy-hour rho=0.5,0.5,42026,493857.4580000127,,,21012.62138888889,2021586,-1481548.8715273782,2.9999524104126016
guard G=5L (B=41510694775s),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,netbatch,busy-hour rho=0.5,0.5,42026,493857.4580000127,,,21012.62138888889,2021586,-2469287.2900000634,5.0
guard G=15L (B=249059230074s),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,netbatch,busy-hour rho=0.5,0.5,42026,493857.4580000127,,,21012.62138888889,2021586,-7407861.87000019,15.0
guard B/k=0.001L (B=20754854s),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,netbatch,busy-hour rho=0.5,0.5,42026,493857.4580000127,,,21012.62138888889,2021586,-1482042.7289853783,3.000952410412602
guard B/k=0.01L (B=207548535s),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,netbatch,busy-hour rho=0.5,0.5,42026,493857.4580000127,,,21012.62138888889,2021586,-1486487.4461073782,3.0099524104126014
guard B/k=0.1L (B=2075485353s),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,netbatch,busy-hour rho=0.5,0.5,42026,493857.4580000127,,,21012.62138888889,2021586,-1530934.6173273795,3.0999524104126017
"guard rel eta=0.5 (C0=20754853530s,Bmax=249059230074s)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,netbatch,busy-hour rho=0.5,0.5,42026,493857.4580000127,,,21012.62138888889,2021586,-3950812.659054782,7.999904820825203
"guard rel eta=0.75 (C0=20754853530s,Bmax=249059230074s)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,netbatch,busy-hour rho=0.5,0.5,42026,493857.4580000127,,,21012.62138888889,2021586,-7407861.87000019,15.0
FCFS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,netbatch,busy-hour rho=0.8,0.8,26266,493857.4580000127,,,21012.62138888889,2021586,,
SJF-true (reference),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,netbatch,busy-hour rho=0.8,0.8,26266,493857.4580000127,,,21012.62138888889,2021586,,
SPJF-log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,netbatch,busy-hour rho=0.8,0.8,26266,493857.4580000127,,,21012.62138888889,2021586,,
SPJF-tweedie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,netbatch,busy-hour rho=0.8,0.8,26266,493857.4580000127,,,21012.62138888889,2021586,,
SPJF-ent-tweedie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,netbatch,busy-hour rho=0.8,0.8,26266,493857.4580000127,,,21012.62138888889,2021586,,
guard G=2L (B=0s),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,netbatch,busy-hour rho=0.8,0.8,26266,493857.4580000127,,,21012.62138888889,2021586,-1481534.7696858677,2.99992385593543
guard G=5L (B=25944307699s),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,netbatch,busy-hour rho=0.8,0.8,26266,493857.4580000127,,,21012.62138888889,2021586,-2469287.2900000634,5.0
guard G=15L (B=155660907617s),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,netbatch,busy-hour rho=0.8,0.8,26266,493857.4580000127,,,21012.62138888889,2021586,-7407861.870000189,14.999999999999998
guard B/k=0.001L (B=12971660s),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,netbatch,busy-hour rho=0.8,0.8,26266,493857.4580000127,,,21012.62138888889,2021586,-1482028.6271438678,3.0009238559354303
guard B/k=0.01L (B=129716600s),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,netbatch,busy-hour rho=0.8,0.8,26266,493857.4580000127,,,21012.62138888889,2021586,-1486473.3442658677,3.0099238559354298
guard B/k=0.1L (B=1297165999s),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,netbatch,busy-hour rho=0.8,0.8,26266,493857.4580000127,,,21012.62138888889,2021586,-1530920.515485869,3.09992385593543
"guard rel eta=0.5 (C0=12971659992s,Bmax=155660907617s)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,netbatch,busy-hour rho=0.8,0.8,26266,493857.4580000127,,,21012.62138888889,2021586,-3950784.4553717608,7.99984771187086
"guard rel eta=0.75 (C0=12971659992s,Bmax=155660907617s)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,netbatch,busy-hour rho=0.8,0.8,26266,493857.4580000127,,,21012.62138888889,2021586,-7407861.870000189,14.999999999999998
FCFS,0.9718151985619212,34.0,144.0,223.0,12.0,207.0,0.018741720609462074,0.0,0.0,netbatch,busy-hour rho=1.0,1.0,21013,493857.4580000127,0.0,0.0,21012.62138888889,2021586,,
SJF-true (reference),0.5631152966037557,2.0,168.0,1088.0,14.520000000004075,1088.0,0.013267305966701393,1056.0,0.0,netbatch,busy-hour rho=1.0,1.0,21013,493857.4580000127,1.0,1.0,21012.62138888889,2021586,,
SPJF-log,0.5993719782388679,2.0,185.0,1103.0,3.0,848.0,0.013772849633901303,1099.0,0.0,netbatch,busy-hour rho=1.0,1.0,21013,493857.4580000127,1.0,0.9112877652737401,21012.62138888889,2021586,,
