overlay,level,k,policy,n,sigma_s,bound_abs_s,bound_prearrival_s,max_wait_s,ratio_max_wait_over_bound_abs,per_job_violations,ties,min_slack_s,promise_named_s,promise_own_s,violations_own_constant,bound_kind,sim_seconds
k1_rep0,0,1,FCFS,3209347,1428.632137,1428.632137,1427.255747,1427.255747,0.9990365679419123,0,3209347,0.0,0.0,0.0,0,non-strict,2.4
k1_rep0,0,1,SJF,3209347,1428.632137,,,2366.659154,,,,,,,,none,2.2
k1_rep0,0,1,SPJF-E,3209347,1428.632137,,,2698.216522,,,,,,,,none,2.4
k1_rep0,0,1,Guard(300),3209347,1428.632137,1728.632137,1727.255747,1672.877849,0.9677465859816997,0,0,4.865147,300.0,300.0,0,strict,3.8
k1_rep0,0,1,Guard-age(300),3209347,1428.632137,1728.632137,1727.255747,1672.877849,0.9677465859816997,0,0,4.865147,300.0,300.0,0,strict,3.8
k1_rep0,0,1,Guard-fixed(300),3209347,1428.632137,1728.632137,1727.255747,1520.848215,0.8797986468303175,0,0,159.684189,300.0,300.0,0,strict,3.8
k1_rep0,0,1,Guard-queue(300),3209347,1428.632137,1728.632137,1727.255747,1672.877849,0.9677465859816997,0,0,4.865147,300.0,300.0,0,strict,4.4
k1_rep0,0,1,Fixed(300),3209347,1428.632137,1728.632137,1727.255747,1672.877849,0.9677465859816997,0,0,4.865147,300.0,300.0,0,strict,4.0
k1_rep0,0,1,Skip(300),3209347,1428.632137,1728.632137,1727.255747,1428.377634,0.8263051481149224,0,0,204.914117,300.0,300.0,0,non-strict,2.5
k1_rep0,0,1,Guard(600),3209347,1428.632137,2028.632137,2027.255747,1979.775445,0.9759164359526263,0,0,7.468068,600.0,600.0,0,strict,4.0
k1_rep0,0,1,Guard-age(600),3209347,1428.632137,2028.632137,2027.255747,1979.775445,0.9759164359526263,0,0,7.468068,600.0,600.0,0,strict,4.0
k1_rep0,0,1,Guard-fixed(600),3209347,1428.632137,2028.632137,2027.255747,1672.743553,0.8245672157563774,0,0,296.734691,600.0,600.0,0,strict,4.1
k1_rep0,0,1,Guard-queue(600),3209347,1428.632137,2028.632137,2027.255747,1979.775445,0.9759164359526263,0,0,7.468068,600.0,600.0,0,strict,4.1
k1_rep0,0,1,Fixed(600),3209347,1428.632137,2028.632137,2027.255747,1979.775445,0.9759164359526263,0,0,7.468068,600.0,600.0,0,strict,4.3
k1_rep0,0,1,Skip(600),3209347,1428.632137,2028.632137,2027.255747,1429.453763,0.7046392181846817,0,0,499.145436,600.0,600.0,0,non-strict,2.5
k1_rep0,0,1,Guard(1200),3209347,1428.632137,2628.632137,2627.255747,2205.219206,0.838922713817525,0,0,34.854649,1200.0,1200.0,0,strict,3.9
k1_rep0,0,1,Guard-queue(1200),3209347,1428.632137,2628.632137,2627.255747,2205.219206,0.838922713817525,0,0,34.854649,1200.0,1200.0,0,strict,3.9
k1_rep0,0,1,Guard-fixed(1200),3209347,1428.632137,2628.632137,2627.255747,1936.695364,0.7367692636560046,0,0,641.060385,1200.0,1200.0,0,strict,3.5
k1_rep0,0,1,Guard-age(1200),3209347,1428.632137,2628.632137,2627.255747,2205.219206,0.838922713817525,0,0,18.66253,1200.0,1200.0,0,strict,3.6
k1_rep0,0,1,Fixed(1200),3209347,1428.632137,2628.632137,2627.255747,2205.219206,0.838922713817525,0,0,28.33449,1200.0,1200.0,0,strict,3.6
k1_rep0,0,1,Skip(1200),3209347,1428.632137,2628.632137,2627.255747,1431.89999,0.5447319805022988,0,0,1033.133001,1200.0,1200.0,0,non-strict,2.3
0,0,8,FCFS,17634760,3648.166913,508.520864125,507.244703125,435.022874,0.8554671099848258,0,0,41.11665075,0.0,0.0,0,non-strict,8.2
0,0,8,SJF,17634760,3648.166913,,,1185.898583,,,,,,,,none,8.0
0,0,8,SPJF-E,17634760,3648.166913,,,1374.79477,,,,,,,,none,9.4
0,0,8,Aging(600),17634760,3648.166913,,,502.087611,,,,,,,,none,9.6
0,0,8,Guard(300),17634760,3648.166913,808.520864125,807.244703125,578.81456,0.7158931645213714,0,0,187.301602625,300.0,300.0,0,strict,16.9
0,0,8,Guard-age(300),17634760,3648.166913,808.520864125,807.244703125,578.81456,0.7158931645213714,0,0,187.301602625,300.0,300.0,0,strict,16.9
0,0,8,Guard-fixed(300),17634760,3648.166913,808.520864125,807.244703125,535.600003,0.6624442568710194,0,0,226.932810125,300.0,300.0,0,strict,16.8
0,0,8,Guard-queue(300),17634760,3648.166913,808.520864125,807.244703125,579.154618,0.7163137572544582,0,0,188.865721,300.0,300.0,0,strict,16.6
0,0,8,Fixed(300),17634760,3648.166913,808.520864125,807.244703125,579.079319,0.7162206254586801,0,0,188.865721,300.0,300.0,0,strict,16.4
0,0,8,Skip(300),17634760,3648.166913,808.520864125,807.244703125,435.757824,0.5389568078389507,0,0,306.701176625,300.0,300.0,0,non-strict,9.0
0,0,8,Guard(600),17634760,3648.166913,1108.520864125,1107.244703125,867.204574,0.7823078500958297,0,0,176.179240375,600.0,600.0,0,strict,17.1
0,0,8,Guard-age(600),17634760,3648.166913,1108.520864125,1107.244703125,867.204574,0.7823078500958297,0,0,176.179240375,600.0,600.0,0,strict,17.1
0,0,8,Guard-fixed(600),17634760,3648.166913,1108.520864125,1107.244703125,691.268104,0.6235950322375264,0,0,378.063696375,600.0,600.0,0,strict,16.5
0,0,8,Guard-queue(600),17634760,3648.166913,1108.520864125,1107.244703125,862.006149,0.777618335294407,0,0,182.81245825,600.0,600.0,0,strict,16.9
0,0,8,Fixed(600),17634760,3648.166913,1108.520864125,1107.244703125,870.466887,0.7852507924486334,0,0,181.300151375,600.0,600.0,0,strict,16.3
0,0,8,Skip(600),17634760,3648.166913,1108.520864125,1107.244703125,436.799138,0.3940378139339607,0,0,582.87850425,600.0,600.0,0,non-strict,9.0
0,0,8,Guard(1200),17634760,3648.166913,1708.520864125,1707.244703125,1182.835835,0.692315709943511,0,0,426.51070875,1200.0,1200.0,0,strict,17.0
0,0,8,Guard-queue(1200),17634760,3648.166913,1708.520864125,1707.244703125,1182.835835,0.692315709943511,0,0,426.51070875,1200.0,1200.0,0,strict,17.0
0,0,8,Guard-fixed(1200),17634760,3648.166913,1708.520864125,1707.244703125,933.00812,0.546091147957874,0,0,716.435891,1200.0,1200.0,0,strict,16.5
0,0,8,Guard-age(1200),17634760,3648.166913,1708.520864125,1707.244703125,1177.024493,0.6889143221571368,0,0,276.89356625,1200.0,1200.0,0,strict,16.4
0,0,8,Fixed(1200),17634760,3648.166913,1708.520864125,1707.244703125,1200.425301,0.702610852583755,0,0,207.118179375,1200.0,1200.0,0,strict,15.8
0,0,8,Skip(1200),17634760,3648.166913,1708.520864125,1707.244703125,438.938182,0.25691122140600686,0,0,1179.11622625,1200.0,1200.0,0,non-strict,8.6
0,1,5,FCFS,17634760,5179.105901,1083.8211802,1081.9789825999999,1023.819617,0.9446388718949672,0,0,36.6588894,0.0,0.0,0,non-strict,8.6
0,1,5,SJF,17634760,5179.105901,,,3072.262211,,,,,,,,none,8.3
0,1,5,SPJF-E,17634760,5179.105901,,,3312.792676,,,,,,,,none,8.1
0,1,5,Aging(600),17634760,5179.105901,,,1065.061958,,,,,,,,none,8.5
0,1,5,Guard(300),17634760,5179.105901,1383.8211802,1381.9789825999999,1167.359222,0.8435766403223317,0,0,156.51140080000002,300.0,300.0,0,strict,17.1
0,1,5,Guard-age(300),17634760,5179.105901,1383.8211802,1381.9789825999999,1167.359222,0.8435766403223317,0,0,156.51140080000002,300.0,300.0,0,strict,17.1
0,1,5,Guard-fixed(300),17634760,5179.105901,1383.8211802,1381.9789825999999,1105.780873,0.7990778641212763,0,0,210.114993,300.0,300.0,0,strict,17.1
0,1,5,Guard-queue(300),17634760,5179.105901,1383.8211802,1381.9789825999999,1167.393543,0.8436014419372303,0,0,151.55721680000002,300.0,300.0,0,strict,18.1
0,1,5,Fixed(300),17634760,5179.105901,1383.8211802,1381.9789825999999,1167.397229,0.8436041055761837,0,0,151.5381418,300.0,300.0,0,strict,16.9
0,1,5,Skip(300),17634760,5179.105901,1383.8211802,1381.9789825999999,1024.613875,0.7404236108395994,0,0,290.7370806,300.0,300.0,0,non-strict,10.4
0,1,5,Guard(600),17634760,5179.105901,1683.8211802,1681.9789825999999,1467.37457,0.8714551089241608,0,0,163.21013059999999,600.0,600.0,0,strict,17.3
0,1,5,Guard-age(600),17634760,5179.105901,1683.8211802,1681.9789825999999,1467.37457,0.8714551089241608,0,0,163.21013059999999,600.0,600.0,0,strict,17.3
0,1,5,Guard-fixed(600),17634760,5179.105901,1683.8211802,1681.9789825999999,1277.771419,0.7588522071258359,0,0,353.401544,600.0,600.0,0,strict,17.2
0,1,5,Guard-queue(600),17634760,5179.105901,1683.8211802,1681.9789825999999,1467.388702,0.8714635017393636,0,0,166.3760134,600.0,600.0,0,strict,17.3
0,1,5,Fixed(600),17634760,5179.105901,1683.8211802,1681.9789825999999,1474.807196,0.8758692510476831,0,0,167.7683274,600.0,600.0,0,strict,17.9
0,1,5,Skip(600),17634760,5179.105901,1683.8211802,1681.9789825999999,1025.845151,0.6092363981774791,0,0,571.8822617999999,600.0,600.0,0,non-strict,9.8
0,1,5,Guard(1200),17634760,5179.105901,2283.8211801999996,2281.9789826,2074.549893,0.9083679190760139,0,0,167.2197964,1200.0,1200.0,0,strict,19.9
0,1,5,Guard-queue(1200),17634760,5179.105901,2283.8211801999996,2281.9789826,2074.549893,0.9083679190760139,0,0,167.2197964,1200.0,1200.0,0,strict,19.9
0,1,5,Guard-fixed(1200),17634760,5179.105901,2283.8211801999996,2281.9789826,1552.164001,0.6796346467301233,0,0,693.0746303999999,1200.0,1200.0,0,strict,17.0
0,1,5,Guard-age(1200),17634760,5179.105901,2283.8211801999996,2281.9789826,2079.694934,0.9106207403759502,0,0,175.2140336,1200.0,1200.0,0,strict,16.1
0,1,5,Fixed(1200),17634760,5179.105901,2283.8211801999996,2281.9789826,2069.949797,0.9063537088392927,0,0,163.1031268,1200.0,1200.0,0,strict,16.3
0,1,5,Skip(1200),17634760,5179.105901,2283.8211801999996,2281.9789826,1027.955189,0.45010318579757613,0,0,1144.8650712,1200.0,1200.0,0,non-strict,9.5
0,2,4,FCFS,17634760,6234.492949,1603.62323725,1602.58424775,1544.602708,0.9631955138345261,0,0,34.1398905,0.0,0.0,0,non-strict,12.3
0,2,4,SJF,17634760,6234.492949,,,5299.53243,,,,,,,,none,13.8
0,2,4,SPJF-E,17634760,6234.492949,,,6286.248131,,,,,,,,none,14.8
0,2,4,Aging(600),17634760,6234.492949,,,1584.450385,,,,,,,,none,9.4
0,2,4,Guard(300),17634760,6234.492949,1903.62323725,1902.58424775,1694.4625,0.8901249295778946,0,0,136.462378,300.0,300.0,0,strict,17.9
0,2,4,Guard-age(300),17634760,6234.492949,1903.62323725,1902.58424775,1694.4625,0.8901249295778946,0,0,136.462378,300.0,300.0,0,strict,17.9
0,2,4,Guard-fixed(300),17634760,6234.492949,1903.62323725,1902.58424775,1627.083304,0.8547296923893967,0,0,203.35166675,300.0,300.0,0,strict,17.2
0,2,4,Guard-queue(300),17634760,6234.492949,1903.62323725,1902.58424775,1694.592211,0.890193068586424,0,0,136.462545,300.0,300.0,0,strict,17.6
0,2,4,Fixed(300),17634760,6234.492949,1903.62323725,1902.58424775,1694.73727,0.8902692701147316,0,0,136.462096,300.0,300.0,0,strict,17.9
0,2,4,Skip(300),17634760,6234.492949,1903.62323725,1902.58424775,1545.424563,0.8118332098280862,0,0,279.70316075,300.0,300.0,0,non-strict,10.4
0,2,4,Guard(600),17634760,6234.492949,2203.62323725,2202.58424775,1994.472647,0.9050878631544074,0,0,136.84325575,600.0,600.0,0,strict,18.9
