rows 304
family  overlays  level  k      rows  max_ratio  (overlay, policy)            min_slack_s  (overlay, policy)            violations
fcfs    k1_rep0   0      [1]       1  0.9990     (k1_rep0, FCFS)           0.000  (k1_rep0, FCFS)  0
fcfs    primary   0      [7, 8]    5  0.8807     (4, FCFS)          39.538  (4, FCFS)  0
fcfs    primary   1      [5]       5  0.9446     (0, FCFS)          36.649  (1, FCFS)  0
fcfs    primary   2      [4]       5  0.9653     (1, FCFS)          32.545  (4, FCFS)  0
skip    k1_rep0   0      [1]       3  0.8263     (k1_rep0, Skip(300))         204.914  (k1_rep0, Skip(300))  0
skip    primary   0      [7, 8]   15  0.6519     (4, Skip(300))         238.021  (4, Skip(300))  0
skip    primary   1      [5]      15  0.7956     (0, Skip(300))         238.184  (1, Skip(300))  0
skip    primary   2      [4]      15  0.8521     (0, Skip(300))         218.719  (3, Skip(300))  0
work    k1_rep0   0      [1]      15  0.9759     (k1_rep0, Guard(600))           4.865  (k1_rep0, Guard(300))  0
work    primary   0      [7, 8]   75  0.8860     (4, Guard(600))          68.480  (2, Guard(300))  0
work    primary   1      [5]      75  0.9506     (0, Guard-age(1200))          46.335  (3, Guard-queue(300))  0
work    primary   2      [4]      75  0.9625     (1, Guard(1200))          44.005  (3, Fixed(300))  0
