[a] tight absolute bound, per (overlay, level, policy)
  ov k1_rep0 lv 0 k=1 FCFS                              bound   1428.6 s (old   1428.6) max wait   1427.3 ratio 0.9990 min slack     0.00 viol 0
  ov k1_rep0 lv 0 k=1 Guard(300)              B_max=240 bound   1728.6 s (old   1728.6) max wait   1672.9 ratio 0.9677 min slack     4.87 viol 0
  ov k1_rep0 lv 0 k=1 Guard-age(300)          B_max=240 bound   1728.6 s (old   1728.6) max wait   1672.9 ratio 0.9677 min slack     4.87 viol 0
  ov k1_rep0 lv 0 k=1 Guard-fixed(300)        B_max=240 bound   1728.6 s (old   1728.6) max wait   1520.8 ratio 0.8798 min slack   159.68 viol 0
  ov k1_rep0 lv 0 k=1 Guard-queue(300)        B_max=240 bound   1728.6 s (old   1728.6) max wait   1672.9 ratio 0.9677 min slack     4.87 viol 0
  ov k1_rep0 lv 0 k=1 Fixed(300)              B_max=240 bound   1728.6 s (old   1728.6) max wait   1672.9 ratio 0.9677 min slack     4.87 viol 0
  ov k1_rep0 lv 0 k=1 Skip(300)                     N=5 bound   1728.6 s (old   1728.6) max wait   1428.4 ratio 0.8263 min slack   204.91 viol 0
  ov k1_rep0 lv 0 k=1 Guard(600)              B_max=540 bound   2028.6 s (old   2028.6) max wait   1979.8 ratio 0.9759 min slack     7.47 viol 0
  ov k1_rep0 lv 0 k=1 Guard-age(600)          B_max=540 bound   2028.6 s (old   2028.6) max wait   1979.8 ratio 0.9759 min slack     7.47 viol 0
  ov k1_rep0 lv 0 k=1 Guard-fixed(600)        B_max=540 bound   2028.6 s (old   2028.6) max wait   1672.7 ratio 0.8246 min slack   296.73 viol 0
  ov k1_rep0 lv 0 k=1 Guard-queue(600)        B_max=540 bound   2028.6 s (old   2028.6) max wait   1979.8 ratio 0.9759 min slack     7.47 viol 0
  ov k1_rep0 lv 0 k=1 Fixed(600)              B_max=540 bound   2028.6 s (old   2028.6) max wait   1979.8 ratio 0.9759 min slack     7.47 viol 0
  ov k1_rep0 lv 0 k=1 Skip(600)                    N=10 bound   2028.6 s (old   2028.6) max wait   1429.5 ratio 0.7046 min slack   499.15 viol 0
  ov k1_rep0 lv 0 k=1 Guard(1200)            B_max=1140 bound   2628.6 s (old   2628.6) max wait   2205.2 ratio 0.8389 min slack    34.85 viol 0
  ov k1_rep0 lv 0 k=1 Guard-queue(1200)      B_max=1140 bound   2628.6 s (old   2628.6) max wait   2205.2 ratio 0.8389 min slack    34.85 viol 0
  ov k1_rep0 lv 0 k=1 Guard-fixed(1200)      B_max=1140 bound   2628.6 s (old   2628.6) max wait   1936.7 ratio 0.7368 min slack   641.06 viol 0
  ov k1_rep0 lv 0 k=1 Guard-age(1200)        B_max=1140 bound   2628.6 s (old   2628.6) max wait   2205.2 ratio 0.8389 min slack    18.66 viol 0
  ov k1_rep0 lv 0 k=1 Fixed(1200)            B_max=1140 bound   2628.6 s (old   2628.6) max wait   2205.2 ratio 0.8389 min slack    28.33 viol 0
  ov k1_rep0 lv 0 k=1 Skip(1200)                   N=20 bound   2628.6 s (old   2628.6) max wait   1431.9 ratio 0.5447 min slack  1033.13 viol 0
  ov       0 lv 0 k=8 FCFS                              bound    508.5 s (old    508.5) max wait    435.0 ratio 0.8555 min slack    41.12 viol 0
  ov       0 lv 0 k=8 Guard(300)             B_max=1080 bound    703.5 s (old    808.5) max wait    578.8 ratio 0.8227 min slack    82.30 viol 0
  ov       0 lv 0 k=8 Guard-age(300)         B_max=1080 bound    703.5 s (old    808.5) max wait    578.8 ratio 0.8227 min slack    82.30 viol 0
  ov       0 lv 0 k=8 Guard-fixed(300)       B_max=1080 bound    703.5 s (old    808.5) max wait    535.6 ratio 0.7613 min slack   121.93 viol 0
  ov       0 lv 0 k=8 Guard-queue(300)       B_max=1080 bound    703.5 s (old    808.5) max wait    579.2 ratio 0.8232 min slack    83.87 viol 0
  ov       0 lv 0 k=8 Fixed(300)             B_max=1080 bound    703.5 s (old    808.5) max wait    579.1 ratio 0.8231 min slack    83.87 viol 0
  ov       0 lv 0 k=8 Skip(300)                    N=26 bound    703.5 s (old    808.5) max wait    435.8 ratio 0.6194 min slack   254.20 viol 0
  ov       0 lv 0 k=8 Guard(600)             B_max=3480 bound   1003.5 s (old   1108.5) max wait    867.2 ratio 0.8642 min slack    71.18 viol 0
  ov       0 lv 0 k=8 Guard-age(600)         B_max=3480 bound   1003.5 s (old   1108.5) max wait    867.2 ratio 0.8642 min slack    71.18 viol 0
  ov       0 lv 0 k=8 Guard-fixed(600)       B_max=3480 bound   1003.5 s (old   1108.5) max wait    691.3 ratio 0.6888 min slack   273.06 viol 0
  ov       0 lv 0 k=8 Guard-queue(600)       B_max=3480 bound   1003.5 s (old   1108.5) max wait    862.0 ratio 0.8590 min slack    77.81 viol 0
  ov       0 lv 0 k=8 Fixed(600)             B_max=3480 bound   1003.5 s (old   1108.5) max wait    870.5 ratio 0.8674 min slack    76.30 viol 0
  ov       0 lv 0 k=8 Skip(600)                    N=66 bound   1003.5 s (old   1108.5) max wait    436.8 ratio 0.4353 min slack   530.38 viol 0
  ov       0 lv 0 k=8 Guard(1200)            B_max=8280 bound   1603.5 s (old   1708.5) max wait   1182.8 ratio 0.7376 min slack   321.51 viol 0
  ov       0 lv 0 k=8 Guard-queue(1200)      B_max=8280 bound   1603.5 s (old   1708.5) max wait   1182.8 ratio 0.7376 min slack   321.51 viol 0
  ov       0 lv 0 k=8 Guard-fixed(1200)      B_max=8280 bound   1603.5 s (old   1708.5) max wait    933.0 ratio 0.5818 min slack   611.44 viol 0
  ov       0 lv 0 k=8 Guard-age(1200)        B_max=8280 bound   1603.5 s (old   1708.5) max wait   1177.0 ratio 0.7340 min slack   171.89 viol 0
  ov       0 lv 0 k=8 Fixed(1200)            B_max=8280 bound   1603.5 s (old   1708.5) max wait   1200.4 ratio 0.7486 min slack   102.12 viol 0
  ov       0 lv 0 k=8 Skip(1200)                  N=146 bound   1603.5 s (old   1708.5) max wait    438.9 ratio 0.2737 min slack  1126.62 viol 0
  ov       0 lv 1 k=5 FCFS                              bound   1083.8 s (old   1083.8) max wait   1023.8 ratio 0.9446 min slack    36.66 viol 0
  ov       0 lv 1 k=5 Guard(300)              B_max=720 bound   1287.8 s (old   1383.8) max wait   1167.4 ratio 0.9065 min slack    60.51 viol 0
  ov       0 lv 1 k=5 Guard-age(300)          B_max=720 bound   1287.8 s (old   1383.8) max wait   1167.4 ratio 0.9065 min slack    60.51 viol 0
  ov       0 lv 1 k=5 Guard-fixed(300)        B_max=720 bound   1287.8 s (old   1383.8) max wait   1105.8 ratio 0.8586 min slack   114.11 viol 0
  ov       0 lv 1 k=5 Guard-queue(300)        B_max=720 bound   1287.8 s (old   1383.8) max wait   1167.4 ratio 0.9065 min slack    55.56 viol 0
  ov       0 lv 1 k=5 Fixed(300)              B_max=720 bound   1287.8 s (old   1383.8) max wait   1167.4 ratio 0.9065 min slack    55.54 viol 0
  ov       0 lv 1 k=5 Skip(300)                    N=17 bound   1287.8 s (old   1383.8) max wait   1024.6 ratio 0.7956 min slack   242.74 viol 0
  ov       0 lv 1 k=5 Guard(600)             B_max=2220 bound   1587.8 s (old   1683.8) max wait   1467.4 ratio 0.9241 min slack    67.21 viol 0
  ov       0 lv 1 k=5 Guard-age(600)         B_max=2220 bound   1587.8 s (old   1683.8) max wait   1467.4 ratio 0.9241 min slack    67.21 viol 0
  ov       0 lv 1 k=5 Guard-fixed(600)       B_max=2220 bound   1587.8 s (old   1683.8) max wait   1277.8 ratio 0.8047 min slack   257.40 viol 0
  ov       0 lv 1 k=5 Guard-queue(600)       B_max=2220 bound   1587.8 s (old   1683.8) max wait   1467.4 ratio 0.9242 min slack    70.38 viol 0
  ov       0 lv 1 k=5 Fixed(600)             B_max=2220 bound   1587.8 s (old   1683.8) max wait   1474.8 ratio 0.9288 min slack    71.77 viol 0
  ov       0 lv 1 k=5 Skip(600)                    N=42 bound   1587.8 s (old   1683.8) max wait   1025.8 ratio 0.6461 min slack   523.88 viol 0
  ov       0 lv 1 k=5 Guard(1200)            B_max=5220 bound   2187.8 s (old   2283.8) max wait   2074.5 ratio 0.9482 min slack    71.22 viol 0
