overlay,level,k,policy,family,promise_s,bmax_or_skip,sigma_s,bound_abs_tight_s,bound_abs_old_s,max_wait_s,ratio_max_wait_over_tight,shift_per_job_s,min_slack_old_s,min_slack_tight_s,per_job_violations_tight,needs_rerun
k1_rep0,0,1,FCFS,fcfs,0.0,,1428.632137,1428.632137,1428.632137,1427.255747,0.999,0.0,0.0,0.0,0,False
k1_rep0,0,1,Guard(300),work,300.0,B_max=240,1428.632137,1728.632137,1728.632137,1672.877849,0.9677,0.0,4.865147,4.865147,0,False
k1_rep0,0,1,Guard-age(300),work,300.0,B_max=240,1428.632137,1728.632137,1728.632137,1672.877849,0.9677,0.0,4.865147,4.865147,0,False
k1_rep0,0,1,Guard-fixed(300),work,300.0,B_max=240,1428.632137,1728.632137,1728.632137,1520.848215,0.8798,0.0,159.684189,159.684189,0,False
k1_rep0,0,1,Guard-queue(300),work,300.0,B_max=240,1428.632137,1728.632137,1728.632137,1672.877849,0.9677,0.0,4.865147,4.865147,0,False
k1_rep0,0,1,Fixed(300),work,300.0,B_max=240,1428.632137,1728.632137,1728.632137,1672.877849,0.9677,0.0,4.865147,4.865147,0,False
k1_rep0,0,1,Skip(300),skip,300.0,N=5,1428.632137,1728.632137,1728.632137,1428.377634,0.8263,0.0,204.914117,204.914117,0,False
k1_rep0,0,1,Guard(600),work,600.0,B_max=540,1428.632137,2028.632137,2028.632137,1979.775445,0.9759,0.0,7.468068,7.468068,0,False
k1_rep0,0,1,Guard-age(600),work,600.0,B_max=540,1428.632137,2028.632137,2028.632137,1979.775445,0.9759,0.0,7.468068,7.468068,0,False
k1_rep0,0,1,Guard-fixed(600),work,600.0,B_max=540,1428.632137,2028.632137,2028.632137,1672.743553,0.8246,0.0,296.734691,296.734691,0,False
k1_rep0,0,1,Guard-queue(600),work,600.0,B_max=540,1428.632137,2028.632137,2028.632137,1979.775445,0.9759,0.0,7.468068,7.468068,0,False
k1_rep0,0,1,Fixed(600),work,600.0,B_max=540,1428.632137,2028.632137,2028.632137,1979.775445,0.9759,0.0,7.468068,7.468068,0,False
k1_rep0,0,1,Skip(600),skip,600.0,N=10,1428.632137,2028.632137,2028.632137,1429.453763,0.7046,0.0,499.145436,499.145436,0,False
k1_rep0,0,1,Guard(1200),work,1200.0,B_max=1140,1428.632137,2628.632137,2628.632137,2205.219206,0.8389,0.0,34.854649,34.854649,0,False
k1_rep0,0,1,Guard-queue(1200),work,1200.0,B_max=1140,1428.632137,2628.632137,2628.632137,2205.219206,0.8389,0.0,34.854649,34.854649,0,False
k1_rep0,0,1,Guard-fixed(1200),work,1200.0,B_max=1140,1428.632137,2628.632137,2628.632137,1936.695364,0.7368,0.0,641.060385,641.060385,0,False
k1_rep0,0,1,Guard-age(1200),work,1200.0,B_max=1140,1428.632137,2628.632137,2628.632137,2205.219206,0.8389,0.0,18.66253,18.66253,0,False
k1_rep0,0,1,Fixed(1200),work,1200.0,B_max=1140,1428.632137,2628.632137,2628.632137,2205.219206,0.8389,0.0,28.33449,28.33449,0,False
k1_rep0,0,1,Skip(1200),skip,1200.0,N=20,1428.632137,2628.632137,2628.632137,1431.89999,0.5447,0.0,1033.133001,1033.133001,0,False
0,0,8,FCFS,fcfs,0.0,,3648.166913,508.520864,508.520864125,435.022874,0.8555,0.0,41.11665075,41.116651,0,False
0,0,8,Guard(300),work,300.0,B_max=1080,3648.166913,703.520864,808.520864125,578.81456,0.8227,105.0,187.301602625,82.301603,0,False
0,0,8,Guard-age(300),work,300.0,B_max=1080,3648.166913,703.520864,808.520864125,578.81456,0.8227,105.0,187.301602625,82.301603,0,False
0,0,8,Guard-fixed(300),work,300.0,B_max=1080,3648.166913,703.520864,808.520864125,535.600003,0.7613,105.0,226.932810125,121.93281,0,False
0,0,8,Guard-queue(300),work,300.0,B_max=1080,3648.166913,703.520864,808.520864125,579.154618,0.8232,105.0,188.865721,83.865721,0,False
0,0,8,Fixed(300),work,300.0,B_max=1080,3648.166913,703.520864,808.520864125,579.079319,0.8231,105.0,188.865721,83.865721,0,False
0,0,8,Skip(300),skip,300.0,N=26,3648.166913,703.520864,808.520864125,435.757824,0.6194,52.5,306.701176625,254.201177,0,False
0,0,8,Guard(600),work,600.0,B_max=3480,3648.166913,1003.520864,1108.520864125,867.204574,0.8642,105.0,176.179240375,71.17924,0,False
0,0,8,Guard-age(600),work,600.0,B_max=3480,3648.166913,1003.520864,1108.520864125,867.204574,0.8642,105.0,176.179240375,71.17924,0,False
0,0,8,Guard-fixed(600),work,600.0,B_max=3480,3648.166913,1003.520864,1108.520864125,691.268104,0.6888,105.0,378.063696375,273.063696,0,False
0,0,8,Guard-queue(600),work,600.0,B_max=3480,3648.166913,1003.520864,1108.520864125,862.006149,0.859,105.0,182.81245825,77.812458,0,False
0,0,8,Fixed(600),work,600.0,B_max=3480,3648.166913,1003.520864,1108.520864125,870.466887,0.8674,105.0,181.300151375,76.300151,0,False
0,0,8,Skip(600),skip,600.0,N=66,3648.166913,1003.520864,1108.520864125,436.799138,0.4353,52.5,582.87850425,530.378504,0,False
0,0,8,Guard(1200),work,1200.0,B_max=8280,3648.166913,1603.520864,1708.520864125,1182.835835,0.7376,105.0,426.51070875,321.510709,0,False
0,0,8,Guard-queue(1200),work,1200.0,B_max=8280,3648.166913,1603.520864,1708.520864125,1182.835835,0.7376,105.0,426.51070875,321.510709,0,False
0,0,8,Guard-fixed(1200),work,1200.0,B_max=8280,3648.166913,1603.520864,1708.520864125,933.00812,0.5818,105.0,716.435891,611.435891,0,False
0,0,8,Guard-age(1200),work,1200.0,B_max=8280,3648.166913,1603.520864,1708.520864125,1177.024493,0.734,105.0,276.89356625,171.893566,0,False
