policy,mean_s,p50_s,p90_s,p99_s,p999_s,max_s,p99_heavy_s,max_heavy_s,max_excess_fcfs_s,fire_rate,pool_tag,cap,k,L,gap_p99,gap_mean,n,fcfs_p99_over_L,score,bound_violation_s,bound_slack_med_L
FCFS,328.07813100291673,0.0,1173.9391998529436,1544.654309635165,1799.3470837781529,1835.2219998836517,1491.816199502945,1629.526999950409,0.0,0.0,releng-hardware__gecko-t-linux-talos-2404,recorded k=96,96,4139.611001956463,0.0,0.0,3892,0.3731399662686012,pred_log,,
SJF-true (reference),252.23708629485637,0.0,780.410800075531,1331.5850498652462,1452.9331469097165,1480.3029999732971,1461.9579597949983,1480.3029999732971,1382.0749998092651,0.0,releng-hardware__gecko-t-linux-talos-2404,recorded k=96,96,4139.611001956463,1.0,1.0,3892,0.3731399662686012,pred_log,,
SPJF pred_tweedie,252.69901460972744,0.0,777.5427998065949,1341.1460497736932,1467.5668981347105,1481.6729998588562,1478.2435201835633,1481.6729998588562,1399.5989997386932,0.0,releng-hardware__gecko-t-linux-talos-2404,recorded k=96,96,4139.611001956463,0.9551272674492258,0.9939092569643627,3892,0.3731399662686012,pred_log,,
SPJF pred_log [chosen],252.60834477402324,0.0,778.6823999166489,1340.6132396936418,1459.3817641091352,1484.0699999332428,1469.4588000297547,1484.0699999332428,1400.952999830246,0.0,releng-hardware__gecko-t-linux-talos-2404,recorded k=96,96,4139.611001956463,0.9576279101070485,0.9951047815784186,3892,0.3731399662686012,pred_log,,
SPJF pred_ent,252.5883267883284,0.0,782.293999862671,1339.4410699820519,1445.0835829167409,1467.78400015831,1459.5953597068788,1467.78400015831,1377.6259999275208,0.0,releng-hardware__gecko-t-linux-talos-2404,recorded k=96,96,4139.611001956463,0.9631292654543929,0.9953687281758303,3892,0.3731399662686012,pred_log,,
guard G=3L' (B=8279s),254.6637455971121,0.0,782.1508999586106,1339.073899598122,1735.4210959413278,1835.0229997634888,1398.5925999736776,1679.4270000457764,614.3519999980927,0.10200411099691675,releng-hardware__gecko-t-linux-talos-2404,recorded k=96,96,4139.611001956463,0.9648525097380896,0.9680033508030274,3892,0.3731399662686012,pred_log,-11804.481005871297,3.0
guard G=5L' (B=803085s),252.60834477402324,0.0,778.6823999166489,1340.6132396936418,1459.3817641091352,1484.0699999332428,1469.4588000297547,1484.0699999332428,1400.952999830246,0.0,releng-hardware__gecko-t-linux-talos-2404,recorded k=96,96,4139.611001956463,0.9576279101070485,0.9951047815784186,3892,0.3731399662686012,pred_log,-19297.10200995207,5.0
guard G=10L' (B=2790098s),252.60834477402324,0.0,778.6823999166489,1340.6132396936418,1459.3817641091352,1484.0699999332428,1469.4588000297547,1484.0699999332428,1400.952999830246,0.0,releng-hardware__gecko-t-linux-talos-2404,recorded k=96,96,4139.611001956463,0.9576279101070485,0.9951047815784186,3892,0.3731399662686012,pred_log,-39995.15701973438,10.0
FCFS,533.0428840733628,203.98849987983704,1650.1637001037598,2162.6015398073205,2500.496346730235,2527.9039998054504,2090.0203198337554,2210.9850001335144,0.0,0.0,releng-hardware__gecko-t-linux-talos-2404,reduced k=76,76,4139.611001956463,0.0,0.0,3892,0.5224166084168854,pred_log,,
SJF-true (reference),387.04682497755226,170.106999874115,1309.063499903679,1774.8776495647433,2325.259509859577,2391.499999523163,2365.4126793289183,2391.499999523163,1960.5739998817444,0.0,releng-hardware__gecko-t-linux-talos-2404,reduced k=76,76,4139.611001956463,1.0,1.0,3892,0.5224166084168854,pred_log,,
