policy,mean_s,p50_s,p90_s,p99_s,p999_s,max_s,p99_heavy_s,max_heavy_s,max_excess_fcfs_s,fire_rate,pool_tag,cap,k,L,gap_p99,gap_mean,n,fcfs_p99_over_L,score,bound_violation_s,bound_slack_med_L
FCFS,1855.3351359633386,1204.104500412941,4622.052091813088,8998.93770070076,9495.905434620625,9655.825001478195,8974.936911013132,9515.745000839233,0.0,0.0,releng-hardware__gecko-t-osx-1500-m4,recorded k=156,156,5066.101656929569,,0.0,46722,1.776304209843823,pred_tweedie,,
SJF-true (reference),1125.7041502155764,131.35750007629395,2575.964499902727,18278.041931846314,38330.93183987856,47246.853001117706,41938.505871403264,47246.853001117706,46280.82300066948,0.0,releng-hardware__gecko-t-osx-1500-m4,recorded k=156,156,5066.101656929569,,1.0,46722,1.776304209843823,pred_tweedie,,
SPJF pred_tweedie [chosen],1312.5852212082223,136.55000007152557,3029.6881000041967,19883.459112279415,51063.24593293732,59065.38100218773,43616.532151858904,56965.579003572464,58399.96500182152,0.0,releng-hardware__gecko-t-osx-1500-m4,recorded k=156,156,5066.101656929569,,0.7438690589584531,46722,1.776304209843823,pred_tweedie,,
SPJF pred_log,1285.6766886290027,130.14232873916626,2912.98069164753,19874.663400015834,46733.97528577307,58411.424001693726,43182.85368094689,56454.4250023365,57584.22200202942,0.0,releng-hardware__gecko-t-osx-1500-m4,recorded k=156,156,5066.101656929569,,0.7807487051149857,46722,1.776304209843823,pred_tweedie,,
SPJF pred_ent,1289.6418781223467,134.01799988746643,2948.3311019182215,20812.123761251012,43274.87983184612,58980.34800243378,41805.50850138928,57673.63100218773,58553.32600259781,0.0,releng-hardware__gecko-t-osx-1500-m4,recorded k=156,156,5066.101656929569,,0.7753141915447043,46722,1.776304209843823,pred_tweedie,,
guard G=3L' (B=10132s),1662.0582923102036,886.1410000324249,4421.187657403946,9027.620242440702,9553.128446398023,9721.675000429153,9050.672031388289,9668.320002794266,1397.933000087738,0.4278284320020547,releng-hardware__gecko-t-osx-1500-m4,recorded k=156,156,5066.101656929569,,0.26489670453764425,46722,1.776304209843823,pred_tweedie,-13800.37197070097,3.0
guard G=5L' (B=1590756s),1319.0058349441683,142.71100044250488,3546.681901097299,15479.168391070367,20170.211497288474,20857.591002464294,19741.866802053453,20730.423001527786,13395.35000038147,0.026668378922135184,releng-hardware__gecko-t-osx-1500-m4,recorded k=156,156,5066.101656929569,,0.735069249381608,46722,1.776304209843823,pred_tweedie,-11935.158284266374,5.047675513915813
guard G=10L' (B=5542315s),1306.6840444353059,137.31250047683716,3067.7565000772497,20631.08280113938,38530.59627207304,40059.02600121498,38328.19313240529,40059.02600121498,37422.35600209236,0.0025683832027738537,releng-hardware__gecko-t-osx-1500-m4,recorded k=156,156,5066.101656929569,,0.7519569511782012,46722,1.776304209843823,pred_tweedie,-13238.660567203333,10.05956572138288
FCFS,15779.448402114782,14677.4643304348,30957.12776777744,36055.54051813126,37063.645267504726,37399.79666662216,35907.57958305359,37380.90366768837,0.0,0.0,releng-hardware__gecko-t-osx-1500-m4,reduced k=124,124,5066.101656929569,,0.0,46722,7.117018757176613,pred_tweedie,,
SJF-true (reference),7417.276631483787,325.6595026254654,9656.473605012909,193868.16114001782,252933.916368092,290276.89100933075,270680.2468394543,290276.89100933075,289125.70600914955,0.0,releng-hardware__gecko-t-osx-1500-m4,reduced k=124,124,5066.101656929569,,1.0,46722,7.117018757176613,pred_tweedie,,
SPJF pred_tweedie [chosen],10673.266199353853,327.8563303947449,18528.58287491799,217528.16637908464,272894.83485703723,295885.14366698265,253989.4652103281,294455.38166713715,294840.442666769,0.0,releng-hardware__gecko-t-osx-1500-m4,reduced k=124,124,5066.101656929569,,0.6106287149822116,46722,7.117018757176613,pred_tweedie,,
SPJF pred_log,10424.759139279271,326.34983146190643,19050.944166398054,217524.92399945023,267030.791794352,297105.1170101166,251827.09806794883,297105.1170101166,295772.3536670208,0.0,releng-hardware__gecko-t-osx-1500-m4,reduced k=124,124,5066.101656929569,,0.6403467196933047,46722,7.117018757176613,pred_tweedie,,
SPJF pred_ent,10422.268835424162,328.25483798980713,16075.933266425169,218305.23728843214,277009.42591339874,295818.90067076683,253208.01500927212,295818.90067076683,293436.91867017746,0.0,releng-hardware__gecko-t-osx-1500-m4,reduced k=124,124,5066.101656929569,,0.6406445255652022,46722,7.117018757176613,pred_tweedie,,
guard G=3L' (B=10132s),15290.490872695931,14436.267661452293,30896.371366620064,36103.21681949854,37107.31449415023,37476.85800909996,35974.24567462206,37458.52666568756,1284.7690000534058,0.7890929326655537,releng-hardware__gecko-t-osx-1500-m4,reduced k=124,124,5066.101656929569,,0.05847255268495339,46722,7.117018757176613,pred_tweedie,-13913.535970735302,2.983025181365225
guard G=5L' (B=1266525s),11443.14471989307,1591.2028324604034,37632.485301923756,45180.66411656141,47364.542151313326,47965.80700612068,46107.17110773087,47965.80700612068,13463.687658071518,0.2920679765421001,releng-hardware__gecko-t-osx-1500-m4,reduced k=124,124,5066.101656929569,,0.5185619000857361,46722,7.117018757176613,pred_tweedie,-11866.820626576326,5.1948438004400455
guard G=10L' (B=4407508s),11040.368132092406,509.64216232299805,51364.5627856493,67421.2607374835,72624.68503006245,73840.84266853333,71595.4225850749,73840.84266853333,38956.256002902985,0.12326099053978853,releng-hardware__gecko-t-osx-1500-m4,reduced k=124,124,5066.101656929569,,0.5667284050139494,46722,7.117018757176613,pred_tweedie,-11704.760566392702,11.267695150051475
