tag,mean,p50,p90,p99,p999,med_abs_err,spearman,pearson,within60,pool,hourly_pearson,hourly_spearman,n,k_eff
k = max busy in any hour = 172 | FCFS | service as recorded,856.4147961732726,213.11850023269653,2409.824099707605,7786.766160199641,8799.595095988047,255.52099990844727,0.6793770753745325,0.3802335503618472,0.3436213991769547,releng-hardware/gecko-t-osx-1500-m4,0.6064738206836012,0.8849560782413781,191970,
k = max busy in any hour = 172 | FCFS | service + 54s setup,1112.9062118285296,408.26700007915497,3189.7678014993676,9301.8638215065,10357.879506055371,280.50299978256226,0.7045161091021636,0.38156707609822477,0.36167630358910247,releng-hardware/gecko-t-osx-1500-m4,0.6166023374281691,0.9154084961538899,191970,
k = max busy in any hour = 172 | priority-then-FIFO | service as recorded,820.6273236734294,71.84300017356873,2003.7812998056422,12156.242760035977,28664.04169698668,106.22300004959106,0.81285850095953,0.7457943092206863,0.4214408501328333,releng-hardware/gecko-t-osx-1500-m4,0.7744074762663702,0.8898276935421962,191970,
k = max busy in any hour = 172 | priority-then-FIFO | service + 54s setup,1068.0722302571146,148.71450078487396,2574.4482006311423,14492.385531690063,35414.735222012496,55.12100040912628,0.8701150701591782,0.7909824137641194,0.5110069281658592,releng-hardware/gecko-t-osx-1500-m4,0.8276156949716502,0.9254740751409664,191970,
k = median busy per hour = 169 | FCFS | service as recorded,935.3468608868111,270.7149999141693,2665.471099996567,8328.64141033172,9322.405181826141,259.7700001001358,0.688289005060012,0.3808459355656299,0.35477939261342917,releng-hardware/gecko-t-osx-1500-m4,0.6105973267131947,0.8929554171818002,191970,
k = median busy per hour = 169 | FCFS | service + 54s setup,1221.73972111507,490.12599992752075,3460.6974001407625,9807.32393130064,10938.897059014329,273.2385002374649,0.7145053816080245,0.381656951915151,0.37414179298848776,releng-hardware/gecko-t-osx-1500-m4,0.6194290462272211,0.924656440889062,191970,
k = median busy per hour = 169 | priority-then-FIFO | service as recorded,897.2007540210607,96.23799991607666,2166.1462998390207,12790.762750232214,31131.43339276413,89.44050014019012,0.8315371342117698,0.7596463627374477,0.44359535344064177,releng-hardware/gecko-t-osx-1500-m4,0.7943085130000992,0.8990769509548668,191970,
k = median busy per hour = 169 | priority-then-FIFO | service + 54s setup,1172.5957573463143,185.7440015077591,2834.408600687981,16897.625771474817,37456.350294433374,40.090500354766846,0.891419269389318,0.8039881136792318,0.5540865760275043,releng-hardware/gecko-t-osx-1500-m4,0.8408411614841234,0.9348194560000941,191970,
k = workers seen in the window = 173 | FCFS | service as recorded,831.6748202344046,194.35949993133545,2328.7249995708466,7614.684809901713,8666.623167687183,253.75250017642975,0.6772459535736298,0.3798761938216705,0.34449132676980776,releng-hardware/gecko-t-osx-1500-m4,0.6048548623363109,0.8800974731400042,191970,
k = workers seen in the window = 173 | FCFS | service + 54s setup,1080.2490236192432,385.1175000667572,3102.412102508545,9121.361561493872,10160.163391702205,278.38899993896484,0.7012249668774067,0.3816441782303185,0.35919674949210817,releng-hardware/gecko-t-osx-1500-m4,0.6160123749662639,0.9118169860100542,191970,
k = workers seen in the window = 173 | priority-then-FIFO | service as recorded,797.1374105356246,65.38349974155426,1954.8735998868947,11931.590150535107,28386.170824173514,110.78349995613098,0.8070857898621732,0.741687762090011,0.41639318643538054,releng-hardware/gecko-t-osx-1500-m4,0.767000928044029,0.8861607273182522,191970,
k = workers seen in the window = 173 | priority-then-FIFO | service + 54s setup,1036.5903848628038,137.99650025367737,2494.748400187493,14165.61344133137,35143.2644904554,61.416500210762024,0.8638326254050352,0.7859701797772554,0.4968797207897067,releng-hardware/gecko-t-osx-1500-m4,0.822560095674887,0.9214770299420363,191970,
k(t) = workers seen within +/- 6 h | FCFS | service as recorded,910.0040587875417,258.5644999742508,2583.577700090409,8152.868409690856,9148.626247455632,256.5865000486374,0.6873328312242086,0.38128353607368715,0.35209147262593116,releng-hardware/gecko-t-osx-1500-m4,0.6116170458099813,0.8917174738240871,191970,
k(t) = workers seen within +/- 6 h | FCFS | service + 54s setup,1187.1484466568918,471.2920002937317,3396.008201193811,9633.974130961895,10733.64706901268,272.70650029182434,0.712319125433339,0.38249456855316527,0.37643381778402873,releng-hardware/gecko-t-osx-1500-m4,0.6215296249789263,0.9227421905359127,191970,
k(t) = workers seen within +/- 6 h | priority-then-FIFO | service as recorded,873.5108121976074,90.51999986171722,2133.5141002416613,12533.110720212446,30895.69813200881,92.41299998760223,0.8265312308152776,0.7556968112253523,0.43641714851278846,releng-hardware/gecko-t-osx-1500-m4,0.791229948713322,0.8967474483225113,191970,
k(t) = workers seen within +/- 6 h | priority-then-FIFO | service + 54s setup,1138.8751780189946,177.6210000514984,2778.054599690438,16318.906610510328,36956.162445042864,38.72450017929077,0.8873962726817151,0.8006977537496586,0.5501849247278221,releng-hardware/gecko-t-osx-1500-m4,0.8391242782056147,0.9335853368280986,191970,
effective k = 156 | priority-then-FIFO | service + setup,1918.3588841737867,361.97400093078613,5046.886600565912,22245.404141285417,56896.478600795665,68.49500048160553,0.9495565250426473,0.9367107089939978,0.4797103714121998,releng-hardware/gecko-t-osx-1500-m4,0.9526526833647422,0.9728062567053808,191970,156.0
k = max busy in any hour = 100 | FCFS | service as recorded,699.9589917600198,196.27149987220764,2024.8951003789903,5403.062809913157,6231.202147858386,247.78549981117249,0.8968610988435576,0.7588591160204925,0.3631033808872386,releng-hardware/gecko-t-linux-talos-2404,0.8293875324334374,0.9345155356875745,30702,
k = max busy in any hour = 100 | FCFS | service + 127s setup,985.2880639186955,450.4549996852875,2775.0458999156954,6462.049169421183,7265.454204380535,57.670000195503235,0.9116327165510868,0.7490213784206968,0.5049508175363169,releng-hardware/gecko-t-linux-talos-2404,0.8573458695355454,0.96117379792594,30702,
k = max busy in any hour = 100 | priority-then-FIFO | service as recorded,661.2437573440936,171.31149983406067,1613.2290002107632,6921.422929477603,9635.42560811522,220.06000006198883,0.93359023134069,0.9277826844062316,0.37212559442381604,releng-hardware/gecko-t-linux-talos-2404,0.8796563913333483,0.9279405537001253,30702,
k = max busy in any hour = 100 | priority-then-FIFO | service + 127s setup,925.7540313501124,331.3684997558594,2300.8288994550708,8458.502449295447,11429.721297411681,38.49400019645691,0.9618894282204152,0.9582287704967907,0.5832844765813302,releng-hardware/gecko-t-linux-talos-2404,0.9384253874167867,0.9665917454842018,30702,
k = median busy per hour = 94 | FCFS | service as recorded,824.1663095563656,279.51049995422363,2355.4087000608447,5892.60271992445,6709.162148231031,159.08550012111664,0.9090609453243872,0.7597331946569699,0.3766529867761058,releng-hardware/gecko-t-linux-talos-2404,0.8484389051873555,0.9486060368740528,30702,
