k=1 L=10 gamma=0.5 Bmax=50: rank-1 excess=10 (= 1.00 L), max excess=10, rank-0 start=0  ok
k=1 L=10 gamma=10 Bmax=30: rank-1 excess=10 (= 1.00 L), max excess=10, rank-0 start=0  ok
k=1 L=10 gamma=40 Bmax=100: rank-1 excess=10 (= 1.00 L), max excess=10, rank-0 start=0  ok
k=1 L=60 gamma=0.5 Bmax=300: rank-1 excess=60 (= 1.00 L), max excess=60, rank-0 start=0  ok
k=1 L=60 gamma=60 Bmax=180: rank-1 excess=60 (= 1.00 L), max excess=60, rank-0 start=0  ok
k=1 L=60 gamma=240 Bmax=600: rank-1 excess=60 (= 1.00 L), max excess=60, rank-0 start=0  ok
k=2 L=10 gamma=0.5 Bmax=50: rank-1 excess=10 (= 1.00 L), max excess=10, rank-0 start=0  ok
k=2 L=10 gamma=10 Bmax=30: rank-1 excess=10 (= 1.00 L), max excess=10, rank-0 start=0  ok
k=2 L=10 gamma=40 Bmax=100: rank-1 excess=10 (= 1.00 L), max excess=10, rank-0 start=0  ok
k=2 L=60 gamma=0.5 Bmax=300: rank-1 excess=60 (= 1.00 L), max excess=60, rank-0 start=0  ok
k=2 L=60 gamma=60 Bmax=180: rank-1 excess=60 (= 1.00 L), max excess=60, rank-0 start=0  ok
k=2 L=60 gamma=240 Bmax=600: rank-1 excess=60 (= 1.00 L), max excess=60, rank-0 start=0  ok
k=3 L=10 gamma=0.5 Bmax=50: rank-1 excess=10 (= 1.00 L), max excess=10, rank-0 start=0  ok
k=3 L=10 gamma=10 Bmax=30: rank-1 excess=10 (= 1.00 L), max excess=10, rank-0 start=0  ok
k=3 L=10 gamma=40 Bmax=100: rank-1 excess=10 (= 1.00 L), max excess=10, rank-0 start=0  ok
k=3 L=60 gamma=0.5 Bmax=300: rank-1 excess=60 (= 1.00 L), max excess=60, rank-0 start=0  ok
k=3 L=60 gamma=60 Bmax=180: rank-1 excess=60 (= 1.00 L), max excess=60, rank-0 start=0  ok
k=3 L=60 gamma=240 Bmax=600: rank-1 excess=60 (= 1.00 L), max excess=60, rank-0 start=0  ok
k=4 L=10 gamma=0.5 Bmax=50: rank-1 excess=10 (= 1.00 L), max excess=10, rank-0 start=0  ok
k=4 L=10 gamma=10 Bmax=30: rank-1 excess=10 (= 1.00 L), max excess=10, rank-0 start=0  ok
k=4 L=10 gamma=40 Bmax=100: rank-1 excess=10 (= 1.00 L), max excess=10, rank-0 start=0  ok
k=4 L=60 gamma=0.5 Bmax=300: rank-1 excess=60 (= 1.00 L), max excess=60, rank-0 start=0  ok
k=4 L=60 gamma=60 Bmax=180: rank-1 excess=60 (= 1.00 L), max excess=60, rank-0 start=0  ok
k=4 L=60 gamma=240 Bmax=600: rank-1 excess=60 (= 1.00 L), max excess=60, rank-0 start=0  ok
k=8 L=10 gamma=0.5 Bmax=50: rank-1 excess=10 (= 1.00 L), max excess=10, rank-0 start=0  ok
k=8 L=10 gamma=10 Bmax=30: rank-1 excess=10 (= 1.00 L), max excess=10, rank-0 start=0  ok
k=8 L=10 gamma=40 Bmax=100: rank-1 excess=10 (= 1.00 L), max excess=10, rank-0 start=0  ok
k=8 L=60 gamma=0.5 Bmax=300: rank-1 excess=60 (= 1.00 L), max excess=60, rank-0 start=0  ok
k=8 L=60 gamma=60 Bmax=180: rank-1 excess=60 (= 1.00 L), max excess=60, rank-0 start=0  ok
k=8 L=60 gamma=240 Bmax=600: rank-1 excess=60 (= 1.00 L), max excess=60, rank-0 start=0  ok
PASS
