uniform random sweep, exact integers
  10800000 instances, 108000000 job-checks
  k  L | maxD   minD   maxDe  minDe | viol 2(k-1)L | viol (k-1)L D/De
  1  2 | 0      0      0      0      | 0 | 0 / 0
  1  5 | 0      0      0      0      | 0 | 0 / 0
  1  9 | 0      0      0      0      | 0 | 0 / 0
  2  2 | 3/2    -3/2   3/2    -1     | 0 | 22 / 40
  2  5 | 7/5    -6/5   7/5    -6/5   | 0 | 108 / 156
  2  9 | 11/9   -10/9  4/3    -10/9  | 0 | 46 / 72
  3  2 | 2      -2     2      -2     | 0 | 0 / 0
  3  5 | 2      -2     11/5   -2     | 0 | 0 / 2
  3  9 | 2      -2     2      -2     | 0 | 0 / 0
  4  2 | 3      -3     3      -3     | 0 | 0 / 0
  4  5 | 3      -3     3      -13/5  | 0 | 0 / 0
  4  9 | 3      -3     3      -8/3   | 0 | 0 / 0
  5  2 | 4      -4     4      -4     | 0 | 0 / 0
  5  5 | 4      -19/5  4      -3     | 0 | 0 / 0
  5  9 | 34/9   -11/3  34/9   -28/9  | 0 | 0 / 0
  6  2 | 5      -5     5      -5/2   | 0 | 0 / 0
  6  5 | 23/5   -22/5  23/5   -22/5  | 0 | 0 / 0
  6  9 | 40/9   -40/9  40/9   -29/9  | 0 | 0 / 0
