design,k,n,L,max_excess,max_allowed,used_over_allowed
fixed B=0,1,3,3.5,0.0,3.5,0.0
fixed B=1,1,3,3.5,0.0,4.5,0.0
fixed B=4,1,3,3.5,0.0,7.5,0.0
rel B0=0 eps=.5,1,3,3.5,0.0,9.0,0.0
qlen B0=0 gam=1,1,3,3.5,0.0,3.5,0.0
qlen B0=1 gam=.5 eps=.5,1,3,3.5,0.0,11.0,0.0
thresh B=1 th=1 N=2,1,3,3.5,0.0,6.5,0.0
cap B0=1 eps=.5 Bmax=1,1,3,3.5,0.0,4.5,0.0
skip N=2 (work channel off),1,3,3.5,0.0,11.5,0.0
skip N=5 (work channel off),1,3,3.5,0.0,23.5,0.0
fixed B=0,1,9,4.0,0.0,4.0,0.0
fixed B=1,1,9,4.0,1.5,5.0,0.3
fixed B=4,1,9,4.0,1.5,8.0,0.1875
rel B0=0 eps=.5,1,9,4.0,1.5,13.5,0.13043478260869565
qlen B0=0 gam=1,1,9,4.0,1.5,5.0,0.3
qlen B0=1 gam=.5 eps=.5,1,9,4.0,1.5,16.5,0.10344827586206896
thresh B=1 th=1 N=2,1,9,4.0,1.5,7.0,0.21428571428571427
cap B0=1 eps=.5 Bmax=1,1,9,4.0,1.5,5.0,0.3
skip N=2 (work channel off),1,9,4.0,1.5,12.0,0.125
skip N=5 (work channel off),1,9,4.0,1.5,24.0,0.0625
fixed B=0,2,2,2.0,0.0,4.0,0.0
fixed B=1,2,2,2.0,0.0,4.5,0.0
fixed B=4,2,2,2.0,0.0,6.0,0.0
rel B0=0 eps=.5,2,2,2.0,0.0,5.333333333333333,0.0
rel B0=1 eps=1,2,2,2.0,0.0,9.0,0.0
qlen B0=0 gam=1,2,2,2.0,0.0,4.5,0.0
qlen B0=1 gam=.5 eps=.5,2,2,2.0,0.0,6.333333333333333,0.0
thresh B=1 th=1 N=2,2,2,2.0,0.0,5.5,0.0
thresh B=0 th=.5 N=3 eps=1,2,2,2.0,0.0,9.5,0.0
cap B0=1 eps=1 Bmax=3,2,2,2.0,0.0,5.5,0.0
cap B0=1 eps=.5 Bmax=1,2,2,2.0,0.0,4.5,0.0
cap+cnt B=1 e=1 th=1 N=2 Bm=4,2,2,2.0,0.0,7.0,0.0
skip N=2 (work channel off),2,2,2.0,0.0,8.0,0.0
skip N=5 (work channel off),2,2,2.0,0.0,14.0,0.0
fixed B=0,2,9,3.5,0.0,7.0,0.0
fixed B=1,2,9,3.5,0.0,7.5,0.0
fixed B=4,2,9,3.5,0.0,9.0,0.0
rel B0=0 eps=.5,2,9,3.5,0.0,9.333333333333334,0.0
rel B0=1 eps=1,2,9,3.5,0.0,15.0,0.0
qlen B0=0 gam=1,2,9,3.5,0.0,7.5,0.0
qlen B0=1 gam=.5 eps=.5,2,9,3.5,0.0,10.333333333333334,0.0
thresh B=1 th=1 N=2,2,9,3.5,0.0,8.5,0.0
thresh B=0 th=.5 N=3 eps=1,2,9,3.5,0.0,15.5,0.0
cap B0=1 eps=1 Bmax=3,2,9,3.5,0.0,8.5,0.0
cap B0=1 eps=.5 Bmax=1,2,9,3.5,0.0,7.5,0.0
cap+cnt B=1 e=1 th=1 N=2 Bm=4,2,9,3.5,0.0,10.0,0.0
skip N=2 (work channel off),2,9,3.5,0.0,11.0,0.0
skip N=5 (work channel off),2,9,3.5,0.0,17.0,0.0
fixed B=0,2,7,4.0,0.0,8.0,0.0
fixed B=1,2,7,4.0,0.0,8.5,0.0
fixed B=4,2,7,4.0,0.0,10.0,0.0
