[     0s] k1rep0 level0: k=1 rho_busy=0.8000 n=3,209,347 predictor=M4 groups=base,fixed,rel,cap,skip
[     1s]   FCFS p99_dl 221.2744s mean 6.5935s | SJF-ref p99_dl 45.3248s mean 1.8713s | gap 175.9496s / 4.7222s
[     1s]   jobs with FCFS wait <= 1 s: 2,851,036 (88.8%); <= 10 s: 2,958,050 (92.2%)
[     1s]   FCFS                     0.2s p99_dl   221.274 gap  0.000 | max_excess       0.0 guar@0      inf guar@p99       inf guarmax       inf used nan | exc|wf<1s      0.0 | maxheavy   1423.5 | forced 100.000% qw 100.00%
[     1s]   SJF-ref                  0.2s p99_dl    45.325 gap  1.000 | max_excess    2054.5 guar@0      inf guar@p99       inf guarmax       inf used nan | exc|wf<1s    777.9 | maxheavy   2366.7 | forced  0.000% qw   0.00%
[     1s]   SPJF                     0.2s p99_dl    64.743 gap  0.890 | max_excess    2520.3 guar@0      inf guar@p99       inf guarmax       inf used nan | exc|wf<1s    400.1 | maxheavy   2698.2 | forced  0.000% qw   0.00%
[     2s]   FIX-B30                  1.1s p99_dl   176.244 gap  0.256 | max_excess      86.6 guar@0     90.0 guar@p99      90.0 guarmax      90.0 used 0.962 | exc|wf<1s     82.4 | maxheavy   1465.6 | forced  0.776% qw  31.94%
[     3s]   FIX-B120                 1.1s p99_dl   112.379 gap  0.619 | max_excess     172.9 guar@0    180.0 guar@p99     180.0 guarmax     180.0 used 0.961 | exc|wf<1s    163.9 | maxheavy   1552.7 | forced  0.205% qw  13.36%
[     4s]   FIX-B300                 1.1s p99_dl    81.974 gap  0.792 | max_excess     349.0 guar@0    360.0 guar@p99     360.0 guarmax     360.0 used 0.969 | exc|wf<1s    332.8 | maxheavy   1723.8 | forced  0.066% qw   5.20%
[     5s]   FIX-B600                 1.0s p99_dl    71.217 gap  0.853 | max_excess     646.5 guar@0    660.0 guar@p99     660.0 guarmax     660.0 used 0.980 | exc|wf<1s    400.1 | maxheavy   2025.2 | forced  0.025% qw   2.20%
[     6s]   FIX-B1200                1.0s p99_dl    67.095 gap  0.876 | max_excess    1250.3 guar@0   1260.0 guar@p99    1260.0 guarmax    1260.0 used 0.992 | exc|wf<1s    400.1 | maxheavy   2235.3 | forced  0.006% qw   0.47%
[     8s]   FIX-B1800                1.1s p99_dl    65.772 gap  0.884 | max_excess    1836.4 guar@0   1860.0 guar@p99    1860.0 guarmax    1860.0 used 0.987 | exc|wf<1s    400.1 | maxheavy   2431.1 | forced  0.001% qw   0.05%
[     9s]   FIX-B3600                1.2s p99_dl    64.743 gap  0.890 | max_excess    2520.3 guar@0   3660.0 guar@p99    3660.0 guarmax    3660.0 used 0.689 | exc|wf<1s    400.1 | maxheavy   2698.2 | forced  0.000% qw   0.00%
[    10s]   FIX-B7200                1.0s p99_dl    64.743 gap  0.890 | max_excess    2520.3 guar@0   7260.0 guar@p99    7260.0 guarmax    7260.0 used 0.347 | exc|wf<1s    400.1 | maxheavy   2698.2 | forced  0.000% qw   0.00%
[    11s]   REL-B30-e0.25            1.0s p99_dl   108.228 gap  0.642 | max_excess     515.9 guar@0    120.0 guar@p99     193.8 guarmax     595.8 used 0.924 | exc|wf<1s     82.4 | maxheavy   1938.3 | forced  0.270% qw  10.49%
[    12s]   REL-B30-e0.5             1.0s p99_dl    83.633 gap  0.782 | max_excess    1021.7 guar@0    180.0 guar@p99     401.3 guarmax    1607.3 used 0.907 | exc|wf<1s     99.6 | maxheavy   2235.3 | forced  0.095% qw   3.94%
[    13s]   REL-B30-e0.75            1.1s p99_dl    70.502 gap  0.857 | max_excess    1876.7 guar@0    360.0 guar@p99    1023.8 guarmax    4641.8 used 0.874 | exc|wf<1s    163.9 | maxheavy   2474.3 | forced  0.020% qw   0.97%
[    14s]   REL-B30-e0.9             1.0s p99_dl    65.421 gap  0.886 | max_excess    2058.5 guar@0    900.0 guar@p99    2891.5 guarmax   13745.3 used 0.761 | exc|wf<1s    332.8 | maxheavy   2474.3 | forced  0.003% qw   0.18%
[    15s]   REL-B120-e0.25           1.2s p99_dl    86.389 gap  0.767 | max_excess     635.8 guar@0    240.0 guar@p99     313.8 guarmax     715.8 used 0.946 | exc|wf<1s    168.6 | maxheavy   2058.0 | forced  0.078% qw   4.81%
[    16s]   REL-B120-e0.5            1.2s p99_dl    73.148 gap  0.842 | max_excess    1123.2 guar@0    360.0 guar@p99     581.3 guarmax    1787.3 used 0.938 | exc|wf<1s    241.5 | maxheavy   2235.3 | forced  0.022% qw   1.62%
[    17s]   REL-B120-e0.75           1.0s p99_dl    66.469 gap  0.880 | max_excess    1918.2 guar@0    720.0 guar@p99    1383.8 guarmax    5001.8 used 0.885 | exc|wf<1s    400.1 | maxheavy   2474.3 | forced  0.005% qw   0.45%
[    18s]   REL-B120-e0.9            1.0s p99_dl    65.058 gap  0.888 | max_excess    2520.3 guar@0   1800.0 guar@p99    3791.5 guarmax   14645.3 used 0.811 | exc|wf<1s    400.1 | maxheavy   2698.2 | forced  0.001% qw   0.05%
[    19s]   REL-B600-e0.25           1.2s p99_dl    67.860 gap  0.872 | max_excess    1096.3 guar@0    880.0 guar@p99     953.8 guarmax    1355.8 used 0.971 | exc|wf<1s    400.1 | maxheavy   2235.3 | forced  0.008% qw   0.86%
[    20s]   REL-B600-e0.5            1.1s p99_dl    65.670 gap  0.884 | max_excess    1833.4 guar@0   1320.0 guar@p99    1541.3 guarmax    2747.3 used 0.956 | exc|wf<1s    400.1 | maxheavy   2431.1 | forced  0.003% qw   0.18%
[    22s]   REL-B600-e0.75           1.1s p99_dl    64.743 gap  0.890 | max_excess    2520.3 guar@0   2640.0 guar@p99    3303.8 guarmax    6921.8 used 0.869 | exc|wf<1s    400.1 | maxheavy   2698.2 | forced  0.000% qw   0.00%
[    23s]   REL-B600-e0.9            1.1s p99_dl    64.743 gap  0.890 | max_excess    2520.3 guar@0   6600.0 guar@p99    8591.5 guarmax   19445.3 used 0.342 | exc|wf<1s    400.1 | maxheavy   2698.2 | forced  0.000% qw   0.00%
[    24s]   REL-B1800-e0.25          1.0s p99_dl    64.868 gap  0.889 | max_excess    2483.6 guar@0   2480.0 guar@p99    2553.8 guarmax    2955.8 used 0.982 | exc|wf<1s    400.1 | maxheavy   2665.6 | forced  0.000% qw   0.00%
[    25s]   REL-B1800-e0.5           1.0s p99_dl    64.743 gap  0.890 | max_excess    2520.3 guar@0   3720.0 guar@p99    3941.3 guarmax    5147.3 used 0.654 | exc|wf<1s    400.1 | maxheavy   2698.2 | forced  0.000% qw   0.00%
[    26s]   REL-B1800-e0.75          1.0s p99_dl    64.743 gap  0.890 | max_excess    2520.3 guar@0   7440.0 guar@p99    8103.8 guarmax   11721.8 used 0.324 | exc|wf<1s    400.1 | maxheavy   2698.2 | forced  0.000% qw   0.00%
[    27s]   REL-B1800-e0.9           1.1s p99_dl    64.743 gap  0.890 | max_excess    2520.3 guar@0  18600.0 guar@p99   20591.5 guarmax   31445.3 used 0.129 | exc|wf<1s    400.1 | maxheavy   2698.2 | forced  0.000% qw   0.00%
