guar = guaranteed worst-case per-job excess over FCFS on this trace (max_i bound_i - W_fcfs[i]);
guar@0 = the same bound for a job FCFS would not have delayed; harm = observed max excess over
FCFS among jobs with W_fcfs <= 1 s; gap = fraction of the FCFS->true-SJF gap closed on deadline-window p99;
qwF = share of queue-weighted dispatches forced to a guarded job; used = observed excess / allowed excess.
P1 marks the Pareto front on (guar, gap), P2 on (harm, gap).

=== rep0, predictor M4, level 0: k = 8, busy-hour rho = 0.5294, FCFS p99_dl = 22.2 s, true-SJF p99_dl = 8.3 s ===
policy                     guar   guar@0    gap gapMean   p99_dl   maxExc    harm maxHeavy   qwF%  used  P1 P2
FIX-B30                   168.8    168.8  0.333   0.275    17.56     62.6    59.6    438.7  28.11 0.371  1  1
SKIP-N1                   172.5    172.5  0.010   0.016    22.03     36.0    36.0    435.2  51.72 0.209  0  1
SKIP-N2                   180.0    180.0  0.011   0.021    22.01     36.1    36.1    435.2  51.21 0.201  0  1
FIX-B120                  180.0    180.0  0.504   0.435    15.18     76.1    60.0    449.7  14.54 0.423  1  0
SKIP-N5                   202.5    202.5  0.022   0.036    21.86     36.3    36.3    435.3  49.35 0.179  0  1
FIX-B300                  202.5    202.5  0.639   0.592    13.31     82.4    68.5    472.4   5.95 0.407  1  0
SKIP-N10                  240.0    240.0  0.040   0.058    21.62     44.3    44.3    435.4  46.74 0.185  0  1
CAP-B30-e0.5-M600         240.0    240.0  0.643   0.695    13.26    130.9    70.9    537.3   2.74 0.546  0  0
CAP-B120-e0.5-M600        240.0    240.0  0.685   0.700    12.68    125.0   112.1    537.3   2.03 0.521  0  0
FIX-B600                  240.0    240.0  0.691   0.699    12.59    125.0   112.3    537.3   1.87 0.521  1  0
SKIP-N20                  315.0    315.0  0.068   0.094    21.22     52.4    45.9    435.6  43.01 0.166  0  1
CAP-B30-e0.5-M1200        315.0    315.0  0.655   0.775    13.09    200.6    70.9    598.4   1.66 0.637  0  0
CAP-B120-e0.5-M1200       315.0    315.0  0.699   0.787    12.48    195.5   112.1    600.9   0.87 0.621  0  0
CAP-B30-e0.75-M1200       315.0    315.0  0.701   0.776    12.46    197.9   119.3    598.1   0.74 0.628  0  0
CAP-B120-e0.75-M1200      315.0    315.0  0.710   0.773    12.33    195.1   119.3    598.1   0.49 0.619  0  0
CAP-B30-e0.9-M1200        315.0    315.0  0.711   0.773    12.32    194.5   119.3    598.1   0.47 0.617  0  0
FIX-B1200                 315.0    315.0  0.711   0.773    12.32    194.5   140.8    598.1   0.40 0.617  1  0
REL-B30-e0.25             370.0    225.0  0.577   0.688    14.18    183.7    60.0    589.8   3.90 0.524  0  1
REL-B120-e0.25            385.0    240.0  0.649   0.740    13.17    183.7    68.2    595.3   2.06 0.513  0  1
FIX-B1800                 390.0    390.0  0.718   0.805    12.22    286.4   140.8    668.5   0.20 0.734  1  0
REL-B600-e0.25            465.0    320.0  0.712   0.795    12.31    305.7   119.3    731.2   0.36 0.662  0  0
SKIP-N50                  540.0    540.0  0.164   0.173    19.90     61.5    46.7    436.4  36.19 0.114  0  1
CAP-B120-e0.5-M3600       615.0    360.0  0.708   0.833    12.36    491.2   112.1    892.4   0.64 0.799  0  0
CAP-B30-e0.75-M3600       615.0    615.0  0.718   0.863    12.21    486.6   119.3    882.4   0.45 0.791  0  0
CAP-B600-e0.5-M3600       615.0    480.0  0.727   0.859    12.10    486.7   140.8    878.9   0.05 0.791  0  0
CAP-B30-e0.9-M3600        615.0    615.0  0.730   0.858    12.06    498.1   119.3    881.2   0.14 0.810  0  0
CAP-B120-e0.75-M3600      615.0    615.0  0.730   0.862    12.05    494.5   119.3    881.2   0.15 0.804  0  0
FIX-B3600                 615.0    615.0  0.732   0.866    12.02    491.7   140.8    882.4   0.03 0.799  1  0
REL-B1800-e0.25           665.0    520.0  0.730   0.860    12.05    482.9   140.8    878.9   0.04 0.751  0  0
REL-B30-e0.5              772.5    337.5  0.660   0.822    13.02    467.6    70.9    871.4   1.51 0.638  0  1
REL-B120-e0.5             795.0    360.0  0.708   0.833    12.35    496.7   112.1    900.4   0.64 0.657  0  1
REL-B600-e0.5             915.0    480.0  0.727   0.860    12.09    605.1   140.8   1001.0   0.05 0.691  0  0
FIX-B7200                1065.0   1065.0  0.735   0.868    11.99    951.7   140.8   1147.5   0.01 0.894  1  0
REL-B1800-e0.5           1215.0    780.0  0.736   0.872    11.97    775.5   140.8   1147.5   0.01 0.735  1  1
REL-B30-e0.75            1980.1    675.0  0.723   0.868    12.15    817.4   119.3   1149.0   0.44 0.589  0  0
REL-B120-e0.75           2025.1    720.0  0.733   0.871    12.01    817.5   119.3   1148.5   0.12 0.570  0  0
REL-B600-e0.75           2265.1    960.0  0.735   0.872    11.98    812.4   140.8   1148.9   0.01 0.584  0  0
REL-B1800-e0.75          2865.1   1560.0  0.736   0.875    11.98   1225.3   140.8   1401.7   0.00 0.698  0  0
REL-B30-e0.9             5602.7   1687.5  0.734   0.874    12.00   1224.1   119.3   1401.3   0.10 0.445  0  1
REL-B120-e0.9            5715.2   1800.0  0.735   0.873    11.99   1222.0   140.8   1365.8   0.02 0.437  0  0
REL-B600-e0.9            6315.2   2400.0  0.735   0.875    11.98   1244.8   140.8   1365.8   0.00 0.443  0  0
