k,design,best_used_over_allowed,n_of_best
1,FIX-B1,0.9,8
1,FIX-B4,0.9375,13
1,FIX-B16,0.975,11
1,REL-B1-e.5k,0.7804878048780488,14
1,REL-B4-e.75k,0.6710526315789473,12
1,CAP-B1-e.5k-M8,0.9583333333333334,8
1,SKIP-N3,0.75,14
2,FIX-B1,0.5882352941176471,10
2,FIX-B4,0.75,10
2,FIX-B16,0.78125,16
2,REL-B1-e.5k,0.5,15
2,REL-B4-e.75k,0.2625,8
2,CAP-B1-e.5k-M8,0.6666666666666666,10
2,SKIP-N3,0.5714285714285714,12
3,FIX-B1,0.4655172413793104,9
3,FIX-B4,0.46875,13
3,FIX-B16,0.34090909090909094,16
3,REL-B1-e.5k,0.3781512605042017,16
3,REL-B4-e.75k,0.08203125,13
3,CAP-B1-e.5k-M8,0.3333333333333333,12
3,SKIP-N3,0.375,13
4,FIX-B1,0.24390243902439024,16
4,FIX-B4,0.3181818181818182,16
4,FIX-B16,0.2857142857142857,13
4,REL-B1-e.5k,0.07317073170731707,9
4,REL-B4-e.75k,0.056818181818181816,15
4,CAP-B1-e.5k-M8,0.25,9
4,SKIP-N3,0.23076923076923078,14
6,FIX-B1,0.0,12
6,FIX-B4,0.0,15
6,FIX-B16,0.0,8
6,REL-B1-e.5k,0.0,13
6,REL-B4-e.75k,0.0,14
6,CAP-B1-e.5k-M8,0.0,8
6,SKIP-N3,0.0,12
