pool,segment,policy,checked,test_checked,violations,worst_ratio,test_worst_ratio,max_excess_s,theoretical_max_s,instance_violations,instance_worst_ratio,instance_bound_min,instance_bound_max,identity_worst_ratio
CE1,0,Constant-3.5L,41048,0,0,0.0,0.0,0.0,907200.0,0.0,0.0,135848.75903614456,907200.0,0.0
CE1,0,Age-3.5L,41048,0,0,0.0,0.0,0.0,907200.0,0.0,0.0,129605.95180722892,907200.0,0.0
CE1,0,Skip-3.5L,41048,0,0,0.0,0.0,0.0,905638.5542168674,,,,,0.0
CE1,0,Constant-5L,41048,0,0,0.0,0.0,0.0,1296000.0,0.0,0.0,524648.7590361446,1296000.0,0.0
CE1,0,Age-5L,41048,0,0,0.0,0.0,0.0,1296000.0,0.0,0.0,129605.95180722892,1296000.0,0.0
CE1,0,Skip-5L,41048,0,0,0.0,0.0,0.0,1296000.0,,,,,0.0
CE1,0,Constant-10L,41048,0,0,0.0,0.0,0.0,2592000.0,0.0,0.0,1820648.7590361445,2592000.0,0.0
CE1,0,Age-10L,41048,0,0,0.0,0.0,0.0,2592000.0,0.0,0.0,518411.9036144578,2592000.0,0.0
CE1,0,Skip-10L,41048,0,0,0.0,0.0,0.0,2592000.0,,,,,0.0
CE1,1,Constant-3.5L,70188,66538,0,0.03483024691358025,0.03483024691358025,31598.0,907200.0,0.0,0.03483024691358025,135854.71084337347,907200.0,0.09875696326407708
CE1,1,Age-3.5L,70188,66538,0,0.03483024691358025,0.03483024691358025,31598.0,907200.0,0.0,0.03483024691358025,129617.85542168675,907200.0,0.09875696326407708
CE1,1,Skip-3.5L,70188,66538,0,0.034890299063431246,0.034890299063431246,31598.0,905638.5542168674,,,,,0.09875696326407708
CE1,1,Constant-5L,70188,66538,0,0.024381172839506172,0.024381172839506172,31598.0,1296000.0,0.0,0.024381172839506172,524654.7108433736,1296000.0,0.09875696326407708
CE1,1,Age-5L,70188,66538,0,0.024381172839506172,0.024381172839506172,31598.0,1296000.0,0.0,0.024381172839506172,129617.85542168675,1296000.0,0.09875696326407708
CE1,1,Skip-5L,70188,66538,0,0.024381172839506172,0.024381172839506172,31598.0,1296000.0,,,,,0.09875696326407708
CE1,1,Constant-10L,70188,66538,0,0.012190586419753086,0.012190586419753086,31598.0,2592000.0,0.0,0.012190586419753086,1820654.7108433733,2592000.0,0.09875696326407708
CE1,1,Age-10L,70188,66538,0,0.012190586419753086,0.012190586419753086,31598.0,2592000.0,0.0,0.012190586419753086,518435.7108433735,2592000.0,0.09875696326407708
CE1,1,Skip-10L,70188,66538,0,0.012190586419753086,0.012190586419753086,31598.0,2592000.0,,,,,0.09875696326407708
old_CE2,0,Constant-3.5L,40219,0,0,0.0,0.0,0.0,907200.0,0.0,0.0,138904.57142857145,907199.9999999999,0.0
old_CE2,0,Age-3.5L,40219,0,0,0.0,0.0,0.0,907200.0,0.0,0.0,129694.85714285714,907199.9999999999,0.0
old_CE2,0,Skip-3.5L,40219,0,0,0.0,0.0,0.0,907200.0,,,,,0.0
old_CE2,0,Constant-5L,40219,0,0,0.0,0.0,0.0,1296000.0,0.0,0.0,527704.5714285714,1296000.0,0.0
old_CE2,0,Age-5L,40219,0,0,0.0,0.0,0.0,1296000.0,0.0,0.0,129694.85714285714,1296000.0,0.0
old_CE2,0,Skip-5L,40219,0,0,0.0,0.0,0.0,1296000.0,,,,,0.0
old_CE2,0,Constant-10L,40219,0,0,0.0,0.0,0.0,2592000.0,0.0,0.0,1823704.5714285716,2592000.0,0.0
old_CE2,0,Age-10L,40219,0,0,0.0,0.0,0.0,2592000.0,0.0,0.0,518589.71428571426,2592000.0,0.0
old_CE2,0,Skip-10L,40219,0,0,0.0,0.0,0.0,2592000.0,,,,,0.0
old_CE2,1,Constant-3.5L,54767,50272,0,0.04638888888888889,0.04638888888888889,42084.0,907200.0,0.0,0.046388888888888896,138874.92857142858,907199.9999999999,0.042253507295173964
old_CE2,1,Age-3.5L,54767,50272,0,0.04638888888888889,0.04638888888888889,42084.0,907200.0,0.0,0.046388888888888896,129635.57142857143,907199.9999999999,0.042253507295173964
old_CE2,1,Skip-3.5L,54767,50272,0,0.04630511463844797,0.04630511463844797,42008.0,907200.0,,,,,0.042253507295173964
old_CE2,1,Constant-5L,54767,50272,0,0.03247222222222222,0.03247222222222222,42084.0,1296000.0,0.0,0.03247222222222222,527674.9285714285,1296000.0,0.042253507295173964
old_CE2,1,Age-5L,54767,50272,0,0.03247222222222222,0.03247222222222222,42084.0,1296000.0,0.0,0.03247222222222222,129635.57142857143,1296000.0,0.042253507295173964
old_CE2,1,Skip-5L,54767,50272,0,0.03247222222222222,0.03247222222222222,42084.0,1296000.0,,,,,0.042253507295173964
old_CE2,1,Constant-10L,54767,50272,0,0.01623611111111111,0.01623611111111111,42084.0,2592000.0,0.0,0.01623611111111111,1823674.9285714286,2592000.0,0.042253507295173964
old_CE2,1,Age-10L,54767,50272,0,0.01623611111111111,0.01623611111111111,42084.0,2592000.0,0.0,0.01623611111111111,518471.14285714284,2592000.0,0.042253507295173964
old_CE2,1,Skip-10L,54767,50272,0,0.01623611111111111,0.01623611111111111,42084.0,2592000.0,,,,,0.042253507295173964
