pool,segment,policy,n,forced,scope,fraction
CE1,0,FCFS,41048,41048,whole segment including FCFS prefix,1.0
CE1,0,SJF,41048,0,whole segment including FCFS prefix,0.0
CE1,0,SPJF-E,41048,0,whole segment including FCFS prefix,0.0
CE1,0,SPJF-log,41048,0,whole segment including FCFS prefix,0.0
CE1,0,SPJF-static,41048,0,whole segment including FCFS prefix,0.0
CE1,0,Constant-3.5L,41048,0,whole segment including FCFS prefix,0.0
CE1,0,Age-3.5L,41048,0,whole segment including FCFS prefix,0.0
CE1,0,Skip-3.5L,41048,0,whole segment including FCFS prefix,0.0
CE1,0,Constant-5L,41048,0,whole segment including FCFS prefix,0.0
CE1,0,Age-5L,41048,0,whole segment including FCFS prefix,0.0
CE1,0,Skip-5L,41048,0,whole segment including FCFS prefix,0.0
CE1,0,Constant-10L,41048,0,whole segment including FCFS prefix,0.0
CE1,0,Age-10L,41048,0,whole segment including FCFS prefix,0.0
CE1,0,Skip-10L,41048,0,whole segment including FCFS prefix,0.0
CE1,1,FCFS,70188,70188,whole segment including FCFS prefix,1.0
CE1,1,SJF,70188,0,whole segment including FCFS prefix,0.0
CE1,1,SPJF-E,70188,0,whole segment including FCFS prefix,0.0
CE1,1,SPJF-log,70188,0,whole segment including FCFS prefix,0.0
CE1,1,SPJF-static,70188,0,whole segment including FCFS prefix,0.0
CE1,1,Constant-3.5L,70188,0,whole segment including FCFS prefix,0.0
CE1,1,Age-3.5L,70188,0,whole segment including FCFS prefix,0.0
CE1,1,Skip-3.5L,70188,195,whole segment including FCFS prefix,0.0027782526927679946
CE1,1,Constant-5L,70188,0,whole segment including FCFS prefix,0.0
CE1,1,Age-5L,70188,0,whole segment including FCFS prefix,0.0
CE1,1,Skip-5L,70188,111,whole segment including FCFS prefix,0.0015814669174217815
CE1,1,Constant-10L,70188,0,whole segment including FCFS prefix,0.0
CE1,1,Age-10L,70188,0,whole segment including FCFS prefix,0.0
CE1,1,Skip-10L,70188,0,whole segment including FCFS prefix,0.0
old_CE2,0,FCFS,40219,40219,whole segment including FCFS prefix,1.0
old_CE2,0,SJF,40219,0,whole segment including FCFS prefix,0.0
old_CE2,0,SPJF-E,40219,0,whole segment including FCFS prefix,0.0
old_CE2,0,SPJF-log,40219,0,whole segment including FCFS prefix,0.0
old_CE2,0,SPJF-static,40219,0,whole segment including FCFS prefix,0.0
old_CE2,0,Constant-3.5L,40219,0,whole segment including FCFS prefix,0.0
old_CE2,0,Age-3.5L,40219,0,whole segment including FCFS prefix,0.0
old_CE2,0,Skip-3.5L,40219,0,whole segment including FCFS prefix,0.0
old_CE2,0,Constant-5L,40219,0,whole segment including FCFS prefix,0.0
old_CE2,0,Age-5L,40219,0,whole segment including FCFS prefix,0.0
old_CE2,0,Skip-5L,40219,0,whole segment including FCFS prefix,0.0
old_CE2,0,Constant-10L,40219,0,whole segment including FCFS prefix,0.0
old_CE2,0,Age-10L,40219,0,whole segment including FCFS prefix,0.0
old_CE2,0,Skip-10L,40219,0,whole segment including FCFS prefix,0.0
old_CE2,1,FCFS,54767,54767,whole segment including FCFS prefix,1.0
old_CE2,1,SJF,54767,0,whole segment including FCFS prefix,0.0
old_CE2,1,SPJF-E,54767,0,whole segment including FCFS prefix,0.0
old_CE2,1,SPJF-log,54767,0,whole segment including FCFS prefix,0.0
old_CE2,1,SPJF-static,54767,0,whole segment including FCFS prefix,0.0
old_CE2,1,Constant-3.5L,54767,0,whole segment including FCFS prefix,0.0
old_CE2,1,Age-3.5L,54767,0,whole segment including FCFS prefix,0.0
old_CE2,1,Skip-3.5L,54767,61,whole segment including FCFS prefix,0.0011138094107765626
old_CE2,1,Constant-5L,54767,0,whole segment including FCFS prefix,0.0
old_CE2,1,Age-5L,54767,0,whole segment including FCFS prefix,0.0
old_CE2,1,Skip-5L,54767,23,whole segment including FCFS prefix,0.00041996092537476947
old_CE2,1,Constant-10L,54767,0,whole segment including FCFS prefix,0.0
old_CE2,1,Age-10L,54767,0,whole segment including FCFS prefix,0.0
old_CE2,1,Skip-10L,54767,0,whole segment including FCFS prefix,0.0
