calendar,n,work_s,exposure_hours,arrivals_per_exposed_hour
0,7439,15624959,223.36194444444445,33.30468857845326
1,7683,14641630,224.0,34.299107142857146
2,7215,12929967,224.0,32.20982142857143
3,6490,13317334,224.0,28.973214285714285
4,6439,13182779,224.0,28.745535714285715
5,6399,9551254,224.0,28.566964285714285
6,6013,6504231,224.0,26.84375
7,7477,9922143,224.0,33.379464285714285
8,7468,20610884,224.0,33.339285714285715
9,8298,33584576,224.0,37.044642857142854
10,10249,37661975,224.0,45.754464285714285
11,8326,20605484,224.0,37.169642857142854
12,9251,30830805,224.0,41.299107142857146
13,12576,19453605,224.0,56.142857142857146
14,11321,41649321,224.0,50.54017857142857
15,14684,46724693,224.0,65.55357142857143
16,9926,39035403,223.12194444444444,44.486883729500185
17,9879,49537695,223.0,44.300448430493276
18,9554,64453407,223.0,42.84304932735426
19,8115,42624255,223.0,36.39013452914798
20,7704,17183411,223.0,34.54708520179372
21,7830,18598659,223.0,35.11210762331839
22,8131,22462473,223.0,36.46188340807175
23,7755,14512599,223.0,34.775784753363226
