pool,policy,n,n_busy,mean,p99,p99_busy,max_excess,harm,heavy_p99,heavy_max,overall_p99_lo,overall_p99_hi,overall_mean_lo,overall_mean_hi,busy_p99_lo,busy_p99_hi,busy_mean_lo,busy_mean_hi,mean_reduction,mean_gap,p99_reduction,p99_gap,p99_busy_reduction,p99_busy_gap,mean_gap_lo,mean_gap_hi,mean_gap_valid,mean_reduction_lo,mean_reduction_hi,mean_reduction_valid,p99_gap_lo,p99_gap_hi,p99_gap_valid,p99_reduction_lo,p99_reduction_hi,p99_reduction_valid,p99_busy_gap_lo,p99_busy_gap_hi,p99_busy_gap_valid,p99_busy_reduction_lo,p99_busy_reduction_hi,p99_busy_reduction_valid
all,FCFS,116810,74267,390.95831692492084,11376.550000000017,10969.339999999997,0.0,0.0,39803.73999999999,80829.0,4916.846,20070.154249999956,167.13994140240408,727.9838212444978,4759.2,20583.027500000073,160.83641503682472,838.6909922558424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,0.0,0.0,2000,0.0,0.0,1999,0.0,0.0,1999,0.0,0.0,1992,0.0,0.0,1999
all,SJF,116810,74267,245.49019775704136,7315.560000000056,8596.059999999969,80219.0,23384.0,38623.05999999998,82074.0,1407.9449999999997,14695.277999999918,86.78959814677143,493.75398029483273,1857.6924999999603,18429.10499999986,96.53454982717639,632.6021803530186,0.3720808916716689,1.0,0.3569614689866396,1.0,0.21635576980930749,1.0,1.0,1.0,2000,0.27833086683308006,0.5399083043290317,2000,1.0,1.0,1999,0.17156396375351918,0.7216134290794171,1999,1.0,1.0,1992,0.036015472111759546,0.6143145729565473,1999
all,SPJF-E,116810,74267,307.1031504152042,9359.0,10511.0,42084.0,11355.0,38163.81999999999,82313.0,2002.6774999999864,18860.99849999996,107.81781450430759,610.1477283639941,2653.335250000001,20360.504500000046,119.96616829005687,783.8037123363704,0.2144862070444714,0.5764504758114212,0.17734286756530004,0.49681235363791504,0.041783735393377985,0.19312512640733126,0.4469789138951031,0.7594502170883268,2000,0.13218218947998217,0.38197337010087895,2000,0.21870947681670094,0.902320719898595,1999,0.04332455580077992,0.6011069181331705,1999,-0.8648804181237488,0.8585363838201511,1992,-0.11156304063889017,0.45993113638095334,1999
all,SPJF-log,116810,74267,305.4836229774848,9439.120000000112,10219.01999999999,80266.0,16226.0,39624.09999999998,82679.0,2184.9875000000807,17443.025,108.96238701832789,601.4975536815525,2925.9572499999995,18852.10675,118.77230458374031,755.6457574142871,0.21862866256366276,0.5875836880024055,0.17030031072688145,0.47708317429984415,0.06840156290168842,0.31615317198139203,0.44706837317048087,0.7542334664094423,2000,0.14381368529773425,0.3679953920442187,2000,0.15803984739992227,0.8694772830368295,1999,0.03835135500057837,0.5723329896027323,1999,-1.2629296110338564,0.9020388309088284,1992,-0.14003456322392216,0.3934338887565057,1999
all,SPJF-static,116810,74267,355.79696943754817,10479.580000000133,11093.0,64178.0,4898.0,39918.43999999999,80797.0,3362.752500000011,19797.0,145.87654261250285,666.4984876415838,4308.4095000000125,20884.93175,161.01115856655642,830.7111462934645,0.08993630769626271,0.2417117076133653,0.07884376194891096,0.22087471281630666,-0.011273239775593025,-0.05210510348547244,0.11903566772106347,0.3833141770669062,2000,0.04218259487070698,0.1704096906194055,2000,0.01945224541104041,0.6992498946042942,1999,0.005121324240765364,0.3576932949134095,1999,-1.204171975465968,0.35425897686077196,1992,-0.28211389264595915,0.14556684727498062,1999
all,Constant-3.5L,116810,74267,307.1031504152042,9359.0,10511.0,42084.0,11355.0,38163.81999999999,82313.0,2002.6774999999864,18860.99849999996,107.81781450430759,610.1477283639941,2653.335250000001,20360.504500000046,119.96616829005687,783.8037123363704,0.2144862070444714,0.5764504758114212,0.17734286756530004,0.49681235363791504,0.041783735393377985,0.19312512640733126,0.4469789138951031,0.7594502170883268,2000,0.13218218947998217,0.38197337010087895,2000,0.21870947681670094,0.902320719898595,1999,0.04332455580077992,0.6011069181331705,1999,-0.8648804181237488,0.8585363838201511,1992,-0.11156304063889017,0.45993113638095334,1999
all,Age-3.5L,116810,74267,307.1031504152042,9359.0,10511.0,42084.0,11355.0,38163.81999999999,82313.0,2002.6774999999864,18860.99849999996,107.81781450430759,610.1477283639941,2653.335250000001,20360.504500000046,119.96616829005687,783.8037123363704,0.2144862070444714,0.5764504758114212,0.17734286756530004,0.49681235363791504,0.041783735393377985,0.19312512640733126,0.4469789138951031,0.7594502170883268,2000,0.13218218947998217,0.38197337010087895,2000,0.21870947681670094,0.902320719898595,1999,0.04332455580077992,0.6011069181331705,1999,-0.8648804181237488,0.8585363838201511,1992,-0.11156304063889017,0.45993113638095334,1999
all,Skip-3.5L,116810,74267,307.59839910966525,9111.0,10458.739999999962,42008.0,11355.0,38163.81999999999,81963.0,2120.097499999926,18860.99849999996,107.75373475589831,611.4412585382638,2834.0177500000136,20360.504500000046,119.90983528031775,784.7067994237502,0.21321945129834374,0.57304595874408,0.19914209492333035,0.5578812063068461,0.04654792357607984,0.21514528416370127,0.4397464923278708,0.7594047972738545,2000,0.13016677587239248,0.38298910676046216,2000,0.23340498232338144,0.9178556368501937,1999,0.05356855409484183,0.590409352353038,1999,-0.42584751323653985,0.8920566458321668,1992,-0.0796997706437688,0.4212757256437076,1999
all,Constant-5L,116810,74267,307.1031504152042,9359.0,10511.0,42084.0,11355.0,38163.81999999999,82313.0,2002.6774999999864,18860.99849999996,107.81781450430759,610.1477283639941,2653.335250000001,20360.504500000046,119.96616829005687,783.8037123363704,0.2144862070444714,0.5764504758114212,0.17734286756530004,0.49681235363791504,0.041783735393377985,0.19312512640733126,0.4469789138951031,0.7594502170883268,2000,0.13218218947998217,0.38197337010087895,2000,0.21870947681670094,0.902320719898595,1999,0.04332455580077992,0.6011069181331705,1999,-0.8648804181237488,0.8585363838201511,1992,-0.11156304063889017,0.45993113638095334,1999
all,Age-5L,116810,74267,307.1031504152042,9359.0,10511.0,42084.0,11355.0,38163.81999999999,82313.0,2002.6774999999864,18860.99849999996,107.81781450430759,610.1477283639941,2653.335250000001,20360.504500000046,119.96616829005687,783.8037123363704,0.2144862070444714,0.5764504758114212,0.17734286756530004,0.49681235363791504,0.041783735393377985,0.19312512640733126,0.4469789138951031,0.7594502170883268,2000,0.13218218947998217,0.38197337010087895,2000,0.21870947681670094,0.902320719898595,1999,0.04332455580077992,0.6011069181331705,1999,-0.8648804181237488,0.8585363838201511,1992,-0.11156304063889017,0.45993113638095334,1999
