pool,segment,policy,k,L,b0_s,bmax_s,eta,skip_count
CE1,0,FCFS,83,259200,0.0,0.0,0.0,0
CE1,0,SJF,83,259200,0.0,0.0,0.0,0
CE1,0,SPJF-E,83,259200,0.0,0.0,0.0,0
CE1,0,SPJF-log,83,259200,0.0,0.0,0.0,0
CE1,0,SPJF-static,83,259200,0.0,0.0,0.0,0
CE1,0,Constant-3.5L,83,259200,11275200.0,11275200.0,0.0,0
CE1,0,Age-3.5L,83,259200,5378400.0,11275200.0,0.5,0
CE1,0,Skip-3.5L,83,259200,0.0,0.0,0.0,126
CE1,0,Constant-5L,83,259200,43545600.0,43545600.0,0.0,0
CE1,0,Age-5L,83,259200,5378400.0,43545600.0,0.5,0
CE1,0,Skip-5L,83,259200,0.0,0.0,0.0,251
CE1,0,Constant-10L,83,259200,151113600.0,151113600.0,0.0,0
CE1,0,Age-10L,83,259200,10756800.0,151113600.0,0.75,0
CE1,0,Skip-10L,83,259200,0.0,0.0,0.0,666
old_CE2,0,FCFS,56,259200,0.0,0.0,0.0,0
old_CE2,0,SJF,56,259200,0.0,0.0,0.0,0
old_CE2,0,SPJF-E,56,259200,0.0,0.0,0.0,0
old_CE2,0,SPJF-log,56,259200,0.0,0.0,0.0,0
old_CE2,0,SPJF-static,56,259200,0.0,0.0,0.0,0
old_CE2,0,Constant-3.5L,56,259200,7776000.0,7776000.0,0.0,0
old_CE2,0,Age-3.5L,56,259200,3628800.0,7776000.0,0.5,0
old_CE2,0,Skip-3.5L,56,259200,0.0,0.0,0.0,86
old_CE2,0,Constant-5L,56,259200,29548800.0,29548800.0,0.0,0
old_CE2,0,Age-5L,56,259200,3628800.0,29548800.0,0.5,0
old_CE2,0,Skip-5L,56,259200,0.0,0.0,0.0,170
old_CE2,0,Constant-10L,56,259200,102124800.0,102124800.0,0.0,0
old_CE2,0,Age-10L,56,259200,7257600.0,102124800.0,0.75,0
old_CE2,0,Skip-10L,56,259200,0.0,0.0,0.0,450
