pool,queue,L,L_min,n,mean,p50,p90,p99,max,top1,top5,raw_top1,raw_top5,exceeds
all,all,259200,900,206222,550.187079942974,4.0,478.0,11917.430000000139,515476.0,0.4071166319780389,0.8353746750697348,0.40721109948465,0.8353152576927606,741
all,1,900,900,41143,526.3432418637435,3.0,5.0,21496.640000000014,73830.0,0.2280974506651591,0.6648618255753843,0.23660297149594264,0.6685546812683933,220
all,2,7200,5400,69446,308.5958730524436,4.0,507.0,4701.0,316726.0,0.2239828659265514,0.5087872544351483,0.22789042747566882,0.5112607101782324,219
all,3,86400,86400,30602,500.83847460950267,4.0,55.0,14211.0,335830.0,0.2956290524098958,0.6734418173972486,0.2968639345820555,0.6740143294794813,185
all,4,129600,129600,18594,370.20382919221254,3.0,61.0,8382.729999999989,61835.0,0.16017046616338526,0.5014563851347439,0.16019855273324807,0.5014730580183523,61
all,5,259200,259200,44931,1066.351672564599,4.0,1094.0,16426.199999999342,515476.0,0.2088881433762434,0.5986549244166225,0.2088942845255703,0.5986580399305921,55
all,6,3600,3600,1506,167.4070385126162,1.0,2.0,2860.6000000000113,47387.0,0.6185875858354652,0.9469671468964589,0.6191196490697323,0.9470411267416259,1
CE1,all,259200,900,111236,562.4275054838362,4.0,465.0,12572.0,229741.0,0.3726565752958308,0.7981171618241623,0.372665709770132,0.7980896143669918,521
CE1,1,900,900,21062,671.7908555692717,4.0,7.0,24788.23999999999,73830.0,0.17467459601657276,0.5151948620054876,0.18303650167357963,0.5201067365296161,154
CE1,2,7200,7200,39857,366.107183179868,4.0,650.0,6827.120000000112,229741.0,0.19305505943713153,0.4340219418071218,0.19388609245523758,0.43460481485116587,108
CE1,3,86400,86400,19697,536.164593592933,4.0,178.0,12312.760000000017,48463.0,0.2653362783741191,0.6651422386350777,0.2654499855466547,0.6651940660605046,152
CE1,4,129600,129600,10299,495.76405476259833,4.0,448.00000000000364,11661.100000000002,61835.0,0.15231925906500657,0.48538298422084675,0.15236235742315596,0.4854091487275823,61
CE1,5,259200,259200,20321,893.3755720683038,4.0,415.0,17024.19999999981,92160.0,0.16244737916359217,0.5367568411136893,0.16245630037606856,0.5367617753596647,46
old_CE2,all,259200,900,94986,535.8525888025604,2.0,494.0,9987.899999999965,515476.0,0.45073687818403596,0.8834144644345918,0.45094862354887083,0.883265074285408,220
old_CE2,1,900,900,20081,373.79019969125045,1.0,3.0,14992.40000000007,59053.0,0.355668911780243,0.5107930533544638,0.36464708946477403,0.5176097148066154,66
old_CE2,2,7200,5400,29589,231.12693906519314,3.0,30.0,4044.079999999991,316726.0,0.2689001341023439,0.6198572567139576,0.2772617725785109,0.6242049749080972,111
old_CE2,3,86400,86400,10905,437.03117835855113,2.0,14.0,14697.039999999826,335830.0,0.3612277501880726,0.6578781139202593,0.3656991777673417,0.6602729788151243,33
old_CE2,4,129600,129600,8295,214.3093429776974,1.0,3.0,5359.539999999995,51636.0,0.17018748958803478,0.5194187667506915,0.17018748958803478,0.5194187667506915,0
old_CE2,5,259200,259200,24610,1209.1817147501015,8.0,1361.2000000000044,15326.999999999854,515476.0,0.2781222155387983,0.6612929713335823,0.27812466095006166,0.6612941187272281,9
old_CE2,6,3600,3600,1506,167.4070385126162,1.0,2.0,2860.6000000000113,47387.0,0.6185875858354652,0.9469671468964589,0.6191196490697323,0.9470411267416259,1
