pool,queue,L,n,mean,p50,p90,p99,max,top1,top5,raw_top1,raw_top5,exceeds
all,all,259200,202551,8025.687194829944,4.0,584.0,383525.5,1060830.0,0.4063354070635526,0.8384634156964641,0.4094892914674691,0.8393091121727392,441
all,1,900,37841,40023.847229195846,3.0,841.0,939595.7999999998,1010333.0,0.1937507986983763,0.6588766180008556,0.1976855409895888,0.6605414042673183,80
all,2,7200,70390,589.90095183975,4.0,503.0,4805.330000000002,1005278.0,0.19157140838123157,0.496723732720835,0.19203686718710902,0.4970134977944887,92
all,3,86400,30366,504.88256602779427,4.0,85.0,14213.049999999996,335830.0,0.25858341411622426,0.6873785040446335,0.26016019487452585,0.6880433604409418,152
all,4,129600,17825,383.7695371669004,3.0,79.0,8771.599999999904,61835.0,0.16120612031575648,0.5021166256588439,0.1744172244372785,0.509958348468352,64
all,5,259200,44623,1055.9882795867602,4.0,950.0,16523.639999999956,1060830.0,0.18524247446937278,0.6009202854696761,0.18800493352522885,0.6022733768335083,52
all,6,3600,1506,167.4070385126162,1.0,2.0,2860.6000000000113,47387.0,0.6185875858354652,0.9469671468964589,0.6191196490697323,0.9470411267416259,1
CE1,all,259200,108903,518.4584446709457,4.0,458.0,11972.939999999988,229741.0,0.3580628663930913,0.7973417493514721,0.35806003400139474,0.797335012728308,335
CE1,1,900,17333,703.4264697398027,4.0,7.0,25132.200000000048,73830.0,0.12828228296261662,0.4624455011484225,0.1321215829539115,0.4648130485120065,53
CE1,2,7200,41144,361.9662405210966,4.0,642.7000000000044,6646.259999999995,229741.0,0.15166022245135888,0.41692849136175747,0.15213645171083243,0.41725580798668493,53
CE1,3,86400,19961,532.020990932318,4.0,211.0,12253.800000000003,48463.0,0.22450835864137508,0.6694884208119655,0.2245936128713215,0.6695247558395393,127
CE1,4,129600,9879,514.8390525356817,4.0,549.2000000000007,11675.22,61835.0,0.1519143723650553,0.48413215025965367,0.15195865459346333,0.4841590859571896,61
CE1,5,259200,20586,664.0767511901292,4.0,112.0,12985.300000000585,92160.0,0.1374359485318641,0.5161764993892815,0.13744290530070646,0.5161804015322569,41
old_CE2,all,259200,93648,16755.822729796684,2.0,745.0,720079.3399999999,1060830.0,0.4647732728991391,0.892067576631257,0.47334087294872423,0.8937897960599642,106
old_CE2,1,900,20508,73256.77355178467,2.0,370102.6,980559.5700000001,1010333.0,0.3215062707960072,0.46857403378551316,0.32588716310450466,0.47200534026296026,27
old_CE2,2,7200,29246,910.5651713054776,3.0,36.0,4089.7499999999673,1005278.0,0.2479718732547214,0.6173039778793341,0.24842228526488785,0.6175331859082307,39
old_CE2,3,86400,10405,452.8200864968765,2.0,15.0,16192.759999999493,335830.0,0.33790478421047637,0.6333972028867388,0.3450878453285873,0.6373744711631676,25
old_CE2,4,129600,7946,220.81512710797887,1.0,3.0,5392.750000000001,51636.0,0.1742499160809744,0.5223874811254731,0.21172324289689845,0.5440619930143715,3
old_CE2,5,259200,24037,1391.6329408828058,9.0,1252.0,18161.479999999996,1060830.0,0.2732839217063043,0.664026365076719,0.28025788159033604,0.6672505494893561,11
old_CE2,6,3600,1506,167.4070385126162,1.0,2.0,2860.6000000000113,47387.0,0.6185875858354652,0.9469671468964589,0.6191196490697323,0.9470411267416259,1
