period,variant,pool,queue,queue_name,n,n_busy,L,k,floor_seconds,thin_fit,corner,fcfs_p99,fcfs_mean,fcfs_p99_busy,recorded_p99,recorded_p99_busy,fcfs_p99_over_L,fcfs_p99_busy_over_L,recorded_p99_over_L,condition1_floor,condition1_3L,condition1_busy_3L,condition1_recorded_3L,condition2_proxy_25pct,top1,top5
all,fit,CE1,1,test,21062,12410,900,1,900.0,False,True,16351.949999999997,634.01647516855,15807.379999999983,24788.23999999999,1783.7299999999996,18.168833333333332,17.563755555555538,27.54248888888888,True,True,True,True,False,0.17467459601657276,0.5151948620054876
all,obs,CE1,1,test,21062,12410,900,10,2520.0,False,False,0.0,0.4029057069604026,0.0,24788.23999999999,1783.7299999999996,0.0,0.0,27.54248888888888,False,False,False,True,False,0.17467459601657276,0.5151948620054876
all,fit,CE1,2,short,39857,25126,7200,67,21385.07462686567,False,False,1831.8800000000047,237.94655894823995,2018.75,6827.120000000112,3687.0,0.2544277777777784,0.2803819444444444,0.9482111111111267,False,False,False,False,False,0.19305505943713153,0.4340219418071218
all,obs,CE1,2,short,39857,25126,7200,84,21428.571428571428,False,True,1180.4400000000023,123.6937802644454,1265.75,6827.120000000112,3687.0,0.16395000000000032,0.1757986111111111,0.9482111111111267,False,False,False,False,False,0.19305505943713153,0.4340219418071218
all,fit,CE1,3,long,19697,19041,86400,38,254652.63157894736,False,False,22403.920000000042,579.1860181753567,22670.799999999996,12312.760000000017,12264.599999999977,0.25930462962963013,0.26239351851851844,0.14250879629629648,False,False,False,False,True,0.2653362783741191,0.6651422386350777
all,obs,CE1,3,long,19697,19041,86400,82,257092.68292682926,False,False,0.0,52.491394628623645,0.0,12312.760000000017,12264.599999999977,0.0,0.0,0.14250879629629648,False,False,False,False,True,0.2653362783741191,0.6651422386350777
all,fit,CE1,4,day,10299,10299,129600,7,351771.4285714286,True,False,4035268.8400000003,1761145.3906204486,4035268.8400000003,11661.100000000002,11661.100000000002,31.136333641975313,31.136333641975313,0.08997762345679014,True,True,True,False,False,0.15231925906500657,0.48538298422084675
all,obs,CE1,4,day,10299,10299,129600,11,365236.36363636365,True,False,1371277.3800000001,469692.78541605984,1371277.3800000001,11661.100000000002,11661.100000000002,10.580843981481483,10.580843981481483,0.08997762345679014,True,True,True,False,False,0.15231925906500657,0.48538298422084675
all,fit,CE1,5,infinite,20321,14919,259200,83,771354.21686747,False,False,12035.0,569.0594458934107,12496.46,17024.19999999981,23206.959999999992,0.04643132716049383,0.0482116512345679,0.06567978395061656,False,False,False,False,False,0.16244737916359217,0.5367568411136893
all,obs,CE1,5,infinite,20321,14919,259200,84,771428.5714285715,False,True,11950.8,546.3956990305595,12363.46,17024.19999999981,23206.959999999992,0.04610648148148148,0.04769853395061728,0.06567978395061656,False,False,False,False,False,0.16244737916359217,0.5367568411136893
all,fit,CE2,1,test,20081,6736,900,1,900.0,False,True,1710.000000000011,46.45978785917036,3401.2999999999993,14992.40000000007,7.649999999999636,1.9000000000000121,3.7792222222222214,16.6582222222223,True,False,True,True,True,0.355668911780243,0.5107930533544638
all,obs,CE2,1,test,20081,6736,900,6,2400.0,False,False,0.0,0.0970569194761217,0.0,14992.40000000007,7.649999999999636,0.0,0.0,16.6582222222223,False,False,False,True,True,0.355668911780243,0.5107930533544638
all,fit,CE2,2,short,12046,6398,5400,46,15965.217391304346,False,False,975.1999999999971,33.662875643367094,1296.0299999999997,4331.049999999977,2847.959999999992,0.18059259259259205,0.2400055555555555,0.8020462962962921,False,False,False,False,False,0.17762965927911153,0.4098175880082026
all,obs,CE2,2,short,12046,6398,5400,54,16000.0,False,False,451.5499999999993,19.758010957994355,757.119999999999,4331.049999999977,2847.959999999992,0.08362037037037023,0.14020740740740723,0.8020462962962921,False,False,False,False,False,0.17762965927911153,0.4098175880082026
all,fit,CE2,3,long,8556,7858,86400,20,250560.0,False,False,7112.700000000048,189.69810659186535,8019.870000000119,18949.300000000054,19226.86,0.08232291666666722,0.09282256944444582,0.21932060185185248,False,False,False,False,True,0.3535622536298303,0.6865570000121893
all,obs,CE2,3,long,8556,7858,86400,31,253625.8064516129,False,False,3610.9000000000015,92.43221131369799,3976.290000000001,18949.300000000054,19226.86,0.04179282407407409,0.04602187500000001,0.21932060185185248,False,False,False,False,True,0.3535622536298303,0.6865570000121893
all,fit,CE2,4,day,8295,8071,129600,12,367200.0,True,False,558195.199999997,70301.81820373719,552226.9000000012,5359.539999999995,5358.3,4.3070617283950385,4.261010030864207,0.04135447530864194,True,True,True,False,False,0.17018748958803478,0.5194187667506915
all,obs,CE2,4,day,8295,8071,129600,21,376457.14285714284,True,False,36022.459999999955,1795.5874623267027,35470.600000000006,5359.539999999995,5358.3,0.27795108024691323,0.27369290123456796,0.04135447530864194,False,False,False,False,False,0.17018748958803478,0.5194187667506915
all,fit,CE2,5,infinite,10035,9215,259200,43,765544.1860465116,False,False,80201.85999999999,2173.792027902342,81075.90000000001,83598.95999999999,83614.3,0.30942075617283943,0.3127928240740741,0.3225268518518518,False,False,False,False,False,0.2018495302514243,0.5640664546564385
all,obs,CE2,5,infinite,10035,9215,259200,52,767630.7692307692,False,False,45999.89999999982,1216.7113104135526,59508.68000000063,83598.95999999999,83614.3,0.17746874999999931,0.2295859567901259,0.3225268518518518,False,False,False,False,False,0.2018495302514243,0.5640664546564385
test,fit,CE1,1,test,19135,11671,900,1,900.0,False,True,16710.66,697.200679383329,16194.699999999993,6815.439999999995,402.1999999999971,18.5674,17.994111111111103,7.572711111111105,True,True,True,True,False,0.16671713541427705,0.4884834396235745
test,obs,CE1,1,test,19135,11671,900,10,2520.0,False,False,0.0,0.443480533054612,0.0,6815.439999999995,402.1999999999971,0.0,0.0,7.572711111111105,False,False,False,True,False,0.16671713541427705,0.4884834396235745
test,fit,CE1,2,short,10019,3954,7200,67,21385.07462686567,False,False,0.0,0.0,0.0,14288.959999999992,466.9399999999996,0.0,0.0,1.9845777777777767,False,False,False,False,True,0.28048366668028585,0.5059163797682305
test,obs,CE1,2,short,10019,3954,7200,84,21428.571428571428,False,True,0.0,0.0,0.0,14288.959999999992,466.9399999999996,0.0,0.0,1.9845777777777767,False,False,False,False,True,0.28048366668028585,0.5059163797682305
test,fit,CE1,3,long,14346,13869,86400,38,254652.63157894736,False,False,29091.44999999987,724.7456433849156,29296.119999999988,22860.049999999963,22883.0,0.33670659722222074,0.3390754629629628,0.26458391203703663,False,False,False,False,False,0.242594660277273,0.6773414148468058
test,obs,CE1,3,long,14346,13869,86400,82,257092.68292682926,False,False,0.0,68.53311027464102,0.0,22860.049999999963,22883.0,0.0,0.0,0.26458391203703663,False,False,False,False,False,0.242594660277273,0.6773414148468058
test,fit,CE1,4,day,10232,10232,129600,7,351771.4285714286,True,False,4035464.48,1772677.4796716184,4035464.48,11646.180000000011,11646.180000000011,31.137843209876543,31.137843209876543,0.08986250000000008,True,True,True,False,False,0.15124423533429154,0.4838008796617538
test,obs,CE1,4,day,10232,10232,129600,11,365236.36363636365,True,False,1371323.61,472768.3734362783,1371323.61,11646.180000000011,11646.180000000011,10.581200694444446,10.581200694444446,0.08986250000000008,True,True,True,False,False,0.15124423533429154,0.4838008796617538
test,fit,CE1,5,infinite,12806,8699,259200,83,771354.21686747,False,False,10899.95,382.87490238950494,12034.02,12405.800000000003,12190.220000000005,0.042052276234567906,0.0464275462962963,0.047861882716049395,False,False,False,False,False,0.16235943169377545,0.5406383769220484
test,obs,CE1,5,infinite,12806,8699,259200,84,771428.5714285715,False,True,10862.0,376.2751054193347,11982.02,12405.800000000003,12190.220000000005,0.04190586419753087,0.04622692901234568,0.047861882716049395,False,False,False,False,False,0.16235943169377545,0.5406383769220484
test,fit,CE2,1,test,15572,5142,900,1,900.0,False,True,2202.8999999999905,57.4472129463139,3935.7700000000004,16807.609999999993,5.0,2.447666666666656,4.3730777777777785,18.675122222222214,True,False,True,True,True,0.3502882212909953,0.5355958212831258
test,obs,CE2,1,test,15572,5142,900,6,2400.0,False,False,0.0,0.10217056254816337,0.0,16807.609999999993,5.0,0.0,0.0,18.675122222222214,False,False,False,True,True,0.3502882212909953,0.5355958212831258
test,fit,CE2,2,short,9334,5036,5400,46,15965.217391304346,False,False,0.0,0.0,0.0,726.380000000001,203.9499999999989,0.0,0.0,0.134514814814815,False,False,False,False,False,0.19276758091281088,0.43311519855577163
test,obs,CE2,2,short,9334,5036,5400,54,16000.0,False,False,0.0,0.0,0.0,726.380000000001,203.9499999999989,0.0,0.0,0.134514814814815,False,False,False,False,False,0.19276758091281088,0.43311519855577163
test,fit,CE2,3,long,6889,6253,86400,20,250560.0,False,False,8265.35999999999,189.07040209028887,9266.919999999944,20547.799999999992,21175.479999999956,0.09566388888888877,0.10725601851851786,0.23782175925925916,False,False,False,False,True,0.3194982378497607,0.6743555756331769
test,obs,CE2,3,long,6889,6253,86400,31,253625.8064516129,False,False,4020.3599999999997,95.38234867179561,4584.439999999933,20547.799999999992,21175.479999999956,0.04653194444444444,0.05306064814814738,0.23782175925925916,False,False,False,False,True,0.3194982378497607,0.6743555756331769
test,fit,CE2,4,day,8004,7804,129600,12,367200.0,True,False,565956.3000000003,72765.17428785608,563400.4000000014,5255.400000000005,5306.040000000008,4.366946759259261,4.3472253086419865,0.04055092592592596,True,True,True,False,False,0.1685449577017557,0.5185412547705792
test,obs,CE2,4,day,8004,7804,129600,21,376457.14285714284,True,False,36590.520000000004,1860.869315342329,36011.84000000004,5255.400000000005,5306.040000000008,0.2823342592592593,0.27786913580246947,0.04055092592592596,False,False,False,False,False,0.1685449577017557,0.5185412547705792
test,fit,CE2,5,infinite,8967,8249,259200,43,765544.1860465116,False,False,81279.0,2203.5904984944796,81472.51999999996,83621.7,85306.47999999877,0.3135763888888889,0.31432299382716034,0.3226145833333333,False,False,False,False,False,0.2197110171182178,0.5525929885156773
test,obs,CE2,5,infinite,8967,8249,259200,52,767630.7692307692,False,False,59885.26000000001,1356.7679268428683,60096.59999999996,83621.7,85306.47999999877,0.2310388117283951,0.23185416666666653,0.3226145833333333,False,False,False,False,False,0.2197110171182178,0.5525929885156773
