pool,queue,queue_name,segment,policy,k,L,checked,test_checked,violations,worst_ratio,test_worst_ratio,max_excess_s,theoretical_max_s,identity_worst_ratio
CE1,1,test,1,Constant-3.5L,1,900,21062,19135,0,0.9933333333333333,0.9933333333333333,3129.0,3150.0,0.0
CE1,1,test,1,Age-3.5L,1,900,21062,19135,0,0.9784126984126984,0.9784126984126984,3082.0,3150.0,0.0
CE1,1,test,1,Constant-5L,1,900,21062,19135,0,0.9875555555555555,0.9875555555555555,4444.0,4500.0,0.0
CE1,1,test,1,Age-5L,1,900,21062,19135,0,0.964,0.964,4338.0,4500.0,0.0
CE1,1,test,1,Constant-10L,1,900,21062,19135,0,0.9695555555555555,0.9695555555555555,8726.0,9000.0,0.0
CE1,1,test,1,Age-10L,1,900,21062,19135,0,0.9738888888888889,0.9738888888888889,8765.0,9000.0,0.0
CE1,2,short,0,Constant-3.5L,67,7200,29693,0,0,0.0,0.0,0.0,25200.0,0.0
CE1,2,short,0,Age-3.5L,67,7200,29693,0,0,0.0,0.0,0.0,25200.0,0.0
CE1,2,short,0,Constant-5L,67,7200,29693,0,0,0.0,0.0,0.0,36000.0,0.0
CE1,2,short,0,Age-5L,67,7200,29693,0,0,0.0,0.0,0.0,36000.0,0.0
CE1,2,short,0,Constant-10L,67,7200,29693,0,0,0.0,0.0,0.0,72000.0,0.0
CE1,2,short,0,Age-10L,67,7200,29693,0,0,0.0,0.0,0.0,72000.0,0.0
CE1,2,short,1,Constant-3.5L,67,7200,10164,10019,0,0.0,0.0,0.0,25199.999999999996,0.00017992424242424242
CE1,2,short,1,Age-3.5L,67,7200,10164,10019,0,0.0,0.0,0.0,25199.999999999996,0.00017992424242424242
CE1,2,short,1,Constant-5L,67,7200,10164,10019,0,0.0,0.0,0.0,36000.0,0.00017992424242424242
CE1,2,short,1,Age-5L,67,7200,10164,10019,0,0.0,0.0,0.0,36000.0,0.00017992424242424242
CE1,2,short,1,Constant-10L,67,7200,10164,10019,0,0.0,0.0,0.0,72000.0,0.00017992424242424242
CE1,2,short,1,Age-10L,67,7200,10164,10019,0,0.0,0.0,0.0,72000.0,0.00017992424242424242
CE1,3,long,0,Constant-3.5L,38,86400,4364,0,0,0.0,0.0,0.0,302400.0,0.0
CE1,3,long,0,Age-3.5L,38,86400,4364,0,0,0.0,0.0,0.0,302400.0,0.0
CE1,3,long,0,Constant-5L,38,86400,4364,0,0,0.0,0.0,0.0,432000.0,0.0
CE1,3,long,0,Age-5L,38,86400,4364,0,0,0.0,0.0,0.0,432000.0,0.0
CE1,3,long,0,Constant-10L,38,86400,4364,0,0,0.0,0.0,0.0,864000.0,0.0
CE1,3,long,0,Age-10L,38,86400,4364,0,0,0.0,0.0,0.0,864000.0,0.0
CE1,3,long,1,Constant-3.5L,38,86400,15333,14346,0,0.14386574074074074,0.14386574074074074,43505.0,302400.0,0.07392564439439439
CE1,3,long,1,Age-3.5L,38,86400,15333,14346,0,0.14386574074074074,0.14386574074074074,43505.0,302400.0,0.07392564439439439
CE1,3,long,1,Constant-5L,38,86400,15333,14346,0,0.10070601851851851,0.10070601851851851,43505.0,432000.0,0.07392564439439439
CE1,3,long,1,Age-5L,38,86400,15333,14346,0,0.10070601851851851,0.10070601851851851,43505.0,432000.0,0.07392564439439439
CE1,3,long,1,Constant-10L,38,86400,15333,14346,0,0.05035300925925926,0.05035300925925926,43505.0,864000.0,0.07392564439439439
CE1,3,long,1,Age-10L,38,86400,15333,14346,0,0.05035300925925926,0.05035300925925926,43505.0,864000.0,0.07392564439439439
CE1,4,day,1,Constant-3.5L,7,129600,10299,10232,0,0.5712764550264551,0.5712764550264551,259131.0,453600.0,0.332281378600823
CE1,4,day,1,Age-3.5L,7,129600,10299,10232,0,0.5712764550264551,0.5712764550264551,259131.0,453600.0,0.332281378600823
CE1,4,day,1,Constant-5L,7,129600,10299,10232,0,0.7150432098765432,0.7150432098765432,463348.0,648000.0,0.4313284465020576
CE1,4,day,1,Age-5L,7,129600,10299,10232,0,0.7150293209876544,0.7150293209876544,463339.0,648000.0,0.4313329475308642
CE1,4,day,1,Constant-10L,7,129600,10299,10232,0,0.8299822530864197,0.8299822530864197,1075657.0,1296000.0,0.4460275205761317
CE1,4,day,1,Age-10L,7,129600,10299,10232,0,0.8303132716049383,0.8303132716049383,1076086.0,1296000.0,0.44600501543209875
CE1,5,infinite,0,Constant-3.5L,83,259200,6991,0,0,0.0,0.0,0.0,907200.0,0.0
CE1,5,infinite,0,Age-3.5L,83,259200,6991,0,0,0.0,0.0,0.0,907200.0,0.0
CE1,5,infinite,0,Constant-5L,83,259200,6991,0,0,0.0,0.0,0.0,1296000.0,0.0
CE1,5,infinite,0,Age-5L,83,259200,6991,0,0,0.0,0.0,0.0,1296000.0,0.0
CE1,5,infinite,0,Constant-10L,83,259200,6991,0,0,0.0,0.0,0.0,2592000.0,0.0
