pool,queue,queue_name,segment,policy,k,L,b0_s,bmax_s,eta
CE1,1,test,1,FCFS,1,900,0.0,0.0,0.0
CE1,1,test,1,SJF,1,900,0.0,0.0,0.0
CE1,1,test,1,SPJF-E,1,900,0.0,0.0,0.0
CE1,1,test,1,Constant-3.5L,1,900,2250.0,2250.0,0.0
CE1,1,test,1,Age-3.5L,1,900,225.0,2250.0,0.5
CE1,1,test,1,Constant-5L,1,900,3600.0,3600.0,0.0
CE1,1,test,1,Age-5L,1,900,225.0,3600.0,0.5
CE1,1,test,1,Constant-10L,1,900,8100.0,8100.0,0.0
CE1,1,test,1,Age-10L,1,900,450.0,8100.0,0.75
CE1,2,short,0,FCFS,67,7200,0.0,0.0,0.0
CE1,2,short,0,SJF,67,7200,0.0,0.0,0.0
CE1,2,short,0,SPJF-E,67,7200,0.0,0.0,0.0
CE1,2,short,0,Constant-3.5L,67,7200,255600.0,255600.0,0.0
CE1,2,short,0,Age-3.5L,67,7200,120600.0,255600.0,0.5
CE1,2,short,0,Constant-5L,67,7200,979200.0,979200.0,0.0
CE1,2,short,0,Age-5L,67,7200,120600.0,979200.0,0.5
CE1,2,short,0,Constant-10L,67,7200,3391200.0,3391200.0,0.0
CE1,2,short,0,Age-10L,67,7200,241200.0,3391200.0,0.75
CE1,3,long,0,FCFS,38,86400,0.0,0.0,0.0
CE1,3,long,0,SJF,38,86400,0.0,0.0,0.0
CE1,3,long,0,SPJF-E,38,86400,0.0,0.0,0.0
CE1,3,long,0,Constant-3.5L,38,86400,1814400.0,1814400.0,0.0
CE1,3,long,0,Age-3.5L,38,86400,820800.0,1814400.0,0.5
CE1,3,long,0,Constant-5L,38,86400,6739200.0,6739200.0,0.0
CE1,3,long,0,Age-5L,38,86400,820800.0,6739200.0,0.5
CE1,3,long,0,Constant-10L,38,86400,23155200.0,23155200.0,0.0
CE1,3,long,0,Age-10L,38,86400,1641600.0,23155200.0,0.75
CE1,4,day,1,FCFS,7,129600,0.0,0.0,0.0
CE1,4,day,1,SJF,7,129600,0.0,0.0,0.0
CE1,4,day,1,SPJF-E,7,129600,0.0,0.0,0.0
CE1,4,day,1,Constant-3.5L,7,129600,712800.0,712800.0,0.0
CE1,4,day,1,Age-3.5L,7,129600,226800.0,712800.0,0.5
CE1,4,day,1,Constant-5L,7,129600,2073600.0,2073600.0,0.0
CE1,4,day,1,Age-5L,7,129600,226800.0,2073600.0,0.5
CE1,4,day,1,Constant-10L,7,129600,6609600.0,6609600.0,0.0
CE1,4,day,1,Age-10L,7,129600,453600.0,6609600.0,0.75
CE1,5,infinite,0,FCFS,83,259200,0.0,0.0,0.0
CE1,5,infinite,0,SJF,83,259200,0.0,0.0,0.0
CE1,5,infinite,0,SPJF-E,83,259200,0.0,0.0,0.0
CE1,5,infinite,0,Constant-3.5L,83,259200,11275200.0,11275200.0,0.0
CE1,5,infinite,0,Age-3.5L,83,259200,5378400.0,11275200.0,0.5
CE1,5,infinite,0,Constant-5L,83,259200,43545600.0,43545600.0,0.0
CE1,5,infinite,0,Age-5L,83,259200,5378400.0,43545600.0,0.5
CE1,5,infinite,0,Constant-10L,83,259200,151113600.0,151113600.0,0.0
CE1,5,infinite,0,Age-10L,83,259200,10756800.0,151113600.0,0.75
CE2,1,test,0,FCFS,1,900,0.0,0.0,0.0
CE2,1,test,0,SJF,1,900,0.0,0.0,0.0
CE2,1,test,0,SPJF-E,1,900,0.0,0.0,0.0
CE2,1,test,0,Constant-3.5L,1,900,2250.0,2250.0,0.0
CE2,1,test,0,Age-3.5L,1,900,225.0,2250.0,0.5
CE2,1,test,0,Constant-5L,1,900,3600.0,3600.0,0.0
CE2,1,test,0,Age-5L,1,900,225.0,3600.0,0.5
CE2,1,test,0,Constant-10L,1,900,8100.0,8100.0,0.0
CE2,1,test,0,Age-10L,1,900,450.0,8100.0,0.75
CE2,2,short,0,FCFS,46,5400,0.0,0.0,0.0
CE2,2,short,0,SJF,46,5400,0.0,0.0,0.0
