pool,queue,queue_name,n,n_test,L,L_min,wait_mean,wait_p50,wait_p90,wait_p99,wait_max,recorded_p99_over_L,top1,top5,raw_top1,raw_top5,exceeds_L,mean_c,p99_c,max_concurrent,concurrent_p50,concurrent_p90,concurrent_p99,concurrent_p99.9,mean_concurrent,busy_time_fraction
all,all,all,206222,116810,259200,900,550.187079942974,4.0,478.0,11917.430000000139,515476.0,0.0459777391975314,0.4071166319780389,0.8353746750697348,0.40721109948465,0.8353152576927606,741,2983.210045484963,64984.910000000236,142,12.0,91.0,134.0,140.0,31.849429501987846,0.7410293422192128
all,1,test,41143,34707,900,900,526.3432418637435,3.0,5.0,21496.640000000014,73830.0,23.88515555555557,0.2280974506651591,0.6648618255753843,0.23660297149594264,0.6685546812683933,220,31.64253943562696,432.0,30,0.0,0.0,2.0,5.0,0.0681249263181559,0.04125567421358507
all,2,short,69446,19353,7200,5400,308.5958730524436,4.0,507.0,4701.0,316726.0,0.6529166666666667,0.2239828659265514,0.5087872544351483,0.22789042747566882,0.5112607101782324,219,166.1191573308758,1370.0,86,0.0,1.0,11.0,70.0,0.6000481189665632,0.1361734150006764
all,3,long,30602,21235,86400,86400,500.83847460950267,4.0,55.0,14211.0,335830.0,0.16447916666666668,0.2956290524098958,0.6734418173972486,0.2968639345820555,0.6740143294794813,185,2624.27547219136,52296.979999999996,83,0.0,14.0,42.0,80.0,4.163399082810475,0.3899928903165988
all,4,day,18594,18236,129600,129600,370.20382919221254,3.0,61.0,8382.729999999989,61835.0,0.06468155864197522,0.16017046616338526,0.5014563851347439,0.16019855273324807,0.5014730580183523,61,6437.106270840056,86462.14,81,0.0,23.0,60.0,77.0,6.19447892562116,0.32181724708380327
all,5,infinite,44931,21773,259200,259200,1066.351672564599,4.0,1094.0,16426.199999999342,515476.0,0.06337268518518265,0.2088881433762434,0.5986549244166225,0.2088942845255703,0.5986580399305921,55,8953.869577797066,172823.0,140,7.0,58.0,115.0,140.0,20.820299362281375,0.683260602862649
all,6,batch,1506,1506,3600,3600,167.4070385126162,1.0,2.0,2860.6000000000113,47387.0,0.7946111111111143,0.6185875858354652,0.9469671468964589,0.6191196490697323,0.9470411267416259,1,39.45285524568393,2025.1000000000008,4,0.0,0.0,0.0,1.0,0.003079085990114756,0.0030749975857713593
GLOP195,all,all,34467,0,259200,7200,381.61032291757334,9.0,959.0,3656.679999999993,515476.0,0.014107561728395035,0.5434506103901219,0.93012581593462,0.5434408391644784,0.9301277000326196,29,1966.86366669568,52187.799999999756,58,0.0,7.0,56.0,57.0,3.508457356027876,0.17415898676298877
GLOP195,2,short,17543,0,7200,7200,241.22253890440632,6.0,219.0,3960.0,32270.0,0.55,0.4326794388431587,0.8064772489121932,0.4335591896519755,0.8067773469668923,24,54.943054209656275,1072.579999999998,21,0.0,0.0,1.0,5.0,0.04995942129309295,0.030680214224107282
GLOP195,3,long,2349,0,86400,86400,275.49127288207745,4.0,53.20000000000027,1950.0,335830.0,0.022569444444444444,0.14476440845817704,0.3261119905521522,0.14485710753115127,0.3261850333422115,2,781.5078756917837,4011.9199999999996,32,0.0,0.0,2.0,20.0,0.09501456869248999,0.02762477887683977
