rep0_W,rep1_W,rep2_W,rep3_W,rep4_W,copies
393.00794073939323,394.24472573399544,393.92152974009514,393.00794073939323,394.97461274266243,1
419.7892470359802,439.74730479717255,546.2570962011814,422.1060610115528,440.8708738088608,2
467.5695076137781,473.65684209764004,547.603873193264,468.00232207775116,458.2145658135414,3
467.8008666187525,475.77307108044624,547.603873193264,484.5567700266838,477.22603790462017,4
513.8409445919096,535.0775229781866,593.9727075248957,618.3550544977188,520.4106436669827,5
597.7754439413548,697.5678654499352,848.4070718288422,811.139537345618,594.1589621305466,6
716.8225645124912,812.1193028129637,952.1717414706945,832.472615417093,881.1226864159107,7
873.2631503045559,1042.6023911423981,956.131015509367,869.632358442992,961.6234495788813,8
932.7470065206289,1102.3246471714228,960.5074035525322,873.6873144619167,975.4884525537491,9
932.7470065206289,1287.4622389357537,1078.8036548048258,909.655285730958,1001.8136458396912,10
954.7529405504465,1295.4293039422482,1170.7310559302568,1001.582686856389,1125.4395875036716,11
1062.451169371605,1368.7641792278737,1256.9216155707836,1123.2297106832266,1334.9679935276508,12
1063.7273183763027,1432.913660235703,1383.2688727080822,1123.2297106832266,1421.1585531681776,13
1075.717694580555,1478.8638322874904,1731.673782080412,1152.3739425390959,1480.8900271952152,14
1271.3693071901798,1508.0310900621116,1810.8603760004044,1281.1608846336603,1507.595043182373,15
1363.2967083156109,1538.3798688352108,2139.91642780602,1373.0882857590914,1603.7626248970628,16
1572.6135533452034,1545.2702638208866,2143.8679837733507,1432.874049782753,1649.7127969488502,17
1572.6135533452034,1591.8505278676748,2170.193177059293,1559.2213069200516,1665.726437933743,18
1601.7577852010727,1599.8778948634863,2220.4909239411354,1559.2213069200516,1726.1986629683524,19
1694.7992282956839,1739.4781121313572,2230.8548739254475,1559.2213069200516,1785.0872440002859,20
1805.04195612669,1986.8862116746604,2280.4703908115625,1741.5464959442616,1905.5669691823423,21
1942.5227365121245,2014.9075039438903,2301.6186328083277,1774.1584657877684,1956.4006262235343,22
1944.2227754965425,2055.2890688125044,2319.418437823653,1797.5356850922108,2050.24645043537,23
2008.1888597533107,2097.632429756224,2323.369993790984,1798.4625290632248,2259.25182415545,24
2010.3338127210736,2124.871212042868,2716.3779345303774,1910.011735856533,2470.548848181963,25
2040.9260695800185,2489.3812197707593,2733.721626535058,2055.1465812399983,2531.498998180032,26
2155.4075674414635,2545.912744682282,2783.1057844161987,2085.1920662224293,2626.3108972907066,27
2257.1845265999436,2598.7603595368564,2833.341509282589,2178.2293393462896,2655.9295761436224,28
2317.8550216183066,2655.8515284471214,2833.341509282589,2304.576596483588,2783.49494227767,29
2345.2671556025743,2683.0198247246444,2997.677437469363,2304.576596483588,2784.658691242337,30
2351.563808530569,2696.419909697026,3002.2669974714518,2352.354087628424,2864.5434234291315,31
2378.268824517727,2733.9548797272146,3007.0616564303637,2354.0495436117053,2869.149886459112,32
2523.3682031854987,2761.187915062532,3007.5177694410086,2446.1595597341657,2971.0787421166897,33
2645.7228633090854,2823.5836290027946,3138.520825922489,2538.0869608595967,3180.395587146282,34
2645.7228633090854,2937.234701052308,3139.1680149137974,2691.077294692397,3184.3548611849546,35
2798.5305601730943,3205.942073430866,3140.2778869122267,2692.2410436570644,3371.414726316929,36
2901.3365208283067,3263.710383336991,3140.2778869122267,2743.7012451961637,3464.6182764470577,37
