trace,reps,level,metric,quantity,pair,label,diff,lo,hi,resolved,verdict
k1,0,0,p99dl,gain,SPJF-tweedie - SPJF-M4,ranking score: Tweedie vs current log M4,0.0216785064363193,0.008313038023721454,0.03596500157407193,True,SPJF-tweedie better
k1,0,0,p99dl,red_pct,SPJF-tweedie - SPJF-M4,ranking score: Tweedie vs current log M4,1.723798004083264,0.6513205628007512,2.8460256170637743,True,SPJF-tweedie better
k1,0,0,p99dl,gain,SPJF-M4refit - SPJF-M4,"refit-noise control: same score, refit",0.00022896139871653176,-0.0009663447986970719,0.0016110963323461148,False,unresolved
k1,0,0,p99dl,red_pct,SPJF-M4refit - SPJF-M4,"refit-noise control: same score, refit",0.018206198996196576,-0.07981973302078416,0.12233497373432908,False,unresolved
k1,0,0,p99dl,gain,SPJF-tweedie - SPJF-M4refit,Tweedie vs the refit log score,0.02144954503760277,0.008176111856575722,0.035333069530276574,True,SPJF-tweedie better
k1,0,0,p99dl,red_pct,SPJF-tweedie - SPJF-M4refit,Tweedie vs the refit log score,1.7055918050870673,0.6359743241087049,2.8196385783159506,True,SPJF-tweedie better
k1,0,0,p99dl,gain,SPJF-r1s - SPJF-tweedie,R1S-Tweedie (M4 cols + GRU state) vs Tweedie,0.0009707512539524066,-0.004965865301217296,0.018992072133331355,False,unresolved
k1,0,0,p99dl,red_pct,SPJF-r1s - SPJF-tweedie,R1S-Tweedie (M4 cols + GRU state) vs Tweedie,0.0771906994118865,-0.3887176326421482,1.5615494521187196,False,unresolved
k1,0,0,p99dl,gain,SPJF-r1s - SPJF-tweedie_itr,R1S vs the Tweedie control fitted on the same 90% of the rows,0.004036433471229617,-0.0039695728208692434,0.02271025446936862,False,unresolved
k1,0,0,p99dl,red_pct,SPJF-r1s - SPJF-tweedie_itr,R1S vs the Tweedie control fitted on the same 90% of the rows,0.3209628846784085,-0.3057971427244567,1.8212419101067872,False,unresolved
k1,0,0,p99dl,gain,SPJF-tweedie_itr - SPJF-tweedie,"cost of the GRU's inner-validation holdout: same score, 90% of rows",-0.0030656822172772102,-0.006831779087257328,0.0012546777612883271,False,unresolved
k1,0,0,p99dl,red_pct,SPJF-tweedie_itr - SPJF-tweedie,"cost of the GRU's inner-validation holdout: same score, 90% of rows",-0.243772185266522,-0.5361927972389988,0.09871177578186999,False,unresolved
k1,0,0,p99dl,gain,CAP-G300 - FIX-G300,capped relative vs fixed budget at G = 300 s,-0.041619647208193555,-0.06546676168937948,-0.021741603937590837,True,FIX-G300 better
k1,0,0,p99dl,red_pct,CAP-G300 - FIX-G300,capped relative vs fixed budget at G = 300 s,-3.309446847682139,-5.131217640897937,-1.796423483587958,True,FIX-G300 better
k1,0,0,p99dl,gain,CAP-G300 - SPJF-tweedie,"guard vs unguarded, G = 300 s",-0.168431205798385,-0.3116066772246517,-0.09920069934494492,True,SPJF-tweedie better
k1,0,0,p99dl,red_pct,CAP-G300 - SPJF-tweedie,"guard vs unguarded, G = 300 s",-13.393052571839888,-25.86954579748814,-7.330598735185307,True,SPJF-tweedie better
k1,0,0,p99dl,gain,FIX-G300 - SPJF-tweedie,"fixed-budget guard vs unguarded, G = 300 s",-0.12681155859019144,-0.281349487876151,-0.055036621496048814,True,SPJF-tweedie better
k1,0,0,p99dl,red_pct,FIX-G300 - SPJF-tweedie,"fixed-budget guard vs unguarded, G = 300 s",-10.08360572415775,-23.669678891660404,-4.03191780515927,True,SPJF-tweedie better
k1,0,0,p99dl,gain,SKIP-G300 - SPJF-tweedie,finite-skip vs unguarded at equal G = 300 s,-0.9070594135067324,-0.9293742990465947,-0.8519427304674312,True,SPJF-tweedie better
k1,0,0,p99dl,red_pct,SKIP-G300 - SPJF-tweedie,finite-skip vs unguarded at equal G = 300 s,-72.12614998089865,-76.40436643947456,-64.61184365569906,True,SPJF-tweedie better
k1,0,0,p99dl,gain,CAP-G300 - SKIP-G300,capped relative vs finite-skip at G = 300 s,0.7386282077083474,0.5556282830326685,0.8095169673151795,True,CAP-G300 better
k1,0,0,p99dl,red_pct,CAP-G300 - SKIP-G300,capped relative vs finite-skip at G = 300 s,58.73309740905876,46.58571207615277,62.98904251705687,True,CAP-G300 better
k1,0,0,p99dl,gain,CAP-G600 - FIX-G600,capped relative vs fixed budget at G = 600 s,-0.006971205102179745,-0.011870500133206688,-0.0010505127831774883,True,FIX-G600 better
