level,rho_target,k,policy,p99_dl_s,gap_closed,red_pct,mean_s,max_excess_s,harm_wf1s_s,max_heavy_s,guar_excess_s,used_over_allowed,qw_fired
0,0.5,7.8,SPJF-reversed,42.723,-0.862,-53.341,1.334,1240.127,1240.127,996.654,inf,,0.0
0,0.5,7.8,CAP-G600-reversed,43.254,-0.891,-55.1,1.292,497.105,401.04,855.916,600.0,0.829,0.122
0,0.5,7.8,SPJF-random,16.822,0.639,39.586,0.517,1307.656,1275.991,1379.111,inf,,0.0
0,0.5,7.8,CAP-G600-random,17.045,0.626,38.836,0.536,489.948,431.731,944.061,600.0,0.817,0.019
0,0.5,7.8,SPJF-top1short,38.256,-0.598,-36.954,1.137,1307.315,1238.543,1172.735,inf,,0.0
0,0.5,7.8,CAP-G600-top1short,38.66,-0.62,-38.33,1.12,497.088,377.87,850.516,600.0,0.828,0.102
1,0.8,5.0,SPJF-reversed,228.117,-1.277,-91.487,7.739,3387.891,3387.891,1989.775,inf,,0.0
1,0.8,5.0,CAP-G600-reversed,234.765,-1.355,-97.07,7.131,517.923,507.703,1463.396,600.0,0.863,0.314
1,0.8,5.0,SPJF-random,78.517,0.474,34.039,2.872,3319.423,3257.854,3311.211,inf,,0.0
1,0.8,5.0,CAP-G600-random,87.158,0.373,26.795,3.266,506.887,506.887,1467.322,600.0,0.845,0.134
1,0.8,5.0,SPJF-top1short,212.555,-1.098,-78.556,6.514,3292.064,3181.707,3101.955,inf,,0.0
1,0.8,5.0,CAP-G600-top1short,222.773,-1.216,-87.086,6.276,516.209,500.511,1196.083,600.0,0.86,0.273
2,1.0,4.0,SPJF-reversed,557.441,-1.235,-103.748,18.89,6295.652,5248.836,2654.83,inf,,0.0
2,1.0,4.0,CAP-G600-reversed,569.675,-1.29,-108.384,16.851,534.792,513.766,1994.318,600.0,0.891,0.43
2,1.0,4.0,SPJF-random,194.775,0.341,28.669,6.896,6235.494,6173.575,6199.551,inf,,0.0
2,1.0,4.0,CAP-G600-random,259.319,0.06,5.092,8.292,520.736,514.553,2007.566,600.0,0.868,0.25
2,1.0,4.0,SPJF-top1short,523.518,-1.088,-91.414,15.562,6108.86,3399.037,6021.318,inf,,0.0
2,1.0,4.0,CAP-G600-top1short,561.215,-1.253,-105.256,14.921,534.727,497.8,1547.667,600.0,0.891,0.389
