trace,level,k,G,gap_fix,gap_cap,harm_fix_s,harm_cap_s,harm_ratio
primary,0,7.8,300.0,0.72,0.68,187.9,97.2,1.93
primary,0,7.8,600.0,0.74,0.739,238.1,238.1,1.0
primary,0,7.8,1200.0,0.75,0.75,238.1,238.1,1.0
primary,1,5.0,300.0,0.761,0.728,186.3,109.6,1.7
primary,1,5.0,600.0,0.842,0.841,446.7,276.9,1.61
primary,1,5.0,1200.0,0.861,0.862,469.3,320.2,1.47
primary,2,4.0,300.0,0.45,0.467,208.2,113.8,1.83
primary,2,4.0,600.0,0.813,0.808,520.5,520.5,1.0
primary,2,4.0,1200.0,0.872,0.872,708.8,576.0,1.23
k1,0,1.0,300.0,0.785,0.743,246.3,54.4,4.53
k1,0,1.0,600.0,0.869,0.862,563.4,119.7,4.71
k1,0,1.0,1200.0,0.899,0.898,656.4,338.9,1.94
