policy,score,G,B0,eta,Bmax,Ncap,p99_dl_s,gap_closed,gap_lo,gap_hi,red_pct,mean_s,max_excess_s,harm_wf1s_s,max_heavy_s,guar_excess_s,used_over_allowed,qw_fired
FCFS,-,-1.0,-1.0,-1.0,0.0,-1,221.2744,0.0,0.0,0.0,0.0,6.5935,0.0,0.0,1423.5232,inf,,1.0
SJF-ref,svc,-1.0,-1.0,-1.0,0.0,-1,45.3248,1.0,1.0,1.0,79.5165,1.8713,2054.5023,777.9388,2366.6592,inf,,0.0
SPJF-M4,M4,-1.0,-1.0,-1.0,0.0,-1,64.7433,0.8896,0.8309,0.9172,70.7407,2.5205,2520.2899,400.1355,2698.2165,inf,,0.0
SPJF-M4refit,M4refit,-1.0,-1.0,-1.0,0.0,-1,64.703,0.8899,0.8311,0.9175,70.7589,2.5224,2520.2899,400.1355,2698.2165,inf,,0.0
SPJF-tweedie,tweedie,-1.0,-1.0,-1.0,0.0,-1,60.9289,0.9113,0.8542,0.9329,72.4645,2.4449,2520.2899,656.365,2698.2165,inf,,0.0
SPJF-tweedie_itr,tweedie_itr,-1.0,-1.0,-1.0,0.0,-1,61.4683,0.9082,0.85,0.9309,72.2208,2.4497,2325.4278,375.1261,2505.323,inf,,0.0
SPJF-r1s,r1s,-1.0,-1.0,-1.0,0.0,-1,60.7581,0.9123,0.8692,0.933,72.5417,2.4221,2325.4278,362.0655,2505.323,inf,,0.0
FIX-G300,tweedie,300.0,240.0,0.0,240.0,0,83.2414,0.7845,0.5861,0.8657,62.3809,3.0711,295.1349,246.3363,1669.1453,300.0,0.9838,0.0633
CAP-G300,tweedie,300.0,7.5,0.5,240.0,0,90.5643,0.7429,0.5576,0.8198,59.0715,3.2017,295.0482,54.3597,1669.1453,300.0,0.9835,0.0905
SKIP-G300,tweedie,300.0,-1.0,0.0,0.0,4,220.5256,0.0043,-0.0016,0.0146,0.3384,6.3384,74.949,54.3597,1424.4687,300.0,0.2498,0.7475
FIX-G600,tweedie,600.0,540.0,0.0,540.0,0,68.3147,0.8693,0.7836,0.9065,69.1267,2.692,592.5319,563.3744,1976.0429,600.0,0.9876,0.0226
CAP-G600,tweedie,600.0,7.5,0.9,540.0,0,69.5413,0.8624,0.7815,0.9036,68.5724,2.7032,592.5319,119.6503,1976.0429,600.0,0.9876,0.0253
SKIP-G600,tweedie,600.0,-1.0,0.0,0.0,9,219.9527,0.0075,-0.0042,0.034,0.5973,6.0887,100.6759,82.7963,1425.5247,600.0,0.1678,0.6807
FIX-G1200,tweedie,1200.0,1140.0,0.0,1140.0,0,63.1619,0.8986,0.8361,0.9236,71.4554,2.553,1171.6655,656.365,2153.4042,1200.0,0.9764,0.0044
CAP-G1200,tweedie,1200.0,30.0,0.9,1140.0,0,63.259,0.8981,0.8352,0.9241,71.4115,2.5469,1176.8402,338.8617,2153.4042,1200.0,0.9807,0.0052
SKIP-G1200,tweedie,1200.0,-1.0,0.0,0.0,19,217.8311,0.0196,-0.0076,0.0809,1.5561,5.709,140.3013,97.2817,1427.9854,1200.0,0.1169,0.5934
SPJF-reversed,reversed,-1.0,-1.0,-1.0,0.0,-1,415.3743,-1.1032,-1.3413,-0.8891,-87.7191,11.4145,2696.187,2487.0641,1724.7092,inf,,0.0
CAP-G600-reversed,reversed,600.0,7.5,0.9,540.0,0,413.0553,-1.09,-1.3211,-0.9103,-86.6711,10.5707,596.1245,123.1545,1658.2656,600.0,0.9935,0.248
SPJF-random,random,-1.0,-1.0,-1.0,0.0,-1,159.7873,0.3495,0.188,0.4678,27.7877,5.1441,2662.5581,1600.2566,2588.7401,inf,,0.0
CAP-G600-random,random,600.0,7.5,0.9,540.0,0,180.5395,0.2315,0.0739,0.3571,18.4092,5.5443,596.9447,132.5393,1960.5797,600.0,0.9949,0.0954
SPJF-top1short,top1short,-1.0,-1.0,-1.0,0.0,-1,382.2755,-0.915,-1.1181,-0.7406,-72.7608,9.8718,2660.1561,1669.1669,2495.3681,inf,,0.0
CAP-G600-top1short,top1short,600.0,7.5,0.9,540.0,0,394.2256,-0.983,-1.2059,-0.821,-78.1614,9.6426,597.0194,123.5693,1956.1859,600.0,0.995,0.2195
