level,rho_target,k,policy,p99_dl_s,gap_closed,red_pct,mean_s,mean_gap,p99_all_s,max_excess_s,harm_s,max_heavy_s,qw_fired
0,0.5,7.8,FCFS,27.64,"0.000 [0.000,0.000]","0.0 [0.0,0.0]",0.719,"0.000 [0.000,0.000]",15.19,0.0,0.0,486.9,1.0
0,0.5,7.8,SJF-ref,10.59,"1.000 [1.000,1.000]","62.0 [58.7,66.4]",0.228,"1.000 [1.000,1.000]",5.1,1034.0,595.9,1185.9,0.0
0,0.5,7.8,SPJF-M4,14.73,"0.753 [0.721,0.776]","46.6 [43.9,49.9]",0.295,"0.865 [0.796,0.895]",6.63,1244.8,396.4,1365.8,0.0
0,0.5,7.8,SPJF-M4refit,14.72,"0.753 [0.722,0.776]","46.7 [44.0,50.0]",0.295,"0.865 [0.796,0.894]",6.64,1234.3,396.5,1380.7,0.0
0,0.5,7.8,SPJF-tweedie,14.73,"0.752 [0.723,0.775]","46.5 [43.7,49.9]",0.292,"0.871 [0.805,0.899]",6.63,1242.5,238.1,1369.5,0.0
0,0.5,7.8,SPJF-tweedie_itr,14.69,"0.754 [0.724,0.776]","46.7 [43.8,50.0]",0.291,"0.872 [0.807,0.901]",6.57,1019.2,248.8,1179.1,0.0
0,0.5,7.8,SPJF-r1s,14.87,"0.741 [0.707,0.767]","45.9 [43.2,48.8]",0.29,"0.874 [0.816,0.900]",6.6,990.7,242.8,1178.8,0.0
0,0.5,7.8,FIX-G300,15.31,"0.720 [0.694,0.739]","44.6 [41.7,48.1]",0.348,"0.758 [0.726,0.782]",6.92,201.2,187.9,630.3,0.0077
0,0.5,7.8,CAP-G300,16.01,"0.680 [0.650,0.703]","42.1 [39.5,45.4]",0.347,"0.761 [0.727,0.786]",7.09,193.1,97.2,630.4,0.0197
0,0.5,7.8,SKIP-G300,26.62,"0.063 [0.039,0.085]","3.9 [2.4,5.5]",0.678,"0.085 [0.070,0.112]",13.6,62.1,51.4,487.4,0.4706
0,0.5,7.8,FIX-G600,14.96,"0.740 [0.713,0.761]","45.8 [43.0,49.3]",0.309,"0.838 [0.787,0.862]",6.72,498.2,238.1,924.2,0.001
0,0.5,7.8,CAP-G600,14.98,"0.739 [0.712,0.759]","45.7 [42.9,49.2]",0.31,"0.835 [0.786,0.859]",6.74,491.7,238.1,919.6,0.0012
0,0.5,7.8,SKIP-G600,24.85,"0.172 [0.125,0.217]","10.7 [7.8,14.0]",0.629,"0.185 [0.155,0.240]",11.47,100.2,63.4,488.4,0.3801
0,0.5,7.8,FIX-G1200,14.75,"0.750 [0.722,0.774]","46.5 [43.6,49.9]",0.293,"0.869 [0.804,0.898]",6.64,1073.3,238.1,1249.7,0.0
0,0.5,7.8,CAP-G1200,14.75,"0.750 [0.723,0.774]","46.5 [43.7,49.9]",0.293,"0.869 [0.804,0.898]",6.63,1078.7,238.1,1247.2,0.0001
0,0.5,7.8,SKIP-G1200,21.78,"0.357 [0.279,0.424]","22.2 [17.0,27.4]",0.573,"0.298 [0.256,0.377]",9.4,102.2,67.6,490.6,0.2917
1,0.8,5.0,FCFS,119.35,"0.000 [0.000,0.000]","0.0 [0.0,0.0]",4.16,"0.000 [0.000,0.000]",84.52,0.0,0.0,1022.9,1.0
1,0.8,5.0,SJF-ref,33.55,"1.000 [1.000,1.000]","71.8 [67.0,75.1]",0.959,"1.000 [1.000,1.000]",25.45,2667.4,1242.3,3072.3,0.0
1,0.8,5.0,SPJF-M4,44.39,"0.873 [0.851,0.887]","62.7 [57.4,66.2]",1.251,"0.909 [0.875,0.926]",30.14,3055.1,390.9,3346.7,0.0
1,0.8,5.0,SPJF-M4refit,44.41,"0.873 [0.851,0.886]","62.7 [57.4,66.2]",1.251,"0.909 [0.875,0.925]",30.13,3055.1,390.5,3346.7,0.0
1,0.8,5.0,SPJF-tweedie,43.39,"0.885 [0.862,0.898]","63.5 [58.0,67.3]",1.23,"0.915 [0.884,0.931]",29.61,3044.5,469.3,3312.8,0.0
