trace,level,metric,quantity,pair,label,diff,lo,hi,resolved,verdict
k1,0,p99dl,gain,SPJF-tweedie - SPJF-M4,ranking score: Tweedie vs current log M4,0.0216785064363193,0.008313038023721454,0.03596500157407193,True,SPJF-tweedie better
k1,0,p99dl,red_pct,SPJF-tweedie - SPJF-M4,ranking score: Tweedie vs current log M4,1.723798004083264,0.6513205628007512,2.8460256170637743,True,SPJF-tweedie better
k1,0,p99dl,gain,SPJF-M4refit - SPJF-M4,"refit-noise control: same score, refit",0.00022896139871653176,-0.0009663447986970719,0.0016110963323461148,False,unresolved
k1,0,p99dl,red_pct,SPJF-M4refit - SPJF-M4,"refit-noise control: same score, refit",0.018206198996196576,-0.07981973302078416,0.12233497373432908,False,unresolved
k1,0,p99dl,gain,SPJF-r1s - SPJF-tweedie,R1S-Tweedie vs Tweedie,0.0009707512539524066,-0.004965865301217296,0.018992072133331355,False,unresolved
k1,0,p99dl,red_pct,SPJF-r1s - SPJF-tweedie,R1S-Tweedie vs Tweedie,0.0771906994118865,-0.3887176326421482,1.5615494521187196,False,unresolved
k1,0,p99dl,gain,SPJF-r1s - SPJF-tweedie_itr,R1S vs the Tweedie control on the same 90% of rows,0.004036433471229617,-0.0039695728208692434,0.02271025446936862,False,unresolved
k1,0,p99dl,red_pct,SPJF-r1s - SPJF-tweedie_itr,R1S vs the Tweedie control on the same 90% of rows,0.3209628846784085,-0.3057971427244567,1.8212419101067872,False,unresolved
k1,0,p99dl,gain,CAP-G300 - FIXSEL-G300,"capped relative vs the BEST FEASIBLE fixed budget, G = 300 s",0.49939464396412014,0.35345914320597543,0.5944450101402345,True,CAP-G300 better
k1,0,p99dl,red_pct,CAP-G300 - FIXSEL-G300,"capped relative vs the BEST FEASIBLE fixed budget, G = 300 s",39.71009225400235,26.176417908773693,49.733957770030095,True,CAP-G300 better
k1,0,p99dl,gain,CAP-G300 - FIX-G300,capped relative vs B0 = Bmax at G = 300 s,-0.041619647208193555,-0.06546676168937948,-0.021741603937590837,True,FIX-G300 better
k1,0,p99dl,red_pct,CAP-G300 - FIX-G300,capped relative vs B0 = Bmax at G = 300 s,-3.309446847682139,-5.131217640897937,-1.796423483587958,True,FIX-G300 better
k1,0,p99dl,gain,CAP-G300 - SPJF-tweedie,"guard vs unguarded, G = 300 s",-0.168431205798385,-0.3116066772246517,-0.09920069934494492,True,SPJF-tweedie better
k1,0,p99dl,red_pct,CAP-G300 - SPJF-tweedie,"guard vs unguarded, G = 300 s",-13.393052571839888,-25.86954579748814,-7.330598735185307,True,SPJF-tweedie better
k1,0,p99dl,gain,SKIP-G300 - SPJF-tweedie,finite skip vs unguarded at G = 300 s,-0.9058901009909148,-0.9282564175548259,-0.851164076975393,True,SPJF-tweedie better
