trace,level,metric,quantity,pair,label,diff,lo,hi,resolved,verdict
primary,0,p99dl,gain,SPJF-tweedie - SPJF-M4,ranking score: Tweedie vs current log M4,-0.0013484416605701322,-0.01722732925280208,0.012515508710351035,False,unresolved
primary,0,p99dl,red_pct,SPJF-tweedie - SPJF-M4,ranking score: Tweedie vs current log M4,-0.09096735449701043,-1.0917847941557928,0.773906425520212,False,unresolved
primary,0,p99dl,gain,SPJF-M4refit - SPJF-M4,"refit-noise control: same score, refit",0.0005468231987264538,-0.001620584606827616,0.002215078189006521,False,unresolved
primary,0,p99dl,red_pct,SPJF-M4refit - SPJF-M4,"refit-noise control: same score, refit",0.03537770633244719,-0.10075260114623034,0.13689941397768252,False,unresolved
primary,0,p99dl,gain,SPJF-r1s - SPJF-tweedie,R1S-Tweedie vs Tweedie,-0.01037190578600411,-0.021868763569253883,-0.0023739001799040443,True,SPJF-tweedie better
primary,0,p99dl,red_pct,SPJF-r1s - SPJF-tweedie,R1S-Tweedie vs Tweedie,-0.6481559355566304,-1.4633968583231007,-0.15306203607768037,True,SPJF-tweedie better
primary,0,p99dl,gain,SPJF-r1s - SPJF-tweedie_itr,R1S vs the Tweedie control on the same 90% of rows,-0.012487997081386926,-0.02347848370033006,-0.003508284974869797,True,SPJF-tweedie_itr better
primary,0,p99dl,red_pct,SPJF-r1s - SPJF-tweedie_itr,R1S vs the Tweedie control on the same 90% of rows,-0.780509662508102,-1.5430404944717653,-0.22402611724280405,True,SPJF-tweedie_itr better
primary,0,p99dl,gain,CAP-G300 - FIXSEL-G300,"capped relative vs the BEST FEASIBLE fixed budget, G = 300 s",0.0796924024640755,0.06263696965686655,0.10370994856039605,True,CAP-G300 better
primary,0,p99dl,red_pct,CAP-G300 - FIXSEL-G300,"capped relative vs the BEST FEASIBLE fixed budget, G = 300 s",4.920652915889697,3.8342335976118127,6.554132275186487,True,CAP-G300 better
primary,0,p99dl,gain,CAP-G300 - FIX-G300,capped relative vs B0 = Bmax at G = 300 s,-0.04035408322465417,-0.05116968297912653,-0.02791485342809927,True,FIX-G300 better
primary,0,p99dl,red_pct,CAP-G300 - FIX-G300,capped relative vs B0 = Bmax at G = 300 s,-2.4946834322746554,-3.2801744028925928,-1.7002108977577608,True,FIX-G300 better
primary,0,p99dl,gain,CAP-G300 - SPJF-tweedie,"guard vs unguarded, G = 300 s",-0.07149900930558939,-0.08969642455845554,-0.05368921457229934,True,SPJF-tweedie better
primary,0,p99dl,red_pct,CAP-G300 - SPJF-tweedie,"guard vs unguarded, G = 300 s",-4.417565754471511,-5.567325365341162,-3.2997705867819147,True,SPJF-tweedie better
primary,0,p99dl,gain,SKIP-G300 - SPJF-tweedie,finite skip vs unguarded at G = 300 s,-0.6739136733681967,-0.7117527066018963,-0.6284356875670442,True,SPJF-tweedie better
primary,0,p99dl,red_pct,SKIP-G300 - SPJF-tweedie,finite skip vs unguarded at G = 300 s,-41.7324530174005,-45.23922342466639,-38.70040983814786,True,SPJF-tweedie better
primary,0,p99dl,gain,CAP-G300 - SKIP-G300,capped relative vs finite skip at G = 300 s,0.6024146640626074,0.5669835711205464,0.631395189817173,True,CAP-G300 better
primary,0,p99dl,red_pct,CAP-G300 - SKIP-G300,capped relative vs finite skip at G = 300 s,37.31488726292899,34.83262419490582,40.28428211406913,True,CAP-G300 better
