level,rho_target,k,policy,p99_dl_s,gap_closed,red_pct,mean_s,max_excess_s,harm_wf1s_s,max_heavy_s,guar_excess_s,used_over_allowed,qw_fired
0,0.5,7.8,SPJF-reversed,42.723,-0.862,-53.341,1.334,1240.127,1240.127,996.654,inf,,0.0
0,0.5,7.8,CAP-G600-reversed,43.391,-0.898,-55.571,1.273,497.122,287.084,855.952,600.0,0.829,0.131
0,0.5,7.8,SPJF-random,16.822,0.639,39.586,0.517,1307.656,1275.991,1379.111,inf,,0.0
0,0.5,7.8,CAP-G600-random,17.123,0.622,38.569,0.538,489.935,323.98,944.079,600.0,0.817,0.023
0,0.5,7.8,SPJF-top1short,38.256,-0.598,-36.954,1.137,1307.315,1238.543,1172.735,inf,,0.0
0,0.5,7.8,CAP-G600-top1short,38.737,-0.624,-38.608,1.112,497.109,273.424,850.518,600.0,0.829,0.114
1,0.8,5.0,SPJF-reversed,228.117,-1.277,-91.487,7.739,3387.891,3387.891,1989.775,inf,,0.0
1,0.8,5.0,CAP-G600-reversed,232.41,-1.328,-95.14,7.056,513.549,323.406,1463.396,600.0,0.856,0.323
1,0.8,5.0,SPJF-random,78.517,0.474,34.039,2.872,3319.423,3257.854,3311.211,inf,,0.0
1,0.8,5.0,CAP-G600-random,88.391,0.358,25.762,3.272,504.51,352.307,1467.323,600.0,0.841,0.136
1,0.8,5.0,SPJF-top1short,212.555,-1.098,-78.556,6.514,3292.064,3181.707,3101.955,inf,,0.0
1,0.8,5.0,CAP-G600-top1short,222.583,-1.214,-86.919,6.249,516.213,308.475,1196.084,600.0,0.86,0.281
2,1.0,4.0,SPJF-reversed,557.441,-1.235,-103.748,18.89,6295.652,5248.836,2654.83,inf,,0.0
2,1.0,4.0,CAP-G600-reversed,546.479,-1.187,-99.734,16.687,534.791,309.097,1994.318,600.0,0.891,0.442
2,1.0,4.0,SPJF-random,194.775,0.341,28.669,6.896,6235.494,6173.575,6199.551,inf,,0.0
2,1.0,4.0,CAP-G600-random,261.933,0.049,4.114,8.311,520.734,332.864,2007.566,600.0,0.868,0.252
2,1.0,4.0,SPJF-top1short,523.518,-1.088,-91.414,15.562,6108.86,3399.037,6021.318,inf,,0.0
2,1.0,4.0,CAP-G600-top1short,543.616,-1.175,-98.69,14.862,534.727,324.589,1547.667,600.0,0.891,0.4
