trace,level,k,policy,G,B0,eta,Bmax,Ncap,guar_excess_s,max_excess_s,used_over_allowed
primary,0,7.8,FIX-G300,300.0,1080.0,0.0,1080.0,0,300.0,201.1524,0.6705
primary,0,7.8,FIXSEL-G300,300.0,240.0,0.0,1080.0,0,194.5714,94.0403,0.4876
primary,0,7.8,CAP-G300,300.0,60.0,0.5,1080.0,0,300.0,193.0746,0.6436
primary,0,7.8,SKIP-G300,300.0,-1.0,0.0,0.0,26,300.0,62.1354,0.2071
primary,0,7.8,SKIPC-G300,300.0,-1.0,0.0,0.0,18,300.0,62.1093,0.207
primary,0,7.8,FIX-G600,600.0,3480.0,0.0,3480.0,0,600.0,498.2089,0.8303
primary,0,7.8,FIXSEL-G600,600.0,1200.0,0.0,3480.0,0,314.5714,206.0698,0.6542
primary,0,7.8,CAP-G600,600.0,240.0,0.75,3480.0,0,600.0,493.8966,0.8232
primary,0,7.8,SKIP-G600,600.0,-1.0,0.0,0.0,66,600.0,100.1878,0.167
primary,0,7.8,SKIPC-G600,600.0,-1.0,0.0,0.0,58,600.0,100.1759,0.167
primary,0,7.8,FIX-G1200,1200.0,8280.0,0.0,8280.0,0,1200.0,1073.2942,0.8944
primary,0,7.8,FIXSEL-G1200,1200.0,1200.0,0.0,8280.0,0,314.5714,206.0698,0.6542
primary,0,7.8,CAP-G1200,1200.0,240.0,0.9,8280.0,0,1200.0,1078.6581,0.8989
primary,0,7.8,SKIP-G1200,1200.0,-1.0,0.0,0.0,146,1200.0,102.2701,0.0852
primary,0,7.8,SKIPC-G1200,1200.0,-1.0,0.0,0.0,138,1200.0,102.2186,0.0852
primary,0,7.8,CAP-G600-reversed,600.0,240.0,0.75,3480.0,0,600.0,497.1223,0.8285
primary,0,7.8,CAP-G600-random,600.0,240.0,0.75,3480.0,0,600.0,489.9349,0.8166
primary,0,7.8,CAP-G600-top1short,600.0,240.0,0.75,3480.0,0,600.0,497.1095,0.8285
primary,1,5.0,FIX-G300,300.0,720.0,0.0,720.0,0,300.0,214.1233,0.7137
primary,1,5.0,FIXSEL-G300,300.0,150.0,0.0,720.0,0,186.0,109.7156,0.5899
primary,1,5.0,CAP-G300,300.0,37.5,0.5,720.0,0,300.0,207.2867,0.691
primary,1,5.0,SKIP-G300,300.0,-1.0,0.0,0.0,17,300.0,64.1504,0.2138
primary,1,5.0,SKIPC-G300,300.0,-1.0,0.0,0.0,12,300.0,64.1551,0.2139
primary,1,5.0,FIX-G600,600.0,2220.0,0.0,2220.0,0,600.0,512.8666,0.8548
primary,1,5.0,FIXSEL-G600,600.0,750.0,0.0,2220.0,0,306.0,231.1885,0.7555
primary,1,5.0,CAP-G600,600.0,150.0,0.75,2220.0,0,600.0,513.8331,0.8564
primary,1,5.0,SKIP-G600,600.0,-1.0,0.0,0.0,42,600.0,97.5376,0.1626
primary,1,5.0,SKIPC-G600,600.0,-1.0,0.0,0.0,37,600.0,97.5376,0.1626
primary,1,5.0,FIX-G1200,1200.0,5220.0,0.0,5220.0,0,1200.0,1110.9289,0.9258
primary,1,5.0,FIXSEL-G1200,1200.0,750.0,0.0,5220.0,0,306.0,231.1885,0.7555
primary,1,5.0,CAP-G1200,1200.0,150.0,0.9,5220.0,0,1200.0,1110.9281,0.9258
primary,1,5.0,SKIP-G1200,1200.0,-1.0,0.0,0.0,92,1200.0,133.1564,0.111
primary,1,5.0,SKIPC-G1200,1200.0,-1.0,0.0,0.0,87,1200.0,133.0937,0.1109
primary,1,5.0,CAP-G600-reversed,600.0,150.0,0.75,2220.0,0,600.0,513.5491,0.8559
primary,1,5.0,CAP-G600-random,600.0,150.0,0.75,2220.0,0,600.0,504.5105,0.8409
primary,1,5.0,CAP-G600-top1short,600.0,150.0,0.75,2220.0,0,600.0,516.213,0.8604
primary,2,4.0,FIX-G300,300.0,600.0,0.0,600.0,0,300.0,227.8946,0.7596
