trace,level,k,G,gap_fix,gap_fixsel,gap_cap,harm_fix_s,harm_fixsel_s,harm_cap_s,guar_fixsel_s,guar_cap_s,d_gap_cap_minus_fixsel,harm_ratio_fix_over_cap
primary,0,7.8,300.0,0.72,0.6,0.68,187.9,74.7,97.2,194.6,300.0,0.08,1.93
primary,0,7.8,600.0,0.74,0.723,0.739,238.1,196.4,238.1,314.6,600.0,0.016,1.0
primary,0,7.8,1200.0,0.75,0.723,0.75,238.1,196.4,238.1,314.6,1200.0,0.027,1.0
primary,1,5.0,300.0,0.761,0.315,0.728,186.3,109.5,109.6,186.0,300.0,0.413,1.7
primary,1,5.0,600.0,0.842,0.766,0.837,446.7,200.3,313.2,306.0,600.0,0.071,1.43
primary,1,5.0,1200.0,0.861,0.766,0.862,469.3,200.3,320.2,306.0,1200.0,0.096,1.47
primary,2,4.0,300.0,0.45,0.036,0.467,208.2,102.2,113.8,180.0,300.0,0.431,1.83
primary,2,4.0,600.0,0.813,0.45,0.8,520.5,208.2,339.1,300.0,600.0,0.35,1.54
primary,2,4.0,1200.0,0.872,0.45,0.872,708.8,208.2,576.0,300.0,1200.0,0.422,1.23
k1,0,1.0,300.0,0.785,0.243,0.743,246.3,81.8,54.4,90.0,300.0,0.499,4.53
k1,0,1.0,600.0,0.869,0.689,0.857,563.4,183.4,165.7,210.0,600.0,0.168,3.4
k1,0,1.0,1200.0,0.899,0.689,0.898,656.4,183.4,338.9,210.0,1200.0,0.21,1.94
