policy,score,G,B0,eta,Bmax,Ncap,p99_dl_s,gap_closed,gap_lo,gap_hi,red_pct,mean_s,max_excess_s,harm_wf1s_s,max_heavy_s,guar_excess_s,used_over_allowed,qw_fired
FCFS,-,-1.0,-1.0,-1.0,0.0,-1,221.2744,0.0,0.0,0.0,0.0,6.5935,0.0,0.0,1423.5232,inf,,1.0
SJF-ref,svc,-1.0,-1.0,-1.0,0.0,-1,45.3248,1.0,1.0,1.0,79.5165,1.8713,2054.5023,777.9388,2366.6592,inf,,0.0
SPJF-M4,M4,-1.0,-1.0,-1.0,0.0,-1,64.7433,0.8896,0.8309,0.9172,70.7407,2.5205,2520.2899,400.1355,2698.2165,inf,,0.0
SPJF-M4refit,M4refit,-1.0,-1.0,-1.0,0.0,-1,64.703,0.8899,0.8311,0.9175,70.7589,2.5224,2520.2899,400.1355,2698.2165,inf,,0.0
SPJF-tweedie,tweedie,-1.0,-1.0,-1.0,0.0,-1,60.9289,0.9113,0.8542,0.9329,72.4645,2.4449,2520.2899,656.365,2698.2165,inf,,0.0
SPJF-tweedie_itr,tweedie_itr,-1.0,-1.0,-1.0,0.0,-1,61.4683,0.9082,0.85,0.9309,72.2208,2.4497,2325.4278,375.1261,2505.323,inf,,0.0
SPJF-r1s,r1s,-1.0,-1.0,-1.0,0.0,-1,60.7581,0.9123,0.8692,0.933,72.5417,2.4221,2325.4278,362.0655,2505.323,inf,,0.0
FIX-G300,tweedie,300.0,240.0,0.0,240.0,0,83.2414,0.7845,0.5861,0.8657,62.3809,3.0711,295.1349,246.3363,1669.1453,300.0,0.9838,0.0633
FIXSEL-G300,tweedie,300.0,30.0,0.0,240.0,0,178.4326,0.2435,0.0306,0.4534,19.3614,4.4732,88.8598,81.7982,1453.7055,90.0,0.9873,0.3191
CAP-G300,tweedie,300.0,7.5,0.5,240.0,0,90.5643,0.7429,0.5576,0.8198,59.0715,3.2017,295.0482,54.3597,1669.1453,300.0,0.9835,0.0905
SKIP-G300,tweedie,300.0,-1.0,0.0,0.0,5,220.3199,0.0054,-0.0016,0.0191,0.4314,6.2841,95.0859,81.7982,1424.6451,300.0,0.317,0.7318
SKIPC-G300,tweedie,300.0,-1.0,0.0,0.0,4,220.5256,0.0043,-0.0016,0.0146,0.3384,6.3384,74.949,54.3597,1424.4687,300.0,0.2498,0.7475
FIX-G600,tweedie,600.0,540.0,0.0,540.0,0,68.3147,0.8693,0.7836,0.9065,69.1267,2.692,592.5319,563.3744,1976.0429,600.0,0.9876,0.0226
FIXSEL-G600,tweedie,600.0,150.0,0.0,540.0,0,100.13,0.6885,0.357,0.8221,54.7485,3.3812,207.9295,183.3834,1582.3699,210.0,0.9901,0.1049
CAP-G600,tweedie,600.0,30.0,0.75,540.0,0,70.5637,0.8566,0.7789,0.8978,68.1103,2.7003,592.5319,165.6877,1976.0429,600.0,0.9876,0.0252
SKIP-G600,tweedie,600.0,-1.0,0.0,0.0,10,219.8854,0.0079,-0.0048,0.0373,0.6277,6.0441,100.8546,83.2046,1425.7212,600.0,0.1681,0.67
SKIPC-G600,tweedie,600.0,-1.0,0.0,0.0,9,219.9527,0.0075,-0.0042,0.034,0.5973,6.0887,100.6759,82.7963,1425.5247,600.0,0.1678,0.6807
FIX-G1200,tweedie,1200.0,1140.0,0.0,1140.0,0,63.1619,0.8986,0.8361,0.9236,71.4554,2.553,1171.6655,656.365,2153.4042,1200.0,0.9764,0.0044
FIXSEL-G1200,tweedie,1200.0,150.0,0.0,1140.0,0,100.13,0.6885,0.357,0.8221,54.7485,3.3812,207.9295,183.3834,1582.3699,210.0,0.9901,0.1049
CAP-G1200,tweedie,1200.0,30.0,0.9,1140.0,0,63.259,0.8981,0.8352,0.9241,71.4115,2.5469,1176.8402,338.8617,2153.4042,1200.0,0.9807,0.0052
SKIP-G1200,tweedie,1200.0,-1.0,0.0,0.0,20,217.4201,0.0219,-0.0077,0.085,1.7419,5.6772,166.867,97.6901,1428.1674,1200.0,0.1391,0.5866
SKIPC-G1200,tweedie,1200.0,-1.0,0.0,0.0,19,217.8311,0.0196,-0.0076,0.0809,1.5561,5.709,140.3013,97.2817,1427.9854,1200.0,0.1169,0.5934
SPJF-reversed,reversed,-1.0,-1.0,-1.0,0.0,-1,415.3743,-1.1032,-1.3413,-0.8891,-87.7191,11.4145,2696.187,2487.0641,1724.7092,inf,,0.0
CAP-G600-reversed,reversed,600.0,30.0,0.75,540.0,0,383.6358,-0.9228,-1.1287,-0.7939,-73.3756,10.4113,596.1245,177.8721,1658.2656,600.0,0.9935,0.2629
SPJF-random,random,-1.0,-1.0,-1.0,0.0,-1,159.7873,0.3495,0.188,0.4678,27.7877,5.1441,2662.5581,1600.2566,2588.7401,inf,,0.0
CAP-G600-random,random,600.0,30.0,0.75,540.0,0,185.9139,0.201,0.0499,0.3354,15.9804,5.5494,596.9447,165.8422,1960.5797,600.0,0.9949,0.1022
SPJF-top1short,top1short,-1.0,-1.0,-1.0,0.0,-1,382.2755,-0.915,-1.1181,-0.7406,-72.7608,9.8718,2660.1561,1669.1669,2495.3681,inf,,0.0
CAP-G600-top1short,top1short,600.0,30.0,0.75,540.0,0,379.5558,-0.8996,-1.066,-0.7789,-71.5317,9.5627,597.0194,177.8721,1956.1859,600.0,0.995,0.2348
