trace,level,rho_target,metric,quantity,pair,label,diff,lo,hi,resolved,verdict
k1,0,0.8,p99dl,gain,SPJF-tweedie - SPJF-M4,ranking score: Tweedie vs log M4,0.0216785064363193,0.008313038023721454,0.03596500157407193,True,SPJF-tweedie better
k1,0,0.8,p99dl,red_pct,SPJF-tweedie - SPJF-M4,ranking score: Tweedie vs log M4,1.723798004083264,0.6513205628007512,2.8460256170637743,True,SPJF-tweedie better
k1,0,0.8,p99dl,gain,SPJF-M4refit - SPJF-M4,refit-noise control,0.00022896139871653176,-0.0009663447986970719,0.0016110963323461148,False,unresolved
k1,0,0.8,p99dl,red_pct,SPJF-M4refit - SPJF-M4,refit-noise control,0.018206198996196576,-0.07981973302078416,0.12233497373432908,False,unresolved
k1,0,0.8,p99dl,gain,SPJF-r1s - SPJF-tweedie,R1S-Tweedie vs Tweedie,0.0009707512539524066,-0.004965865301217296,0.018992072133331355,False,unresolved
k1,0,0.8,p99dl,red_pct,SPJF-r1s - SPJF-tweedie,R1S-Tweedie vs Tweedie,0.0771906994118865,-0.3887176326421482,1.5615494521187196,False,unresolved
k1,0,0.8,p99dl,gain,CAP-G300 - FIXSEL-G300,"capped relative vs the selected fixed budget, equal grids, G = 300 s",0.20553565483409852,0.10316907391220047,0.36041766571323397,True,CAP-G300 better
k1,0,0.8,p99dl,red_pct,CAP-G300 - FIXSEL-G300,"capped relative vs the selected fixed budget, equal grids, G = 300 s",16.34346686252254,7.515831650476912,30.457976724840567,True,CAP-G300 better
k1,0,0.8,p99dl,gain,CAP-G300 - FIX-G300,"capped relative vs the equal-promise fixed budget B0 = Bmax, G = 300 s",-0.040244199267387315,-0.06007964668275876,-0.018247640566266966,True,FIX-G300 better
k1,0,0.8,p99dl,red_pct,CAP-G300 - FIX-G300,"capped relative vs the equal-promise fixed budget B0 = Bmax, G = 300 s",-3.2000761019600006,-4.650026056593735,-1.5185912816200988,True,FIX-G300 better
k1,0,0.8,p99dl,gain,HYB-G300 - CAP-G300,"hybrid (queue-length term) vs capped, G = 300 s",-0.09036409946608837,-0.13326992811959845,-0.049733972708241515,True,CAP-G300 better
k1,0,0.8,p99dl,red_pct,HYB-G300 - CAP-G300,"hybrid (queue-length term) vs capped, G = 300 s",-7.1854329429012225,-10.113201867505769,-4.132749271575823,True,CAP-G300 better
