level,rho_target,policy,p99_dl_s,gap_closed,mean_s,max_excess_s,harm_wf1s_s,lw_ex_max,guar_excess_s,used_over_allowed,qw_fired
0,0.5,SPJF-reversed,42.723,-0.862,1.334,1240.127,1240.127,1217.568,inf,,0.0
0,0.5,CAP-G600-reversed,43.391,-0.898,1.273,497.122,287.084,497.122,600.0,0.829,0.131
0,0.5,SPJF-random,16.822,0.639,0.517,1307.656,1275.991,1307.656,inf,,0.0
0,0.5,CAP-G600-random,17.123,0.622,0.538,489.935,323.98,489.935,600.0,0.817,0.023
0,0.5,SPJF-top1short,38.256,-0.598,1.137,1307.315,1238.543,1213.478,inf,,0.0
0,0.5,CAP-G600-top1short,38.737,-0.624,1.112,497.109,273.424,497.109,600.0,0.829,0.114
1,0.8,SPJF-reversed,228.117,-1.277,7.739,3387.891,3387.891,2987.947,inf,,0.0
1,0.8,CAP-G600-reversed,232.41,-1.328,7.056,513.549,323.406,513.549,600.0,0.856,0.323
1,0.8,SPJF-random,78.517,0.474,2.872,3319.423,3257.854,3186.27,inf,,0.0
1,0.8,CAP-G600-random,88.391,0.358,3.272,504.51,352.307,504.51,600.0,0.841,0.136
1,0.8,SPJF-top1short,212.555,-1.098,6.514,3292.064,3181.707,3002.434,inf,,0.0
1,0.8,CAP-G600-top1short,222.583,-1.214,6.249,516.213,308.475,516.213,600.0,0.86,0.281
2,1.0,SPJF-reversed,557.441,-1.235,18.89,6295.652,5248.836,5797.286,inf,,0.0
2,1.0,CAP-G600-reversed,546.479,-1.187,16.687,534.791,309.097,534.791,600.0,0.891,0.442
2,1.0,SPJF-random,194.775,0.341,6.896,6235.494,6173.575,6030.251,inf,,0.0
2,1.0,CAP-G600-random,261.933,0.049,8.311,520.734,332.864,520.734,600.0,0.868,0.252
2,1.0,SPJF-top1short,523.518,-1.088,15.562,6108.86,3399.037,5823.922,inf,,0.0
2,1.0,CAP-G600-top1short,543.616,-1.175,14.862,534.727,324.589,534.727,600.0,0.891,0.4
