trace,level,policy,G,B0_by_overlay,eta,gam_by_overlay,Bmax_by_overlay,Ncap_by_overlay,promise_by_overlay,guar_excess_s,max_excess_s,used_over_allowed
primary,0,FIX-G300,300.0,1080/1080/1080/1080/960,0.0,0/0/0/0/0,1080/1080/1080/1080/960,0/0/0/0/0,300.0/300.0/300.0/300.0/300.0,300.0,201.1524,0.6705
primary,0,FIXSEL-G300,300.0,659.342/659.342/659.342/659.342/576.924,0.0,0/0/0/0/0,1080/1080/1080/1080/960,0/0/0/0/0,247.4/247.4/247.4/247.4/245.3,246.9892,142.9698,0.5778
primary,0,CAP-G300,300.0,120/120/120/120/105,0.5,0/0/0/0/0,1080/1080/1080/1080/960,0/0/0/0/0,300.0/300.0/300.0/300.0/300.0,300.0,192.9896,0.6433
primary,0,HYB-G300,300.0,0/0/0/0/0,0.0,32/32/32/32/28,1080/1080/1080/1080/960,0/0/0/0/0,300.0/300.0/300.0/300.0/300.0,300.0,201.1524,0.6705
primary,0,SKIP-G300,300.0,-1/-1/-1/-1/-1,0.0,0/0/0/0/0,0/0/0/0/0,26/26/26/26/23,300.0/300.0/300.0/300.0/300.0,300.0,62.1354,0.2071
primary,0,FIX-G600,600.0,3480/3480/3480/3480/3060,0.0,0/0/0/0/0,3480/3480/3480/3480/3060,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0,600.0,498.2089,0.8303
primary,0,FIXSEL-G600,600.0,1962.25/1962.25/1962.25/1962.25/1716.97,0.0,0/0/0/0/0,3480/3480/3480/3480/3060,0/0/0/0/0,410.3/410.3/410.3/410.3/408.1,409.8529,307.1762,0.7487
primary,0,CAP-G600,600.0,240/240/240/240/210,0.75,0/0/0/0/0,3480/3480/3480/3480/3060,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0,600.0,493.8966,0.8232
primary,0,HYB-G600,600.0,240/240/240/240/210,0.0,32/32/32/32/28,3480/3480/3480/3480/3060,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0,600.0,495.1401,0.8252
primary,0,SKIP-G600,600.0,-1/-1/-1/-1/-1,0.0,0/0/0/0/0,0/0/0/0/0,66/66/66/66/58,600.0/600.0/600.0/600.0/600.0,600.0,100.1878,0.167
primary,0,FIX-G1200,1200.0,8280/8280/8280/8280/7260,0.0,0/0/0/0/0,8280/8280/8280/8280/7260,0/0/0/0/0,1200.0/1200.0/1200.0/1200.0/1200.0,1200.0,1073.2942,0.8944
primary,0,FIXSEL-G1200,1200.0,4059.92/4059.92/4059.92/4059.92/3552.43,0.0,0/0/0/0/0,8280/8280/8280/8280/7260,0/0/0/0/0,672.5/672.5/672.5/672.5/670.3,672.0614,565.6172,0.8411
primary,0,CAP-G1200,1200.0,720/720/720/720/630,0.75,0/0/0/0/0,8280/8280/8280/8280/7260,0/0/0/0/0,1020.0/1020.0/1020.0/1020.0/1011.4,1200.0,1029.6724,0.8581
primary,0,HYB-G1200,1200.0,0/0/0/0/0,0.0,32/32/32/32/28,8280/8280/8280/8280/7260,0/0/0/0/0,1200.0/1200.0/1200.0/1200.0/1200.0,1200.0,896.9473,0.8735
primary,0,SKIP-G1200,1200.0,-1/-1/-1/-1/-1,0.0,0/0/0/0/0,0/0/0/0/0,146/146/146/146/128,1200.0/1200.0/1200.0/1200.0/1200.0,1200.0,102.2701,0.0852
primary,0,CAP-G600-reversed,600.0,240/240/240/240/210,0.75,0/0/0/0/0,3480/3480/3480/3480/3060,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0,600.0,497.1223,0.8285
primary,0,CAP-G600-random,600.0,240/240/240/240/210,0.75,0/0/0/0/0,3480/3480/3480/3480/3060,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0,600.0,489.9349,0.8166
primary,0,CAP-G600-top1short,600.0,240/240/240/240/210,0.75,0/0/0/0/0,3480/3480/3480/3480/3060,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0,600.0,497.1095,0.8285
primary,1,FIX-G300,300.0,720/720/720/720/720,0.0,0/0/0/0/0,720/720/720/720/720,0/0/0/0/0,300.0/300.0/300.0/300.0/300.0,300.0,214.1233,0.7137
primary,1,FIXSEL-G300,300.0,412.089/412.089/412.089/412.089/412.089,0.0,0/0/0/0/0,720/720/720/720/720,0/0/0/0/0,238.4/238.4/238.4/238.4/238.4,238.4178,171.6314,0.7199
primary,1,CAP-G300,300.0,75/75/75/75/75,0.5,0/0/0/0/0,720/720/720/720/720,0/0/0/0/0,300.0/300.0/300.0/300.0/300.0,300.0,209.8236,0.6994
primary,1,HYB-G300,300.0,0/0/0/0/0,0.0,20/20/20/20/20,720/720/720/720/720,0/0/0/0/0,300.0/300.0/300.0/300.0/300.0,300.0,214.1211,0.7137
primary,1,SKIP-G300,300.0,-1/-1/-1/-1/-1,0.0,0/0/0/0/0,0/0/0/0/0,17/17/17/17/17,300.0/300.0/300.0/300.0/300.0,300.0,64.1504,0.2138
primary,1,FIX-G600,600.0,2220/2220/2220/2220/2220,0.0,0/0/0/0/0,2220/2220/2220/2220/2220,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0,600.0,512.8666,0.8548
primary,1,FIXSEL-G600,600.0,1226.41/1226.41/1226.41/1226.41/1226.41,0.0,0/0/0/0/0,2220/2220/2220/2220/2220,0/0/0/0/0,401.3/401.3/401.3/401.3/401.3,401.2815,315.3342,0.7858
primary,1,CAP-G600,600.0,150/150/150/150/150,0.75,0/0/0/0/0,2220/2220/2220/2220/2220,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0,600.0,513.8331,0.8564
primary,1,HYB-G600,600.0,150/150/150/150/150,0.0,20/20/20/20/20,2220/2220/2220/2220/2220,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0,600.0,502.9354,0.839
primary,1,SKIP-G600,600.0,-1/-1/-1/-1/-1,0.0,0/0/0/0/0,0/0/0/0/0,42/42/42/42/42,600.0/600.0/600.0/600.0/600.0,600.0,97.5376,0.1626
primary,1,FIX-G1200,1200.0,5220/5220/5220/5220/5220,0.0,0/0/0/0/0,5220/5220/5220/5220/5220,0/0/0/0/0,1200.0/1200.0/1200.0/1200.0/1200.0,1200.0,1110.9289,0.9258
primary,1,FIXSEL-G1200,1200.0,2537.45/2537.45/2537.45/2537.45/2537.45,0.0,0/0/0/0/0,5220/5220/5220/5220/5220,0/0/0/0/0,663.5/663.5/663.5/663.5/663.5,663.49,574.1336,0.8653
primary,1,CAP-G1200,1200.0,450/450/450/450/450,0.75,0/0/0/0/0,5220/5220/5220/5220/5220,0/0/0/0/0,984.0/984.0/984.0/984.0/984.0,1200.0,1103.45,0.9195
