policy,family,G,B0_by_overlay,eta,gam_by_overlay,Ncap_by_overlay,promise_by_overlay,p99_dl_s,gap_closed,gap_lo,gap_hi,mean_s,max_excess_s,harm_wf1s_s,lw_ex_p99,lw_ex_max,used_over_allowed
FCFS,-,-1.0,-1.0,-1.0,-1,0,inf,221.2744,0.0,0.0,0.0,6.5935,0.0,0.0,0.0,0.0,
SJF-ref,-,-1.0,-1.0,-1.0,-1,0,inf,45.3248,1.0,1.0,1.0,1.8713,2054.5023,777.9388,72.2845,2054.5023,
SPJF-M4,-,-1.0,-1.0,-1.0,-1,0,inf,64.7433,0.8896,0.8309,0.9172,2.5205,2520.2899,400.1355,274.7599,2520.2899,
SPJF-M4refit,-,-1.0,-1.0,-1.0,-1,0,inf,64.703,0.8899,0.8311,0.9175,2.5224,2520.2899,400.1355,278.1731,2520.2899,
SPJF-tweedie,-,-1.0,-1.0,-1.0,-1,0,inf,60.9289,0.9113,0.8542,0.9329,2.4449,2520.2899,656.365,267.4905,2520.2899,
SPJF-tweedie_itr,-,-1.0,-1.0,-1.0,-1,0,inf,61.4683,0.9082,0.85,0.9309,2.4497,2325.4278,375.1261,270.5708,2325.4278,
SPJF-r1s,-,-1.0,-1.0,-1.0,-1,0,inf,60.7581,0.9123,0.8692,0.933,2.4221,2325.4278,362.0655,232.7158,2325.4278,
FIX-G300,fixed_eq,300.0,240.0,0.0,0,0,300.0,83.2414,0.7845,0.5861,0.8657,3.0711,295.1349,246.3363,242.1636,295.1349,0.9838
FIXSEL-G300,fixed,300.0,82.4177,0.0,0,0,142.4,126.4862,0.5387,0.1953,0.7194,3.7766,140.3158,119.6503,97.8477,140.3158,0.9852
CAP-G300,capped,300.0,15.0,0.5,0,0,150.0,90.3223,0.7443,0.5597,0.8263,3.1735,295.1349,81.7982,240.8521,295.1349,0.9838
HYB-G300,hybrid,300.0,0.0,0.0,4,0,300.0,106.2218,0.6539,0.5109,0.7112,3.4269,295.1349,53.9019,240.8151,295.1349,0.9919
SKIP-G300,skip,300.0,-1.0,0.0,0,5,300.0,220.3199,0.0054,-0.0016,0.0191,6.2841,95.0859,81.7982,4.139,51.7364,0.317
FIX-G600,fixed_eq,600.0,540.0,0.0,0,0,600.0,68.3147,0.8693,0.7836,0.9065,2.692,592.5319,563.3744,526.5055,592.5319,0.9876
FIXSEL-G600,fixed,600.0,245.281,0.0,0,0,305.3,82.2348,0.7902,0.595,0.8684,3.0524,303.2653,246.3363,245.9105,303.2653,0.9934
CAP-G600,capped,600.0,30.0,0.75,0,0,360.0,70.5637,0.8566,0.7789,0.8978,2.7003,592.5319,165.6877,459.5789,592.5319,0.9876
HYB-G600,hybrid,600.0,30.0,0.0,4,0,600.0,90.5239,0.7431,0.6352,0.8168,3.044,592.5319,81.7982,402.4921,592.5319,0.9876
SKIP-G600,skip,600.0,-1.0,0.0,0,10,600.0,219.8854,0.0079,-0.0048,0.0373,6.0441,100.8546,83.2046,9.6349,81.0534,0.1681
FIX-G1200,fixed_eq,1200.0,1140.0,0.0,0,0,1200.0,63.1619,0.8986,0.8361,0.9236,2.553,1171.6655,656.365,309.7257,1171.6655,0.9764
FIXSEL-G1200,fixed,1200.0,507.49,0.0,0,0,567.5,68.6297,0.8675,0.7858,0.9054,2.7091,558.9396,509.2674,507.5332,558.9396,0.9849
CAP-G1200,capped,1200.0,90.0,0.75,0,0,600.0,63.7131,0.8955,0.8336,0.9208,2.5537,1181.3375,366.4079,329.3005,1181.3375,0.9844
HYB-G1200,hybrid,1200.0,0.0,0.0,4,0,1200.0,98.4228,0.6982,0.632,0.7422,3.1612,1165.1454,53.9019,327.2923,1165.1454,0.9919
SKIP-G1200,skip,1200.0,-1.0,0.0,0,20,1200.0,217.4201,0.0219,-0.0077,0.085,5.6772,166.867,97.6901,16.1663,166.867,0.1391
SPJF-reversed,-,-1.0,-1.0,-1.0,-1,0,inf,415.3743,-1.1032,-1.3413,-0.8891,11.4145,2696.187,2487.0641,1739.4297,2502.9898,
CAP-G600-reversed,capped,600.0,30.0,0.75,0,0,360.0,383.6358,-0.9228,-1.1287,-0.7939,10.4113,596.1245,177.8721,558.1701,596.1245,0.9935
SPJF-random,-,-1.0,-1.0,-1.0,-1,0,inf,159.7873,0.3495,0.188,0.4678,5.1441,2662.5581,1600.2566,1000.7069,2488.2746,
CAP-G600-random,capped,600.0,30.0,0.75,0,0,360.0,185.9139,0.201,0.0499,0.3354,5.5494,596.9447,165.8422,547.1784,596.9447,0.9949
SPJF-top1short,-,-1.0,-1.0,-1.0,-1,0,inf,382.2755,-0.915,-1.1181,-0.7406,9.8718,2660.1561,1669.1669,1473.2989,2496.81,
CAP-G600-top1short,capped,600.0,30.0,0.75,0,0,360.0,379.5558,-0.8996,-1.066,-0.7789,9.5627,597.0194,177.8721,564.9734,597.0194,0.995
