level,rho_target,policy,lw_ex_mean,lw_ex_p50,lw_ex_p90,lw_ex_p99,lw_ex_max,lw_ratio_p99,lw_ratio_max
0,0.5,FIX-G300,-100.974,-83.728,-2.432,140.527,187.555,2.516,3.632
0,0.5,FIXSEL-G300,-87.221,-77.402,32.671,91.447,136.094,2.206,2.804
0,0.5,CAP-G300,-101.922,-84.625,-0.038,138.471,192.99,2.405,3.672
0,0.5,HYB-G300,-101.601,-84.263,-0.27,139.619,187.168,2.476,3.626
0,0.5,SKIP-G300,-4.433,0.735,1.136,3.936,29.58,1.063,1.412
0,0.5,FIX-G600,-116.518,-92.127,-19.778,173.62,498.209,3.037,8.292
0,0.5,FIXSEL-G600,-110.139,-88.507,-15.45,201.467,307.176,2.725,5.444
0,0.5,CAP-G600,-115.31,-91.103,-16.974,174.205,493.897,3.079,7.791
0,0.5,HYB-G600,-115.991,-90.938,-19.393,181.837,495.14,2.833,8.293
0,0.5,SKIP-G600,-10.742,1.805,3.126,9.513,38.707,1.178,1.493
0,0.5,FIX-G1200,-122.732,-96.732,-30.085,156.242,1073.294,2.956,15.965
0,0.5,FIXSEL-G1200,-118.586,-93.511,-23.704,169.176,565.229,3.126,9.383
0,0.5,CAP-G1200,-122.553,-96.998,-30.788,159.768,1029.672,3.066,10.135
0,0.5,HYB-G1200,-117.906,-93.775,-22.086,185.275,896.947,2.866,12.447
0,0.5,SKIP-G1200,-22.01,3.889,7.005,20.756,73.557,1.274,1.964
0,0.5,CAP-G600-reversed,124.067,73.248,406.906,466.057,497.122,6.456,7.668
0,0.5,CAP-G600-random,-50.547,-69.684,139.051,451.575,489.935,5.303,8.008
0,0.5,CAP-G600-top1short,101.079,44.541,398.968,472.74,497.109,6.159,7.664
1,0.8,FIX-G300,-116.448,-82.6,56.083,150.896,209.719,2.205,4.163
1,0.8,FIXSEL-G300,-93.952,-71.017,82.563,94.634,171.631,1.954,3.214
1,0.8,CAP-G300,-114.949,-80.903,61.824,150.316,209.824,2.211,3.895
1,0.8,HYB-G300,-116.378,-82.403,58.511,150.49,210.675,2.196,4.251
1,0.8,SKIP-G300,-3.512,0.745,1.036,3.361,64.15,1.042,1.739
1,0.8,FIX-G600,-153.61,-96.751,-29.471,424.366,512.867,2.306,8.914
1,0.8,FIXSEL-G600,-136.173,-91.137,-9.963,247.808,315.334,2.273,5.887
1,0.8,CAP-G600,-154.402,-96.695,-27.745,399.71,513.833,2.354,7.693
1,0.8,HYB-G600,-154.058,-96.147,-25.116,419.779,502.935,2.335,8.469
1,0.8,SKIP-G600,-8.482,1.812,2.525,7.369,81.088,1.086,1.984
1,0.8,FIX-G1200,-164.676,-98.174,-33.21,213.795,1110.929,2.34,18.955
1,0.8,FIXSEL-G1200,-156.276,-97.638,-31.676,377.856,574.134,2.311,9.891
1,0.8,CAP-G1200,-166.447,-98.51,-32.669,217.171,1103.45,2.358,11.825
1,0.8,HYB-G1200,-163.258,-99.299,-30.153,286.218,1101.072,2.44,12.955
1,0.8,SKIP-G1200,-17.504,3.919,5.141,14.167,100.718,1.156,2.517
1,0.8,CAP-G600-reversed,139.143,67.956,452.424,482.329,513.549,5.565,8.666
1,0.8,CAP-G600-random,-48.525,-67.336,323.826,462.783,504.51,4.596,8.663
1,0.8,CAP-G600-top1short,107.492,38.09,451.241,481.516,516.213,5.354,8.749
2,1.0,FIX-G300,-114.965,-80.059,146.803,159.735,227.895,2.179,4.237
2,1.0,FIXSEL-G300,-89.813,-68.349,82.634,97.711,165.107,1.928,3.493
2,1.0,CAP-G300,-113.394,-78.176,140.65,158.466,228.915,2.176,4.285
2,1.0,HYB-G300,-114.592,-79.565,147.054,159.834,231.402,2.182,4.391
2,1.0,SKIP-G300,-2.943,0.756,1.053,3.081,64.15,1.031,1.88
2,1.0,FIX-G600,-163.765,-97.822,-25.252,450.591,523.503,2.252,9.218
2,1.0,FIXSEL-G600,-137.84,-89.202,25.617,248.273,325.384,2.264,6.029
2,1.0,CAP-G600,-164.291,-97.47,-24.145,450.566,515.843,2.296,7.945
2,1.0,HYB-G600,-163.512,-96.233,-19.494,450.594,515.838,2.29,8.793
2,1.0,SKIP-G600,-6.988,1.821,2.426,6.764,101.562,1.07,2.125
2,1.0,FIX-G1200,-187.572,-103.184,-37.297,383.513,1116.494,2.283,18.756
2,1.0,FIXSEL-G1200,-168.663,-98.939,-28.672,507.979,576.266,2.246,9.786
2,1.0,CAP-G1200,-190.566,-103.674,-37.535,334.944,1120.43,2.328,12.183
2,1.0,HYB-G1200,-185.018,-101.292,-31.471,443.561,1110.64,2.387,13.559
2,1.0,SKIP-G1200,-14.464,3.931,5.035,13.003,129.902,1.134,3.139
2,1.0,CAP-G600-reversed,142.895,72.922,459.589,488.976,534.791,5.733,9.297
2,1.0,CAP-G600-random,-47.374,-67.091,420.131,468.517,520.734,4.788,9.245
2,1.0,CAP-G600-top1short,106.446,36.357,457.102,487.224,534.727,5.635,9.403
