level,rho,k_by_overlay,policy,p99_dl_s,gap_closed,red_pct,mean_s,max_excess_s,harm_s,max_heavy_s,qw_fired,B0_by_overlay,Ncap_by_overlay,promise_by_overlay
0,0.5,8/8/8/8/7,FCFS,27.64,"0.000 [0.000,0.000]","0.0 [0.0,0.0]",0.719,0.0,0.0,486.9,1.0,-1/-1/-1/-1/-1,0/0/0/0/0,inf/inf/inf/inf/inf
0,0.5,8/8/8/8/7,SJF-ref,10.59,"1.000 [1.000,1.000]","62.0 [58.7,66.4]",0.228,1034.0,595.9,1185.9,0.0,-1/-1/-1/-1/-1,0/0/0/0/0,inf/inf/inf/inf/inf
0,0.5,8/8/8/8/7,SPJF-M4,14.73,"0.753 [0.721,0.776]","46.6 [43.9,49.9]",0.295,1244.8,396.4,1365.8,0.0,-1/-1/-1/-1/-1,0/0/0/0/0,inf/inf/inf/inf/inf
0,0.5,8/8/8/8/7,SPJF-M4refit,14.72,"0.753 [0.722,0.776]","46.7 [44.0,50.0]",0.295,1234.3,396.5,1380.7,0.0,-1/-1/-1/-1/-1,0/0/0/0/0,inf/inf/inf/inf/inf
0,0.5,8/8/8/8/7,SPJF-tweedie,14.73,"0.752 [0.723,0.775]","46.5 [43.7,49.9]",0.292,1242.5,238.1,1369.5,0.0,-1/-1/-1/-1/-1,0/0/0/0/0,inf/inf/inf/inf/inf
0,0.5,8/8/8/8/7,SPJF-tweedie_itr,14.69,"0.754 [0.724,0.776]","46.7 [43.8,50.0]",0.291,1019.2,248.8,1179.1,0.0,-1/-1/-1/-1/-1,0/0/0/0/0,inf/inf/inf/inf/inf
0,0.5,8/8/8/8/7,SPJF-r1s,14.87,"0.741 [0.707,0.767]","45.9 [43.2,48.8]",0.29,990.7,242.8,1178.8,0.0,-1/-1/-1/-1/-1,0/0/0/0/0,inf/inf/inf/inf/inf
0,0.5,8/8/8/8/7,FIX-G300,15.31,"0.720 [0.694,0.739]","44.6 [41.7,48.1]",0.348,201.2,187.9,630.3,0.0077,1080/1080/1080/1080/960,0/0/0/0/0,300.0/300.0/300.0/300.0/300.0
0,0.5,8/8/8/8/7,FIXSEL-G300,15.75,"0.697 [0.673,0.717]","43.2 [40.4,46.9]",0.384,143.0,134.0,573.4,0.0225,659.342/659.342/659.342/659.342/576.924,0/0/0/0/0,247.4/247.4/247.4/247.4/245.3
0,0.5,8/8/8/8/7,CAP-G300,15.61,"0.703 [0.676,0.723]","43.6 [40.9,46.8]",0.346,193.0,132.1,630.4,0.0135,120/120/120/120/105,0/0/0/0/0,300.0/300.0/300.0/300.0/300.0
0,0.5,8/8/8/8/7,HYB-G300,15.3,"0.721 [0.696,0.740]","44.7 [41.9,48.1]",0.346,201.2,94.3,629.9,0.2156,0/0/0/0/0,0/0/0/0/0,300.0/300.0/300.0/300.0/300.0
0,0.5,8/8/8/8/7,SKIP-G300,26.39,"0.078 [0.051,0.106]","4.8 [3.2,6.9]",0.669,62.1,59.6,487.6,0.4541,-1/-1/-1/-1/-1,26/26/26/26/23,300.0/300.0/300.0/300.0/300.0
0,0.5,8/8/8/8/7,FIX-G600,14.96,"0.740 [0.713,0.761]","45.8 [43.0,49.3]",0.309,498.2,238.1,924.2,0.001,3480/3480/3480/3480/3060,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0
0,0.5,8/8/8/8/7,FIXSEL-G600,15.14,"0.730 [0.704,0.750]","45.3 [42.4,48.7]",0.325,307.2,238.1,742.9,0.0035,1962.25/1962.25/1962.25/1962.25/1716.97,0/0/0/0/0,410.3/410.3/410.3/410.3/408.1
0,0.5,8/8/8/8/7,CAP-G600,14.98,"0.739 [0.712,0.759]","45.8 [43.0,49.3]",0.311,493.9,238.1,925.8,0.0016,240/240/240/240/210,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0
0,0.5,8/8/8/8/7,HYB-G600,14.92,"0.742 [0.715,0.762]","45.9 [43.1,49.4]",0.309,495.1,106.0,931.1,0.0015,240/240/240/240/210,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0
0,0.5,8/8/8/8/7,SKIP-G600,24.64,"0.184 [0.135,0.232]","11.5 [8.4,14.9]",0.624,100.2,63.4,488.7,0.3726,-1/-1/-1/-1/-1,66/66/66/66/58,600.0/600.0/600.0/600.0/600.0
0,0.5,8/8/8/8/7,FIX-G1200,14.75,"0.750 [0.722,0.774]","46.5 [43.6,49.9]",0.293,1073.3,238.1,1249.7,0.0,8280/8280/8280/8280/7260,0/0/0/0/0,1200.0/1200.0/1200.0/1200.0/1200.0
0,0.5,8/8/8/8/7,FIXSEL-G1200,14.88,"0.744 [0.717,0.765]","46.1 [43.2,49.5]",0.304,565.6,238.1,1002.6,0.0006,4059.92/4059.92/4059.92/4059.92/3552.43,0/0/0/0/0,672.5/672.5/672.5/672.5/670.3
0,0.5,8/8/8/8/7,CAP-G1200,14.75,"0.751 [0.723,0.774]","46.5 [43.7,49.9]",0.293,1029.7,238.1,1207.4,0.0002,720/720/720/720/630,0/0/0/0/0,1020.0/1020.0/1020.0/1020.0/1011.4
