policy,family,worst_gap,worst_harm,worst_promise,mean_gap,n_cells,max_used,lw_ex_p99,lw_ex_max,lw_ratio_max,B0_base,eta,gam_base
CAPG-G1200-B0-e0,capped,0.0,0.0,165.0,0.0,15,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CAPG-G300-B0-e0,capped,0.0,0.0,165.0,0.0,15,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CAPG-G600-B0-e0,capped,0.0,0.0,165.0,0.0,15,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CAPG-G1200-B0-e0.25,capped,0.19500318433490255,113.59830190241335,220.0,0.3880790348231327,15,0.7832586155284647,260.8191066929697,522.5857730656862,2.7536135399570147,0.0,0.25,0.0
CAPG-G300-B0-e0.25,capped,0.17392316696354157,113.59830190241335,220.0,0.37910622517027986,15,0.7146642454465231,155.3244302608073,214.3992736339569,2.7536135399570147,0.0,0.25,0.0
CAPG-G600-B0-e0.25,capped,0.19500318433490255,113.59830190241335,220.0,0.38802923734844097,15,0.8363013913979133,261.2334099540112,501.780834838748,2.7536135399570147,0.0,0.25,0.0
CAPG-G1200-B0-e0.5,capped,0.5874725007881954,118.668151602149,330.0,0.6566459280384029,15,0.9139647969727714,333.50671719014645,1096.7577563673258,3.6169258067796233,0.0,0.5,0.0
CAPG-G300-B0-e0.5,capped,0.4082669114169308,118.668151602149,300.0,0.5821755669443912,15,0.7937040866911411,157.3920530793075,238.1112260073424,3.6169258067796233,0.0,0.5,0.0
CAPG-G600-B0-e0.5,capped,0.5721397873062675,118.668151602149,330.0,0.6500835348184858,15,0.8653581246982018,440.5670705936887,519.2148748189211,3.6169258067796233,0.0,0.5,0.0
CAPG-G1200-B0-e0.75,capped,0.707445786402603,173.43264684081078,660.0,0.7704108322817709,15,0.9273500230287512,290.5060686110008,1112.8200276345017,6.28328147771119,0.0,0.75,0.0
CAPG-G300-B0-e0.75,capped,0.4024734844846663,173.43264684081078,300.0,0.6289956216986036,15,0.7990847877661387,159.18618428707123,227.27914409339428,4.668096140823749,0.0,0.75,0.0
CAPG-G600-B0-e0.75,capped,0.706152358330965,173.43264684081078,600.0,0.7510976740691071,15,0.8608116863916317,450.105452850461,516.4870118349791,6.28328147771119,0.0,0.75,0.0
CAPG-G1200-B0-e0.9,capped,0.7198246898249818,358.92071129381657,1200.0,0.7983951655109437,15,0.9294469452525178,277.3009258669612,1115.3363343030214,14.541060557727766,0.0,0.9,0.0
CAPG-G300-B0-e0.9,capped,0.37745180737315637,212.0439104884863,300.0,0.6268461525705374,15,0.7880653869112333,159.2187222391367,236.41961607337,4.704841677924304,0.0,0.9,0.0
CAPG-G600-B0-e0.9,capped,0.7173670373776823,358.92071129381657,600.0,0.7738745616559697,15,0.8567376999557018,450.3200592547655,514.0426199734211,9.018080558710324,0.0,0.9,0.0
CAPG-G1200-B0-e0.95,capped,0.7216438723272767,441.6454218178988,1200.0,0.8033962694930302,15,0.9209248939901592,296.3210010373541,1105.1098727881908,18.969982752304528,0.0,0.95,0.0
CAPG-G300-B0-e0.95,capped,0.3720644885761604,212.0439104884863,300.0,0.6243138268612506,15,0.7880653869112333,159.32256424814472,236.41961607337,4.705043241100704,0.0,0.95,0.0
CAPG-G600-B0-e0.95,capped,0.7183847325880106,441.6454218178988,600.0,0.7767357273073121,15,0.8567377210160096,450.341078632772,514.0426326096058,9.175062035111088,0.0,0.95,0.0
CAPG-G1200-B15-e0,capped,-0.006895775384270354,66.63522438704967,168.75,0.08117685220849186,15,0.4277290290933314,13.027096052765849,60.610576540231705,1.9358688371839563,15.0,0.0,0.0
CAPG-G300-B15-e0,capped,-0.006895775384270354,66.63522438704967,168.75,0.08117685220849186,15,0.4277290290933314,13.027096052765849,60.610576540231705,1.9358688371839563,15.0,0.0,0.0
CAPG-G600-B15-e0,capped,-0.006895775384270354,66.63522438704967,168.75,0.08117685220849186,15,0.4277290290933314,13.027096052765849,60.610576540231705,1.9358688371839563,15.0,0.0,0.0
CAPG-G1200-B15-e0.25,capped,0.2583307211096694,101.63994604349136,225.0,0.45281118940992343,15,0.8188459729498698,251.3391842162609,543.9508592635393,2.9340200998796124,15.0,0.25,0.0
CAPG-G300-B15-e0.25,capped,0.23165417046944003,101.63994604349136,225.0,0.441320845783702,15,0.7298778419196605,152.18304648190735,218.96335257589817,2.9340200998796124,15.0,0.25,0.0
CAPG-G600-B15-e0.25,capped,0.2583307211096694,101.63994604349136,225.0,0.4527603765832307,15,0.8394965824981531,252.4084878090023,503.69794949889183,2.9340200998796124,15.0,0.25,0.0
CAPG-G1200-B15-e0.5,capped,0.5987426938733902,124.48672753572464,337.5,0.6672356222358626,15,0.9189499878386655,309.19776322096607,1102.7399854063988,3.668215367676447,15.0,0.5,0.0
CAPG-G300-B15-e0.5,capped,0.41659688261286965,124.48672753572464,300.0,0.5887613359810675,15,0.7770098219811916,157.37520211428404,233.1029465943575,3.668215367676447,15.0,0.5,0.0
CAPG-G600-B15-e0.5,capped,0.5787169497680014,124.48672753572464,337.5,0.6598653473920019,15,0.852066597143809,416.7420303978096,511.2399582862854,3.668215367676447,15.0,0.5,0.0
CAPG-G1200-B15-e0.75,capped,0.7050342426244557,212.09133356809616,675.0,0.7776794160691008,15,0.9251177947347364,290.7213137555181,1110.1413536816835,6.336542299713773,15.0,0.75,0.0
CAPG-G300-B15-e0.75,capped,0.403444350625006,212.0439104884863,300.0,0.6314676773165899,15,0.7880653869112333,159.12322896108034,236.41961607337,4.570498244050751,15.0,0.75,0.0
CAPG-G600-B15-e0.75,capped,0.7041572952787944,212.09133356809616,600.0,0.7577467688973908,15,0.8652669007331133,450.141970038414,519.160140439868,6.336542299713773,15.0,0.75,0.0
CAPG-G1200-B15-e0.9,capped,0.7262587047312681,358.92071129381657,1200.0,0.7997955891808118,15,0.9210310816019772,281.4324883338798,1105.2372979223728,15.411168006588722,15.0,0.9,0.0
CAPG-G300-B15-e0.9,capped,0.3727479448821824,212.0439104884863,300.0,0.6251688339304711,15,0.7880653869112333,159.10897584512836,236.41961607337,4.705043241100704,15.0,0.9,0.0
CAPG-G600-B15-e0.9,capped,0.7237008224870114,358.92071129381657,600.0,0.7742473075812578,15,0.8567376220226288,450.2958911806345,514.0425732135773,9.018080558710324,15.0,0.9,0.0
CAPG-G1200-B15-e0.95,capped,0.7266731178960358,484.2988456636667,1200.0,0.8041778545951366,15,0.9246372938156128,283.30438232540985,1105.1092856824398,18.969982752304528,15.0,0.95,0.0
CAPG-G300-B15-e0.95,capped,0.3703794908034586,212.0439104884863,300.0,0.6236859639947284,15,0.7880653869112333,159.17320629745743,236.41961607337,4.705043241100704,15.0,0.95,0.0
CAPG-G600-B15-e0.95,capped,0.7230437321287428,483.9248276352882,600.0,0.7773774125122586,15,0.8567153809467951,450.3235989809036,514.0292285680771,9.018080558710324,15.0,0.95,0.0
