trace,level,rho_target,k,k_by_overlay,policy,score,family,G,B0_by_overlay,eta,gam_by_overlay,Bmax_by_overlay,Ncap_by_overlay,promise_by_overlay,p99_dl_s,gap_closed,gap_lo,gap_hi,red_pct,red_lo,red_hi,mean_s,mean_gap,mean_gap_lo,mean_gap_hi,p99_all_s,max_excess_s,harm_wf1s_s,max_heavy_s,lw_ex_mean,lw_ex_p50,lw_ex_p90,lw_ex_p99,lw_ex_max,lw_ratio_p99,lw_ratio_max,qw_fired,used_over_allowed,guar_excess_s
k1,0,0.8,1.0,1,FCFS,-,-,-1.0,-1,-1.0,-1,0,0,inf,221.27438719391904,0.0,0.0,0.0,0.0,0.0,0.0,6.59351294323696,0.0,0.0,0.0,152.97509937405604,0.0,0.0,1423.5231717079878,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,inf
k1,0,0.8,1.0,1,SJF-ref,svc,-,-1.0,-1,-1.0,-1,0,0,inf,45.324836370348976,1.0,1.0,1.0,79.51645604123739,72.56154603535612,84.53263077122915,1.8712898318150275,1.0,1.0,1.0,37.35432439118627,2054.5022542625666,777.9388248920441,2366.659153208137,-159.0511306964167,-101.41224832832812,-45.2995529651642,72.2844991934299,2054.5022542625666,1.4471208008162468,18.93500553570581,0.0,,inf
k1,0,0.8,1.0,1,SPJF-M4,M4,-,-1.0,-1,-1.0,-1,0,0,inf,64.7432583588362,0.8896364219312007,0.8309414568948468,0.9171510045034524,70.74073543717604,64.00543776218463,75.10058014314757,2.520453425980268,0.8625300882978044,0.7977630045962606,0.9037368876867082,44.39347506254912,2520.289903718978,400.13551637530327,2698.216522682458,-139.45051373975522,-91.99564714729786,-22.540006783604625,274.7598515212508,2520.289903718978,2.422926286810755,35.491416682847365,0.0,,inf
k1,0,0.8,1.0,1,SPJF-M4refit,M4refit,-,-1.0,-1,-1.0,-1,0,0,inf,64.70297270357611,0.8898653833299173,0.8310642505153425,0.917469171085384,70.75894163617224,64.03951241605965,75.06743558867933,2.522364259937197,0.8621254411831207,0.7969947570990772,0.903509368974647,44.37924782574181,2520.289903718978,400.13551637530327,2698.216522682458,-139.38462647076406,-92.0548816472292,-23.0745760887862,278.1730894744396,2520.289903718978,2.4389378297050386,35.491416682847365,0.0,,inf
k1,0,0.8,1.0,1,SPJF-tweedie,tweedie,-,-1.0,-1,-1.0,-1,0,0,inf,60.92893488883996,0.91131492836752,0.8541541246382471,0.9328615350059273,72.4645334412593,65.41605014876063,76.5097618882924,2.444924789040828,0.8785243848732359,0.8184080663445181,0.9173169180551553,42.91152927070857,2520.289903718978,656.3649697750807,2698.216522682458,-141.48960767192196,-92.8188057243824,-30.329513087868754,267.4905324006067,2520.289903718978,2.335142239571021,35.491416682847365,0.0,,inf
k1,0,0.8,1.0,1,SPJF-tweedie_itr,tweedie_itr,-,-1.0,-1,-1.0,-1,0,0,inf,61.46834029793768,0.9082492461502428,0.8500086134219349,0.9309323798412422,72.22076125599278,65.20705449730984,76.40145574276208,2.449687087481216,0.8775158983345824,0.815542830543142,0.9171529812496862,42.95574925541878,2325.4277826435864,375.126085177064,2505.323013413697,-141.4608212510251,-92.95847424864768,-31.202182164788248,270.57084745168686,2325.4277826435864,2.278521081351254,28.73318357432629,0.0,,inf
k1,0,0.8,1.0,1,SPJF-r1s,r1s,-,-1.0,-1,-1.0,-1,0,0,inf,60.75813164174563,0.9122856796214724,0.8691580322163535,0.9330384175674593,72.54172414067119,65.50457356564175,76.81278217487657,2.422091170105604,0.8833597385607811,0.8339113143428439,0.9148688061295347,43.0387086310983,2325.4277826435864,362.0655001550913,2505.323013413697,-142.41290673996878,-93.57096362113953,-31.36539906859398,232.7157601809498,2325.4277826435864,2.1648248695186423,21.367637832539938,0.0,,inf
k1,0,0.8,1.0,1,FIX-G300,tweedie,fixed_eq,300.0,240,0.0,0,240,0,300.0,83.24137166202098,0.7845033697773286,0.5860908605812648,0.8657019779235389,62.38092771710156,49.33650919354968,67.06626193884577,3.0711186397761243,0.7459186532167451,0.6874605127847419,0.807932686033579,48.132871440053,295.1348539143801,246.33627796173096,1669.1452740579844,-117.31879862704665,-84.51548306643963,-2.1213661372662083,242.1636220961809,295.1348539143801,2.236861089062141,5.231174534740232,0.063256537596139,0.9837828463812668,300.0
k1,0,0.8,1.0,1,FIXSEL-G300,tweedie,fixed,300.0,82.4177,0.0,0,240,0,142.4,126.48622659266,0.5387235156758428,0.19531728049010372,0.7193987449072972,42.837384752619016,16.530436894107275,53.11239577242953,3.7766498886287616,0.5965120639460846,0.5265903931177452,0.6912572614496482,57.85701770454653,140.31581147015095,119.650321662426,1517.1156397759914,-90.47029566606888,-70.0089677721262,75.44781150221824,97.8476787507534,140.31581147015095,1.879759239026905,3.3121250300303333,0.1720969090529745,0.9852410354057056,142.41775000000007
k1,0,0.8,1.0,1,CAP-G300,tweedie,capped,300.0,15,0.5,0,240,0,150.0,90.32232044637205,0.7442591705099413,0.5596528152857612,0.8263321017649056,59.180851615141556,46.949795114112156,63.59002570618858,3.173522997135966,0.7242330286827942,0.664384979430489,0.7872619147138462,50.92354157060385,295.1348539143801,81.79821981489658,1669.1452740579844,-113.05592136880644,-80.79697355628014,9.110193389654148,240.8520640283823,295.1348539143801,2.228666427879133,3.3121250300303333,0.0813097136790544,0.9837828463812668,300.0
