trace,level,rho_target,k,k_by_overlay,policy,score,family,G,B0_by_overlay,eta,gam_by_overlay,Bmax_by_overlay,Ncap_by_overlay,promise_by_overlay,p99_dl_s,gap_closed,gap_lo,gap_hi,red_pct,red_lo,red_hi,mean_s,mean_gap,mean_gap_lo,mean_gap_hi,p99_all_s,max_excess_s,harm_wf1s_s,max_heavy_s,lw_ex_mean,lw_ex_p50,lw_ex_p90,lw_ex_p99,lw_ex_max,lw_ratio_p99,lw_ratio_max,qw_fired,used_over_allowed,guar_excess_s
primary,0,0.5,7.8,8/8/8/8/7,FCFS,-,-,-1.0,-1/-1/-1/-1/-1,-1.0,-1/-1/-1/-1/-1,0/0/0/0/0,0/0/0/0/0,inf/inf/inf/inf/inf,27.64457209587104,0.0,0.0,0.0,0.0,0.0,0.0,0.718913425317915,0.0,0.0,0.0,15.187389673620464,0.0,0.0,486.8657468855381,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,inf
primary,0,0.5,7.8,8/8/8/8/7,SJF-ref,svc,-,-1.0,-1/-1/-1/-1/-1,-1.0,-1/-1/-1/-1/-1,0/0/0/0/0,0/0/0/0/0,inf/inf/inf/inf/inf,10.587548668384589,1.0,1.0,1.0,61.95517310582242,58.747167900185886,66.3615678673505,0.22814776619702135,1.0,1.0,1.0,5.099242272734648,1034.0366929620504,595.9371635168791,1185.8985834121704,-133.31524533732144,-101.45720131248235,-51.89824641376733,83.33921824377765,1034.0366929620504,1.947808333803504,10.422059248596549,0.0,,inf
primary,0,0.5,7.8,8/8/8/8/7,SPJF-M4,M4,-,-1.0,-1/-1/-1/-1/-1,-1.0,-1/-1/-1/-1/-1,0/0/0/0/0,0/0/0/0/0,inf/inf/inf/inf/inf,14.727770876139449,0.7528488667222545,0.721324028075664,0.7761070372429358,46.64074299874348,43.937031525076826,49.927773837356845,0.29508347505108284,0.8652440851543007,0.7958063100896474,0.8954616260882704,6.633935316711667,1244.820608831942,396.44462636113167,1365.8095551505685,-122.33894543815003,-96.73649563156069,-28.57194775819777,153.42059172153466,1244.820608831942,3.177620998931241,18.389385886680767,0.0,,inf
primary,0,0.5,7.8,8/8/8/8/7,SPJF-M4refit,M4refit,-,-1.0,-1/-1/-1/-1/-1,-1.0,-1/-1/-1/-1/-1,0/0/0/0/0,0/0/0/0/0,inf/inf/inf/inf/inf,14.723947255760493,0.7533956899209809,0.72169304898799,0.7759815576016349,46.676120705075924,43.96211789790886,49.984215227746525,0.295380416446663,0.8647390427028718,0.79552344585258,0.8943889102307236,6.644057379394778,1234.3418648540974,396.4730074107647,1380.6950914300978,-122.29582680715698,-96.94294369369746,-28.520476237535444,153.61836963298907,1234.3418648540974,3.168086097070035,18.26660060132791,0.0,,inf
primary,0,0.5,7.8,8/8/8/8/7,SPJF-tweedie,tweedie,-,-1.0,-1/-1/-1/-1/-1,-1.0,-1/-1/-1/-1/-1,0/0/0/0/0,0/0/0/0/0,inf/inf/inf/inf/inf,14.725104676485111,0.7515004250616844,0.7229423045631915,0.7753327475054452,46.549775644246466,43.73909546430128,49.920130831566595,0.2922781765343986,0.8705374234981601,0.8049814673460008,0.8987765760843394,6.6256504631340665,1242.4782217144966,238.06104281917212,1369.4833024255931,-122.99659683844263,-97.37809972129762,-30.984462536275363,156.2418562479911,1226.5672743059697,2.956093267845669,17.99119366688633,0.0,,inf
primary,0,0.5,7.8,8/8/8/8/7,SPJF-tweedie_itr,tweedie_itr,-,-1.0,-1/-1/-1/-1/-1,-1.0,-1/-1/-1/-1/-1,0/0/0/0/0,0/0/0/0/0,inf/inf/inf/inf/inf,14.68564381316315,0.7536165163570672,0.7236249947302611,0.7757784535623642,46.68212937119794,43.80651119909056,49.96697692968844,0.2912634040102638,0.8722058790099861,0.8073913860541718,0.9007039543793053,6.569656823247676,1019.2273174710572,248.76646514236927,1179.1338404119017,-123.09844101853892,-97.41406200006604,-30.749181460142136,152.70830607832954,1019.2273174710572,3.150025351858956,12.195246343494748,0.0,,inf
primary,0,0.5,7.8,8/8/8/8/7,SPJF-r1s,r1s,-,-1.0,-1/-1/-1/-1/-1,-1.0,-1/-1/-1/-1/-1,0/0/0/0/0,0/0/0/0/0,inf/inf/inf/inf/inf,14.873575423248212,0.7411285192756802,0.7067272382364179,0.7667774855460551,45.901619708689836,43.21982087525844,48.84242295685714,0.2901307666525197,0.8741050969336313,0.8161505513660057,0.9001731813823561,6.595658995956187,990.6785716712476,242.77503776550293,1178.7785927206278,-122.83673427045805,-97.17036702781915,-31.2190568664669,141.08667776077957,990.6785716712476,2.4710543257944195,11.16287149685138,0.0,,inf
primary,0,0.5,7.8,8/8/8/8/7,FIX-G300,tweedie,fixed_eq,300.0,1080/1080/1080/1080/960,0.0,0/0/0/0/0,1080/1080/1080/1080/960,0/0/0/0/0,300.0/300.0/300.0/300.0/300.0,15.30783447220928,0.7203554989807491,0.6944737562385838,0.7387451186925134,44.62689332204961,41.70780398765678,48.05851999478978,0.3480765900903765,0.7583260106350334,0.7256798553143019,0.7815572662850039,6.919641230165965,201.1523720473051,187.8596296608448,630.2782570570707,-100.97379629145256,-83.72790743112564,-2.4321661406009993,140.52703728261585,187.5548206269741,2.516077705444204,3.632119330257525,0.00769796427748576,0.6705079068243504,300.0
primary,0,0.5,7.8,8/8/8/8/7,FIXSEL-G300,tweedie,fixed,300.0,659.342/659.342/659.342/659.342/576.924,0.0,0/0/0/0/0,1080/1080/1080/1080/960,0/0/0/0/0,247.4/247.4/247.4/247.4/245.3,15.75259834259757,0.6967829635469743,0.6727730509560244,0.7170179428438963,43.177668851170765,40.356557584431,46.85744011359325,0.3841048013907872,0.686007949667115,0.6607962758002449,0.718384928905065,7.077984332233685,142.96977631747723,134.0477237701416,573.3923237919807,-87.22106398381028,-77.40241525918245,32.67128551572572,91.44654697464406,136.09437143802643,2.205734169506926,2.8041921395183333,0.02250091443397708,0.5778476941022914,246.98917857142865
primary,0,0.5,7.8,8/8/8/8/7,CAP-G300,tweedie,capped,300.0,120/120/120/120/105,0.5,0/0/0/0/0,1080/1080/1080/1080/960,0/0/0/0/0,300.0/300.0/300.0/300.0/300.0,15.607005729228376,0.7032786620160435,0.6759963057504473,0.7226282033607301,43.57283371812556,40.90727808781875,46.78383419016849,0.34550100942078527,0.7641513340786789,0.7304387172831683,0.7871892258377702,6.988964277595301,192.98962339758876,132.11013648286462,630.4242833703756,-101.92223664760198,-84.6251248344779,-0.03814804077141574,138.47082602505378,192.98962339758876,2.405166551694373,3.671538715703132,0.013461375920600881,0.6432987446586291,300.0
primary,0,0.5,7.8,8/8/8/8/7,HYB-G300,tweedie,hybrid,300.0,0/0/0/0/0,0.0,32/32/32/32/28,1080/1080/1080/1080/960,0/0/0/0/0,300.0/300.0/300.0/300.0/300.0,15.297278636097943,0.7209535501834126,0.695515358403146,0.7397481941473198,44.66545032378483,41.880180647199325,48.09431283396143,0.34617272029311386,0.7626630431311618,0.7306953336754725,0.7867392039144893,6.8524483450055245,201.1523720473051,94.3116031587124,629.8750692605972,-101.60082715327101,-84.26331430971622,-0.26958088174457656,139.61858387693758,187.16756699979305,2.4757734982714523,3.626193944432004,0.2155964607708273,0.6705079068243504,300.0
primary,0,0.5,7.8,8/8/8/8/7,SKIP-G300,tweedie,skip,300.0,-1/-1/-1/-1/-1,0.0,0/0/0/0/0,0/0/0/0/0,26/26/26/26/23,300.0/300.0/300.0/300.0/300.0,26.386261256337285,0.07758675169348758,0.05131192192553255,0.10632793157015108,4.817322626845968,3.1717296000075383,6.85548558065632,0.6688248174964257,0.10338875958682389,0.08554905500126431,0.13635300204242995,13.23001792544127,62.135362327098846,59.61721059679985,487.6180100440979,-4.433255784557897,0.7353707648813724,1.1363078033924103,3.936340383440246,29.57994033396244,1.0628730415607932,1.4118240318087196,0.4540888963727058,0.2071178744236628,300.0
primary,0,0.5,7.8,8/8/8/8/7,FIX-G600,tweedie,fixed_eq,600.0,3480/3480/3480/3480/3060,0.0,0/0/0/0/0,3480/3480/3480/3480/3060,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0,14.958311489671527,0.7398853821459264,0.7134486855327417,0.7611555915545563,45.835032316089226,42.99333908728793,49.30011908975975,0.3092691519984564,0.8377636490104725,0.7865480807442514,0.8623482284475084,6.7234898970127235,498.2089142948389,238.06104281917212,924.19569170475,-116.51813754682914,-92.12706696689129,-19.77760330274699,173.619734272897,498.2089142948389,3.037428681382034,8.29164664774188,0.00098366496962444,0.8303481904913982,600.0
primary,0,0.5,7.8,8/8/8/8/7,FIXSEL-G600,tweedie,fixed,600.0,1962.25/1962.25/1962.25/1962.25/1716.97,0.0,0/0/0/0/0,3480/3480/3480/3480/3060,0/0/0/0/0,410.3/410.3/410.3/410.3/408.1,15.144307233057967,0.7303659174743181,0.7042143184290467,0.7502825129467565,45.25194700683167,42.392594000838095,48.721835406610644,0.3248512195226972,0.8060460862415665,0.7647552370667188,0.8317551092724594,6.819072603702564,307.1761784404516,238.06104281917212,742.8627709895372,-110.13859459672331,-88.50703290104866,-15.449568764567351,201.46692919427898,307.1761784404516,2.7246942765747155,5.444337879211577,0.00350940683339232,0.7486961474998302,409.85292857142866
primary,0,0.5,7.8,8/8/8/8/7,CAP-G600,tweedie,capped,600.0,240/240/240/240/210,0.75,0/0/0/0/0,3480/3480/3480/3480/3060,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0,14.979922418743417,0.739203276752798,0.7123155372153481,0.7591412147192572,45.79519606341463,42.96114749628302,49.25009434619361,0.3114308709779553,0.8324333187165325,0.7831924170087403,0.8561286522723298,6.726454870373013,493.8965556323528,238.06104281917212,925.8329878635705,-115.30973392041786,-91.10272644907236,-16.974200706630928,174.20483028067642,493.8965556323528,3.0788205972467995,7.790876841841297,0.0016358392097714201,0.8231609260539213,600.0
primary,0,0.5,7.8,8/8/8/8/7,HYB-G600,tweedie,hybrid,600.0,240/240/240/240/210,0.0,32/32/32/32/28,3480/3480/3480/3480/3060,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0,14.921138781011203,0.741629056897178,0.7152213708874977,0.761850111691979,45.9433032161261,43.146861072458876,49.376940116593524,0.30928204823518807,0.8369775026070956,0.7838739120258171,0.8633878310397003,6.671989715516588,495.1400892771781,105.98489071428776,931.0673074275256,-115.99149179106273,-90.93807214200497,-19.39291715689002,181.83724304604524,495.1400892771781,2.83250778901012,8.293234053051341,0.0014607731990697599,0.8252334821286301,600.0
primary,0,0.5,7.8,8/8/8/8/7,SKIP-G600,tweedie,skip,600.0,-1/-1/-1/-1/-1,0.0,0/0/0/0/0,0/0/0/0/0,66/66/66/66/58,600.0/600.0/600.0/600.0/600.0,24.642304854989113,0.18422676921983117,0.13526631162604164,0.2322357022909543,11.452094005257322,8.393695227291657,14.91687486394767,0.6237047025638589,0.19576878896777977,0.16446830836054788,0.2529451078560365,11.230379735589036,100.18779575824738,63.4131475687027,488.74223972857,-10.742133559259562,1.8048291057348251,3.1256472897529606,9.51292745846507,38.70688247680664,1.1783551878310128,1.4929263868892286,0.3726311197737032,0.1669796595970789,600.0
primary,0,0.5,7.8,8/8/8/8/7,FIX-G1200,tweedie,fixed_eq,1200.0,8280/8280/8280/8280/7260,0.0,0/0/0/0/0,8280/8280/8280/8280/7260,0/0/0/0/0,1200.0/1200.0/1200.0/1200.0/1200.0,14.75413819596175,0.7501928123579372,0.7224282086088171,0.7738106462067503,46.46945861661264,43.645467198182956,49.870689518424584,0.2932026881830628,0.8690331794631151,0.803562855186245,0.8975583032112883,6.635477638095632,1073.294157937169,238.06104281917212,1249.6681568399072,-122.73163105920382,-96.73242220915854,-30.085277034342276,156.2418562479911,1073.294157937169,2.956093267845669,15.965202596559266,2.978521040029542e-05,0.8944117982809743,1200.0
primary,0,0.5,7.8,8/8/8/8/7,FIXSEL-G1200,tweedie,fixed,1200.0,4059.92/4059.92/4059.92/4059.92/3552.43,0.0,0/0/0/0/0,8280/8280/8280/8280/7260,0/0/0/0/0,672.5/672.5/672.5/672.5/670.3,14.876899609118746,0.743845370858304,0.7167308343784063,0.7654776063425663,46.07841041512368,43.23436728394901,49.53944295441394,0.30368045209593253,0.8483616732367858,0.7923538088649694,0.8745989853419677,6.696180188953886,565.6172080487013,238.06104281917212,1002.649136543274,-118.58633608933357,-93.51138651371002,-23.703563155457307,169.17563380864274,565.2290697097778,3.12601156351307,9.382718088407984,0.0005697116468712,0.8410789871205538,672.0614285714286
primary,0,0.5,7.8,8/8/8/8/7,CAP-G1200,tweedie,capped,1200.0,720/720/720/720/630,0.75,0/0/0/0/0,8280/8280/8280/8280/7260,0/0/0/0/0,1020.0/1020.0/1020.0/1020.0/1011.4,14.750082374066244,0.7506326634589506,0.7226033291865646,0.7738587547486563,46.497973643024785,43.671381004904866,49.89664983907996,0.2932674926252751,0.8686794731485689,0.8039489591480785,0.8967907502228084,6.621308831810955,1029.6724158227444,238.06104281917212,1207.389830082655,-122.55260906057927,-96.9981688514352,-30.787663029134205,159.7681412170526,1029.6724158227444,3.066112304363148,10.134696320452484,0.00015734384069080639,0.8580603465189537,1200.0
primary,0,0.5,7.8,8/8/8/8/7,HYB-G1200,tweedie,hybrid,1200.0,0/0/0/0/0,0.0,32/32/32/32/28,8280/8280/8280/8280/7260,0/0/0/0/0,1200.0/1200.0/1200.0/1200.0/1200.0,14.878663962632455,0.7438567152360493,0.7174558667966573,0.7642380919996157,46.080267034558936,43.373846683434834,49.40521705060793,0.3044774173265091,0.8472295541359476,0.787944863260069,0.8731994210315227,6.606524379283199,896.9473042823374,94.3116031587124,1180.0599816851318,-117.9056984877719,-93.77483948543667,-22.085612566173033,185.2746090256188,896.9473042823374,2.865816359845785,12.446812244598362,0.2201010699558663,0.8734879145765667,1200.0
primary,0,0.5,7.8,8/8/8/8/7,SKIP-G1200,tweedie,skip,1200.0,-1/-1/-1/-1/-1,0.0,0/0/0/0/0,0/0/0/0/0,146/146/146/146/128,1200.0/1200.0/1200.0/1200.0/1200.0,21.62572201192389,0.3659792713196558,0.2863320613955353,0.4320059908271601,22.71973039557576,17.41793478365973,27.982687198282072,0.5707586126364182,0.3035190818136936,0.26054523064733176,0.3831525016888902,9.323760036706929,102.2700557410717,67.66039101779461,490.7359895706177,-22.010044935473022,3.889348144829273,7.005315095782282,20.75570667824146,73.5569836050272,1.274193062958606,1.964158120622388,0.28804931495544006,0.085225046450893,1200.0
primary,0,0.5,7.8,8/8/8/8/7,SPJF-reversed,reversed,-,-1.0,-1/-1/-1/-1/-1,-1.0,-1/-1/-1/-1/-1,0/0/0/0/0,0/0/0/0/0,inf/inf/inf/inf/inf,42.722979891747435,-0.8623201550532208,-1.0382032421870688,-0.6398534742244859,-53.34139522861146,-62.955166419860255,-41.102863256128344,1.3340368535818727,-1.2562479730324185,-1.3636354295874413,-1.1871603770053458,21.059895635157908,1240.1265982985497,1240.1265982985497,996.654228657484,136.9028411504151,59.87553019076586,463.5988518664247,901.1594669985174,1217.567770048976,10.375257247107315,18.27201012021172,0.0,,inf
primary,0,0.5,7.8,8/8/8/8/7,CAP-G600-reversed,reversed,capped,600.0,240/240/240/240/210,0.75,0/0/0/0/0,3480/3480/3480/3480/3060,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0,43.39050572365532,-0.8984156139795061,-1.075481780734419,-0.6754948818762355,-55.57146746803751,-65.64482712338096,-43.019991295712984,1.2729093811959469,-1.1344182567384888,-1.249023648610618,-1.0722360636781498,21.297783582747,497.1222915947437,287.0838937908411,855.9517334401608,124.06681928767864,73.24838064163923,406.90598444253214,466.057320179522,497.1222915947437,6.456103210026615,7.668214766509788,0.13147552936095172,0.8285371526579062,600.0
primary,0,0.5,7.8,8/8/8/8/7,SPJF-random,random,-,-1.0,-1/-1/-1/-1/-1,-1.0,-1/-1/-1/-1/-1,0/0/0/0/0,0/0/0/0/0,inf/inf/inf/inf/inf,16.821821625381844,0.638543281570505,0.5879920952092681,0.703120875390111,39.58564992728272,35.117089435883905,46.19351741524183,0.5172183740630972,0.4145228229380985,0.38067655054148697,0.4390528474635461,7.662844836205251,1307.655590068549,1275.9909391850233,1379.1109325997531,-61.062517286351735,-74.2057710647583,88.23764486081902,604.0103393228128,1307.655590068549,7.082317094977114,19.300319384761213,0.0,,inf
primary,0,0.5,7.8,8/8/8/8/7,CAP-G600-random,random,capped,600.0,240/240/240/240/210,0.75,0/0/0/0/0,3480/3480/3480/3480/3060,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0,17.1230682587624,0.6221023267417557,0.5680556938093252,0.6894067090900581,38.56917919208694,33.99987111709122,45.373380005654745,0.5380422539229412,0.37286129408056135,0.3474989340982814,0.40483234457775813,7.815220662117011,489.93487402796745,323.9797538071871,944.0794643461704,-50.54733305186325,-69.68408676832914,139.05140961565084,451.5747628318071,489.93487402796745,5.303339807977277,8.008321545735635,0.02325362471255634,0.8165581233799457,600.0
primary,0,0.5,7.8,8/8/8/8/7,SPJF-top1short,top1short,-,-1.0,-1/-1/-1/-1/-1,-1.0,-1/-1/-1/-1/-1,0/0/0/0/0,0/0/0/0/0,inf/inf/inf/inf/inf,38.256118357479764,-0.5975227815431943,-0.7684600279630401,-0.3719274434831329,-36.954090306926496,-46.17820557588914,-24.182236315105786,1.136631097516938,-0.8566565339533243,-0.9069803323242013,-0.7924596194772121,16.69158033418658,1307.3153163194656,1238.543365880847,1172.7350834310057,105.0310718632725,33.89023316651583,422.0384109953794,821.5409683238862,1213.478106342256,9.442066016791584,17.416647867118822,0.0,,inf
primary,0,0.5,7.8,8/8/8/8/7,CAP-G600-top1short,top1short,capped,600.0,240/240/240/240/210,0.75,0/0/0/0/0,3480/3480/3480/3480/3060,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0,38.73741673603668,-0.6241704520918446,-0.8051094568635838,-0.39580553891734493,-38.60765334454701,-48.47885979924017,-25.632879093327617,1.1120098688729356,-0.8072767800434641,-0.8587875337723494,-0.7561910708521731,16.905286814957876,497.10946920514107,273.4238684028387,850.5178914964199,101.07867916523098,44.541460424661636,398.96842921912673,472.74007162070274,497.10946920514107,6.159390725274834,7.663873172936588,0.11419872858959179,0.8285157820085685,600.0
primary,1,0.8,5.0,5/5/5/5/5,FCFS,-,-,-1.0,-1/-1/-1/-1/-1,-1.0,-1/-1/-1/-1/-1,0/0/0/0/0,0/0/0/0/0,inf/inf/inf/inf/inf,119.35185892388252,0.0,0.0,0.0,0.0,0.0,0.0,4.160141228293902,0.0,0.0,0.0,84.51847814803577,0.0,0.0,1022.8811564445496,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,inf
primary,1,0.8,5.0,5/5/5/5/5,SJF-ref,svc,-,-1.0,-1/-1/-1/-1/-1,-1.0,-1/-1/-1/-1/-1,0/0/0/0/0,0/0/0/0/0,inf/inf/inf/inf/inf,33.552583387047086,1.0,1.0,1.0,71.77488851831069,66.98128540157963,75.05555531929286,0.9588075263635462,1.0,1.0,1.0,25.450072571128622,2667.424100443721,1242.3067464232445,3072.262211114168,-187.29318246972989,-109.40027161799371,-50.620657248497004,60.1462887792884,2667.424100443721,1.489055784475097,24.966091540629705,0.0,,inf
primary,1,0.8,5.0,5/5/5/5/5,SPJF-M4,M4,-,-1.0,-1/-1/-1/-1/-1,-1.0,-1/-1/-1/-1/-1,0/0/0/0/0,0/0/0/0/0,inf/inf/inf/inf/inf,44.39447505906233,0.8728131601236118,0.8508763041860739,0.8865171235824466,62.661520199675486,57.414155643315176,66.21293247313558,1.2507146498701185,0.9086714141899822,0.875479868831781,0.9255112993966901,30.14310768076779,3055.1175796054304,390.8840507119894,3346.7394046597183,-175.2855716085474,-102.8414264947176,-36.49296956472097,180.86598866969348,3055.1175796054304,2.334267247874632,37.19481759579361,0.0,,inf
primary,1,0.8,5.0,5/5/5/5/5,SPJF-M4refit,M4refit,-,-1.0,-1/-1/-1/-1/-1,-1.0,-1/-1/-1/-1/-1,0/0/0/0/0,0/0/0/0/0,inf/inf/inf/inf/inf,44.40678300067808,0.8726476427537708,0.8507545858879706,0.8864443606316673,62.65018845455883,57.38403805360452,66.18852566579166,1.250915058865387,0.9086058043781644,0.8752539784336645,0.9254190773810764,30.131006297707575,3055.1232972815637,390.47168654203415,3346.745122335851,-175.31678952131045,-102.86197330728173,-36.85712606042622,180.71911869758347,3055.1232972815637,2.344301880056524,37.19496838465529,0.0,,inf
primary,1,0.8,5.0,5/5/5/5/5,SPJF-tweedie,tweedie,-,-1.0,-1/-1/-1/-1/-1,-1.0,-1/-1/-1/-1/-1,0/0/0/0/0,0/0/0/0/0,inf/inf/inf/inf/inf,43.38931273520004,0.8846750091248878,0.861981667774171,0.8984638268455045,63.511167782216276,58.04359357062159,67.29817474433291,1.2297177248600337,0.9152527093477912,0.8840954979166578,0.9309422742204254,29.610184868328275,3044.4703496694565,469.25615863502026,3312.7707649096847,-176.0918225243497,-103.02732634954154,-38.215088437497606,160.159914285846,3044.4703496694565,2.299438392867475,46.15134699120932,0.0,,inf
primary,1,0.8,5.0,5/5/5/5/5,SPJF-tweedie_itr,tweedie_itr,-,-1.0,-1/-1/-1/-1/-1,-1.0,-1/-1/-1/-1/-1,0/0/0/0/0,0/0/0/0/0,inf/inf/inf/inf/inf,43.43895592689533,0.884221104402728,0.8612128615235101,0.8976130387794901,63.47644999645829,57.91864904396811,67.20875497254625,1.2316754569705757,0.914623305573679,0.8834426585781602,0.9298399106493179,29.602837060697397,2691.2412124574184,330.4254977107048,3131.8871370330453,-175.95508860011097,-103.14137024283409,-38.09743316173553,157.15920624113176,2691.2412124574184,2.272328538652533,40.95810286706629,0.0,,inf
primary,1,0.8,5.0,5/5/5/5/5,SPJF-r1s,r1s,-,-1.0,-1/-1/-1/-1/-1,-1.0,-1/-1/-1/-1/-1,0/0/0/0/0,0/0/0/0/0,inf/inf/inf/inf/inf,42.82420189231649,0.8913536942472206,0.870046020174409,0.903810591451507,63.98808573972067,58.503053507272895,67.73945451939503,1.2301993226415122,0.9150962431857778,0.889021618829891,0.9286030652317243,29.344964699029948,2657.6554315947,889.86887550354,3098.1726822406054,-175.7479511637735,-103.37295522727072,-39.207544875144954,168.7990375688672,2657.6554315947,2.258483509875885,25.534508683772877,0.0,,inf
primary,1,0.8,5.0,5/5/5/5/5,FIX-G300,tweedie,fixed_eq,300.0,720/720/720/720/720,0.0,0/0/0/0/0,720/720/720/720/720,0/0/0/0/0,300.0/300.0/300.0/300.0/300.0,53.97091666623959,0.7613722422467205,0.719809305787471,0.7837941178695216,54.660387563109985,50.789177864682,56.49665311173085,2.0547423555257547,0.6577812089229425,0.6257933806154242,0.7113944155738022,34.75124077742548,214.12334376573563,186.3497669696808,1166.8650972545147,-116.4484227565957,-82.59974416941404,56.08260634042333,150.8961773326993,209.71947367489335,2.204835074426355,4.163232837284472,0.1092242480828834,0.7137444792191188,300.0
primary,1,0.8,5.0,5/5/5/5/5,FIXSEL-G300,tweedie,fixed,300.0,412.089/412.089/412.089/412.089/412.089,0.0,0/0/0/0/0,720/720/720/720/720,0/0/0/0/0,238.4/238.4/238.4/238.4/238.4,64.65082363054209,0.6372634576491574,0.5397793891742109,0.6976418155859511,45.743251333902656,39.69418535526073,48.53907010128328,2.3717221249146108,0.5588079496086948,0.5230574403449966,0.617093255653665,37.900604909896856,171.631357178092,152.33310189843178,1105.3318807929754,-93.95243527060195,-71.0167913928628,82.56305616512894,94.63411353369055,171.631357178092,1.9539615975209277,3.213771414759253,0.20783949040212066,0.7198765913112259,238.41775000000007
