[    1s] level 0 k=8: FCFS p99dl 29.321, SJF-ref 12.574
[    6s]   G300 fix B0=1080 eta=0: gap 0.7008 harm 145.7 viol 0
[   11s]   G300 cap B0=30 eta=0: gap 0.3621 harm 59.8 viol 0
[   15s]   G300 cap B0=30 eta=0.25: gap 0.5532 harm 96.4 viol 0
[   20s]   G300 cap B0=30 eta=0.5: gap 0.6511 harm 97.3 viol 0
[   25s]   G300 cap B0=30 eta=0.75: gap 0.6970 harm 99.1 viol 0
[   36s]   G300 cap B0=30 eta=0.9: gap 0.7007 harm 102.8 viol 0
[   41s]   G300 cap B0=120 eta=0: gap 0.5798 harm 96.3 viol 0
[   45s]   G300 cap B0=120 eta=0.25: gap 0.6455 harm 96.4 viol 0
[   50s]   G300 cap B0=120 eta=0.5: gap 0.7060 harm 99.1 viol 0
[   54s]   G300 cap B0=120 eta=0.75: gap 0.7008 harm 145.7 viol 0
[   59s]   G300 cap B0=120 eta=0.9: gap 0.7008 harm 145.7 viol 0
[   64s]   G300 cap B0=600 eta=0: gap 0.7008 harm 145.7 viol 0
[   69s]   G300 cap B0=600 eta=0.25: gap 0.7008 harm 145.7 viol 0
[   73s]   G300 cap B0=600 eta=0.5: gap 0.7008 harm 145.7 viol 0
[   78s]   G300 cap B0=600 eta=0.75: gap 0.7008 harm 145.7 viol 0
[   83s]   G300 cap B0=600 eta=0.9: gap 0.7008 harm 145.7 viol 0
[   87s]   G600 fix B0=3480 eta=0: gap 0.7238 harm 165.9 viol 0
[   92s]   G600 cap B0=30 eta=0: gap 0.3621 harm 59.8 viol 0
[   97s]   G600 cap B0=30 eta=0.25: gap 0.5533 harm 96.4 viol 0
[  102s]   G600 cap B0=30 eta=0.5: gap 0.6576 harm 97.3 viol 0
[  107s]   G600 cap B0=30 eta=0.75: gap 0.7172 harm 99.1 viol 0
[  112s]   G600 cap B0=30 eta=0.9: gap 0.7210 harm 102.8 viol 0
[  118s]   G600 cap B0=120 eta=0: gap 0.5798 harm 96.3 viol 0
[  122s]   G600 cap B0=120 eta=0.25: gap 0.6456 harm 96.4 viol 0
[  127s]   G600 cap B0=120 eta=0.5: gap 0.7129 harm 99.1 viol 0
[  132s]   G600 cap B0=120 eta=0.75: gap 0.7216 harm 145.8 viol 0
[  136s]   G600 cap B0=120 eta=0.9: gap 0.7238 harm 165.9 viol 0
