group,pair,dRMSE,dRMSE_lo,dRMSE_hi,dSpear,dSpear_lo,dSpear_hi,dAUROC,dAUROC_lo,dAUROC_hi,dAUPRC,dAUPRC_lo,dAUPRC_hi
all,G1-G2,0.00011458365499111833,-0.001166650237788639,0.0013169325776232381,0.006282064283729257,0.0014232177390137712,0.011067348471173974,0.0018966982839104067,-3.007956390034908e-05,0.004244989708790422,0.004027242042746515,-0.004077109500776154,0.011145861679559376
all,G1-G0,-0.0005077020897325905,-0.0013385393194825053,0.000394416227306656,0.004648397619480789,-0.0017783088006117446,0.010566609790188596,-0.00012666769358526953,-0.0019062847599723735,0.0018120775374647587,0.005681659325532644,-0.0021825183187804283,0.013728439722756221
all,G0-G0U,-0.001499919190807895,-0.0032263595108458624,0.00038047275022975844,0.003649661828133255,-0.004500794898818784,0.01149252183064622,-0.0022748576631578623,-0.00454193584685029,-0.0002811426818329211,-0.005364785468288484,-0.017713133767903236,0.0047289370184970285
all,G0U-N0,-0.0046350982535636465,-0.00663793168259022,-0.0026918176529836003,0.04299254421427238,0.03442820338915232,0.05232263505112746,0.013927838047531504,0.009001179445524993,0.01947653856409702,0.015288880467930052,-0.0010075034141365587,0.03225536234817484
all,G1-M5,-0.011023692443274094,-0.014192526261688761,-0.007893079826713492,-0.015188807453253128,-0.027353760671834013,-0.003088226783863647,0.0021829734427989043,-0.003809560684891823,0.008390646894081784,0.022808099872320742,0.000259534316053967,0.04637226718656473
all,G1-M4,-0.012213689883331222,-0.015672571838788694,-0.008701216748100055,0.017162132259896618,0.005547689570074952,0.028869646135070398,0.004095794472116943,-0.0016981001008104216,0.010218967746711324,0.03281887602727466,0.012877644437417558,0.05446502385440924
all,G0-M4,-0.011705987793598632,-0.015023122081876821,-0.008456755263462477,0.01251373464041583,0.00272412984120084,0.022692576340906285,0.004222462165702212,-0.0012714464065758776,0.010038191610139073,0.027137216701742017,0.006113486580948405,0.05087417158866733
all,N0-M4,-0.0055709703492270906,-0.008841690130006442,-0.0024820530824511268,-0.0341284714019898,-0.044421057396411286,-0.023901043744392798,-0.00743051821867143,-0.015414887491315714,0.000774278239678876,0.01721312170210045,-0.003809496072954504,0.04183904398044971
all,G3-M4,-0.002838743987891107,-0.005855378676974577,0.0001540079547771519,0.0005483354079742764,-0.006645037864951911,0.00807824672761967,0.001205032505923298,-0.002181884469004125,0.004304820468025604,-0.03051485104744304,-0.052632641106050086,-0.00515731768328119
all,R1-M4,-0.012332665720358515,-0.01599602136110956,-0.00879881691964819,0.0014321808772874884,-0.008198910222957146,0.011199335088126428,-0.004389305580858223,-0.01498930504695453,0.005937715838636187,0.03456199355259606,0.010729791409492673,0.057430506194388636
all,R1S-M4,-0.010521072713609489,-0.013314792266423181,-0.007861691489616615,0.01667708783913215,0.010389818812875654,0.02359220536685187,0.00825165967078371,0.003819161736561298,0.013108716788291268,0.02576463238195864,0.00913613470377529,0.040578554445394946
all,R1-N0,-0.006761695371131425,-0.008215661696965009,-0.005209727265415388,0.035560652279277294,0.028771949867867436,0.042544285168745644,0.0030412126378132065,-0.001969335100631841,0.007895038498830798,0.017348871850495606,0.001784092520608946,0.031167030312885046
all,M5-M4,-0.0011899974400571278,-0.002800062548444346,0.0004475998471365824,0.03235093971314975,0.024700129165958963,0.04039128568165093,0.0019128210293180385,-0.00016537125757919526,0.003970004651049136,0.010010776154953918,-0.001787103526637386,0.02141352142357789
all,G0U-M4,-0.010206068602790738,-0.013203339578163527,-0.007315546512638914,0.008864072812282575,-0.00043187868667902187,0.018382677750578526,0.006497319828860075,0.0013067342986356441,0.012173882495721045,0.0325020021700305,0.012154209452852628,0.05638584732977043
all,G1-G0U,-0.0020076212805404856,-0.004107740644674003,0.00021576233455752,0.008298059447614045,-0.0003136910727133221,0.016135604382326814,-0.002401525356743132,-0.00505181654236577,0.0001957703659815609,0.00031687385724415984,-0.014976388982971954,0.011669601219309005
all,G2-G0U,-0.002122204935531604,-0.00361382314446,-0.00026927647321248454,0.0020159951638847873,-0.00668880605322841,0.009997114858171141,-0.004298223640653538,-0.007445036302837758,-0.0017738035865992468,-0.003710368185502355,-0.018382080636877657,0.008208459749499752
