group,pair,dRMSE,dRMSE_lo,dRMSE_hi,dSpear,dSpear_lo,dSpear_hi,dAUROC,dAUROC_lo,dAUROC_hi,dAUPRC,dAUPRC_lo,dAUPRC_hi
all,G1-G2,-0.00024145898383171974,-0.000833486411249204,0.0004292063491173098,-0.01245239139401468,-0.017264301636376305,-0.007718867023739873,-0.0003344042539115133,-0.0015452192974481037,0.0008734923719466164,-0.0004597596379112649,-0.008525341489661867,0.007089151205950718
all,G1-G0,-4.696706909724605e-05,-0.0008151148967020905,0.0007541055516416788,-0.01910600558464794,-0.024736336666959406,-0.01341184677916223,-0.0009085591319970554,-0.002300138590554841,0.00043383693169510653,-0.005385806740133854,-0.014907687747333578,0.0035540250282063623
all,G1-M5,0.0016336938802792023,-0.0012341132732186645,0.004419605320166135,-0.03890160115403396,-0.04845851615213072,-0.028883108518541905,-0.0027450092620157815,-0.007590743270271803,0.0019917515028048034,0.034681303614124685,0.013962078878517328,0.05822421159034124
all,G1-M4,0.001196653400073272,-0.0010713463852944811,0.0034934675552693822,-0.032274947251441456,-0.042775075486346306,-0.020620530015681225,-0.000591990183053189,-0.005446953355836755,0.004518595462786817,0.019012329518442467,-0.0027840293285931197,0.040490173243127515
all,G0-M4,0.0012436204691705182,-0.0012114313846343133,0.0036762959838821984,-0.013168941666793518,-0.021468398584994906,-0.004170885787575398,0.0003165689489438665,-0.0045783883998534594,0.00565933507112925,0.024398136258576324,0.0009711154558454949,0.04868895328041372
all,N0-M4,0.003932303701456946,0.0006677491929515942,0.007248129447645508,-0.04726749415641627,-0.0563949325610807,-0.038498559029621585,-0.010439539365295217,-0.017905777402819532,-0.0027960295834734273,0.007263033200656373,-0.019865434865948307,0.03245035980461537
all,G3-M4,8.717802774377281e-05,-0.0016039774497332334,0.0017984978873190195,0.0009484055330381547,-0.006213731753630529,0.009207535984489534,0.0005669497851617337,-0.0026723599057932117,0.003590017883142527,-0.0019022428663305797,-0.021920032089983194,0.017482412284278985
all,R1-M4,-0.0003489667419126578,-0.0036376179389805323,0.002843019928336303,-0.0170467614937882,-0.024169646227022553,-0.009255991779757005,0.0013680110907208591,-0.0057640820105866524,0.008974969859755327,0.0403328489895769,0.01512774203252804,0.06462984187007452
all,R1S-M4,-0.0035365693428468423,-0.0056305701786169325,-0.0016423931721607228,0.00974250685292355,0.0026972010412607854,0.01825491135475797,0.006952351532503176,0.0034319778692921067,0.010826704632728478,0.016943919788304136,-0.006281831767216003,0.03709493920236994
all,R1-N0,-0.004281270443369604,-0.005829034312178311,-0.002783997876490528,0.030220732662628074,0.023122960431259727,0.03770424093667185,0.011807550456016077,0.007855499844231699,0.01569066401650871,0.03306981578892052,0.02036791439826992,0.04611063600785195
all,M5-M4,-0.0004370404802059302,-0.0019444979940582946,0.001094694166820129,0.006626653902592501,0.0025253272968633373,0.010575423892122156,0.0021530190789625925,0.0003487313776186006,0.00422088134728098,-0.015668974095682214,-0.0353684836896755,0.001549679459121208
