target,model,n_train,n_target,epochs,valid,rmse,spearman,sec
2020-ERE,G1,364120,147380,13,0.1367400288581848,0.2042,0.4053,11
2020-ERE,R1,364120,147380,20,0.1363581418991089,0.2033,0.454,16
2020-2,G1,547353,49550,7,0.052224300801754,0.2267,0.511,8
2020-2,R1,547353,49550,14,0.0506224781274795,0.2234,0.5112,19
2021-1,G1,591948,57080,9,0.0764393359422683,0.2056,0.468,16
2021-1,R1,591948,57080,26,0.0752521976828575,0.2048,0.4775,39
2021-2,G1,643320,55957,9,0.06432726979255676,0.2075,0.4986,14
2021-2,R1,643320,55957,18,0.06380252540111542,0.2054,0.4995,25
2022-1,G1,693682,51547,10,0.08147099614143372,0.2172,0.4708,17
2022-1,R1,693682,51547,21,0.07947421073913574,0.2252,0.4454,32
2022-2,G1,740074,40844,9,0.08582894504070282,0.2398,0.3418,18
2022-2,R1,740074,40844,10,0.08524703979492188,0.2356,0.342,16
