model,group,n,rmse,rmse_sd,spearman,spearman_sd,auroc,auroc_sd,auprc,auprc_sd
G0,all,40844,0.24018035247752612,0.0012497720764583784,0.32443077860624464,0.00915170388462968,0.9325493374523631,0.001077323883874092,0.3161879198300593,0.00711901424605091
G0,cold_ex,1092,0.32284303816595566,0.003503836088271905,0.4325260980262881,0.0030979938600560124,0.8658802306608697,0.0042605595085414725,0.2874958152439588,0.0003593364648700976
G0,cold_user,579,0.03351234522717667,0.003987658838095593,-0.0007385630073254465,0.009814364347204315,,,,
G0U,all,40844,0.24168027166833403,0.001138893349276528,0.32078111677811144,0.006995065088244425,0.934824195115521,0.0007586417332437678,0.32155270529834773,0.0033551609808994826
G0U,cold_ex,1092,0.31501510502247415,0.0010796832355791759,0.47315268928946347,0.004344141110171126,0.8734202872112938,0.0051412311349881504,0.2946931636121302,0.006212403933876892
G0U,cold_user,579,0.029513956115500218,0.00452491371194009,0.02291000213215648,0.003693837677695322,,,,
G1,all,40844,0.23967265038779353,0.0007843845570261881,0.32907917622572547,0.0022908271695781727,0.9324226697587777,0.00226928868341208,0.3218695791555919,0.0012554627694653406
G1,cold_ex,1092,0.31751480097393553,0.001969448784170137,0.47763290983703294,0.023272492453650907,0.8657180789070972,0.001793603365500441,0.29236037533881043,0.007940958956053195
G1,cold_user,579,0.03391500680516964,0.006693847687358807,0.0011671168738788295,0.005388369017434102,,,,
G2,all,40844,0.23955806673280242,0.0007288528901649993,0.3227971119419962,0.009605736808157591,0.9305259714748675,0.0006275597721624372,0.3178423371128454,0.004215084830069681
G2,cold_ex,1092,0.319848457339225,0.0018772944535436547,0.44939566999732117,0.012131585411672774,0.8711197592046456,0.0062429083282384175,0.3098790527402866,0.014634801330489038
G2,cold_user,579,0.02818593708373866,0.006450611812076296,0.022822317559554366,0.0407731012095832,,,,
G3,all,40844,0.24904759628323367,0.004199402610654916,0.3124653793738031,0.028682004859831325,0.9295319077925841,0.0019572946932100888,0.2585358520808742,0.03173553458749045
G3,cold_ex,1092,0.31720268299675775,0.0027083005295781034,0.43330122537976995,0.01842056241786916,0.864876916684402,0.0093084344654863,0.3036688441348389,0.0162049229815956
G3,cold_user,579,0.053658304953280424,0.0054601075198816365,0.0764597042897998,0.013003115081300368,,,,
M0,all,40844,0.2828346086769857,0.0,,,0.5,0.0,0.013123102536480266,0.0
M0,cold_ex,1092,0.35544849934271466,0.0,,,0.5,0.0,0.028388278388278388,0.0
M0,cold_user,579,0.1420043303069655,0.0,,,,,,
M1,all,40844,0.2999998223176308,0.0015771167441031404,0.21848067842905747,0.014196863847676879,0.7959539823829153,0.014906592588080494,0.052722888282698076,0.006439227226330942
M1,cold_ex,1092,0.33398830039443106,0.003368954324370745,0.3922330408217842,0.004431613496003766,0.6593850394738175,0.01439298954954988,0.1653762190030239,0.006368561512143754
M1,cold_user,579,0.09380993155530405,0.02136286506312425,0.011351521053293434,0.011159637847751463,,,,
M2,all,40844,0.2605479975570095,0.0014589751831069447,0.30145735680679014,0.0012756685590472473,0.8590664229956696,0.004600379865898023,0.24217624241392363,0.0008329566368816907
M2,cold_ex,1092,0.3311501381498174,0.0036532173193298155,0.2987322121056844,0.014074274456380993,0.7889493579804,0.016535479254085904,0.2339418617489127,0.03167037276057503
M2,cold_user,579,0.039235643959628086,0.0019591737622096216,0.09710207488535315,0.006228056087112218,,,,
M3,all,40844,0.2891759698749852,0.0011027649149868656,0.2894950103183446,0.002444347320728425,0.8631728245371337,0.002536494764006277,0.0824357194280881,0.0017998387018277006
