model,group,n,rmse,rmse_sd,spearman,spearman_sd,auroc,auroc_sd,auprc,auprc_sd
G0,all,40844,0.23799174288260452,0.000856874285290769,0.34501791899040185,0.015294880508222612,0.9339380921136108,0.0033890988465279893,0.32222342693809747,0.008378054276676771
G0,cold_ex,1092,0.3143890798448466,0.00028576166222837434,0.4622110007857218,0.026910533028633672,0.8688192311979974,0.008181573882797496,0.28969221762690806,0.016779023086384827
G0,cold_user,579,0.0331299362694239,0.004954905028808904,-0.03164139562041072,0.01693140934188597,,,,
G1,all,40844,0.2379447758135073,0.0005888013395431214,0.32591191340575393,0.002872461826593007,0.9330295329816138,0.004419127811544556,0.31683762019796363,0.008528195799544827
G1,cold_ex,1092,0.31462270530766623,0.0010213356702846014,0.4751562532077475,0.02563802230484265,0.8609447366554174,0.019467936071724767,0.30595333126193364,0.024433582721783333
G1,cold_user,579,0.03040308356510953,0.0035793902794515877,-0.03382636959663215,0.046494003106186454,,,,
G2,all,40844,0.23818623479733902,0.00037223317394492246,0.3383643047997686,0.008375290307394515,0.9333639372355252,0.004206067104075359,0.3172973798358749,0.007017249615985999
G2,cold_ex,1092,0.3151576444648811,0.0008478940798702547,0.4583971565295051,0.020794870990997704,0.8727919491654252,0.005881686774336132,0.2918805874140718,0.020465871192856328
G2,cold_user,579,0.030983573183736835,0.0038552871994694273,0.0011038930435933294,0.005440995291045404,,,,
G3,all,40844,0.23683530044117782,0.0005374762767646951,0.35913526619023345,0.010601043296997159,0.9341884729498285,0.0014934627634049522,0.2959230478131906,0.02962088648315201
G3,cold_ex,1092,0.3153291164090651,0.0036907104999646767,0.44376210343243655,0.017081881230496317,0.8457024718007965,0.015794118747562078,0.2615684174707293,0.025111623695014428
G3,cold_user,579,0.02264281633572458,0.0014351964404867093,0.03655949596703785,0.030382140577072225,,,,
M0,all,40844,0.2735281048133037,0.0,,,0.5,0.0,0.013123102536480266,0.0
M0,cold_ex,1092,0.3534121029430264,0.0,,,0.5,0.0,0.028388278388278388,0.0
M0,cold_user,579,0.10061106649168088,0.0,,,,,,
M1,all,40844,0.26626550519903214,0.0016808297694233618,0.30785403886468554,0.000546811719975854,0.8735034543714887,0.0010612914693105937,0.08111411257041444,0.003712817096491282
M1,cold_ex,1092,0.33535946072068307,0.0038758380017714063,0.3976239054400443,0.0028712137257991084,0.6641077093024434,0.021178420247916562,0.18021036719484881,0.01669008820648024
M1,cold_user,579,0.022634562350919596,0.0002961854237488049,-0.08423811236491856,0.012871616978306084,,,,
