target,score,n,ratio_sum,mean_pred,mean_true,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9
2020-ERE,log,147380,1.0149,0.3861,0.3804,0.174/0.209,0.185/0.210,0.206/0.213,0.240/0.252,0.285/0.264,0.330/0.291,0.371/0.355,0.424/0.383,0.505/0.410,1.140/1.217
2020-ERE,l2raw,147380,2.0492,0.7795,0.3804,0.114/0.231,0.197/0.212,0.207/0.215,0.220/0.218,0.246/0.245,0.320/0.278,0.415/0.288,0.596/0.352,1.112/0.470,4.370/1.296
2020-ERE,tweedie,147380,1.1034,0.4197,0.3804,0.159/0.222,0.177/0.209,0.182/0.210,0.191/0.211,0.207/0.214,0.255/0.240,0.326/0.323,0.400/0.368,0.548/0.477,1.752/1.331
2020-ERE,gamma,147380,0.9735,0.3703,0.3804,0.142/0.228,0.167/0.210,0.170/0.209,0.173/0.211,0.182/0.214,0.209/0.234,0.287/0.332,0.378/0.386,0.478/0.460,1.517/1.319
2020-ERE,hurdle,147380,1.5424,0.5867,0.3804,0.165/0.213,0.172/0.210,0.174/0.210,0.176/0.212,0.181/0.211,0.207/0.218,0.333/0.308,0.457/0.399,0.795/0.482,3.206/1.342
2020-ERE,logvar,147380,1.433,0.5451,0.3804,0.176/0.208,0.189/0.212,0.213/0.209,0.263/0.221,0.322/0.233,0.372/0.317,0.426/0.305,0.508/0.332,0.688/0.454,2.295/1.313
2020-2,log,49550,0.648,0.2839,0.4381,0.193/0.216,0.202/0.202,0.203/0.203,0.204/0.204,0.206/0.204,0.208/0.207,0.231/0.310,0.334/0.550,0.392/0.436,0.666/1.847
2020-2,l2raw,49550,0.8894,0.3897,0.4381,0.158/0.285,0.179/0.204,0.182/0.204,0.191/0.206,0.204/0.206,0.211/0.206,0.268/0.326,0.345/0.390,0.505/0.512,1.655/1.840
2020-2,tweedie,49550,0.8062,0.3532,0.4381,0.193/0.202,0.202/0.203,0.204/0.204,0.205/0.204,0.207/0.204,0.210/0.206,0.259/0.308,0.370/0.442,0.418/0.440,1.265/1.968
2020-2,gamma,49550,0.789,0.3457,0.4381,0.190/0.244,0.202/0.201,0.204/0.202,0.205/0.204,0.206/0.205,0.208/0.209,0.237/0.274,0.357/0.424,0.404/0.442,1.244/1.978
2020-2,hurdle,49550,0.871,0.3816,0.4381,0.198/0.199,0.202/0.200,0.203/0.202,0.205/0.204,0.207/0.205,0.210/0.208,0.268/0.288,0.390/0.408,0.431/0.461,1.502/2.007
2020-2,logvar,49550,0.8078,0.3539,0.4381,0.194/0.201,0.202/0.202,0.204/0.203,0.205/0.204,0.206/0.205,0.209/0.206,0.263/0.303,0.374/0.406,0.407/0.459,1.274/1.993
2021-1,log,57080,0.7272,0.2803,0.3854,0.194/0.220,0.200/0.201,0.202/0.202,0.203/0.208,0.204/0.204,0.206/0.206,0.224/0.283,0.318/0.550,0.394/0.454,0.660/1.325
