target,score,alpha,coverage,med_pred,true_q
2020-ERE,q50,0.5,0.1622,0.1688,0.217
2020-ERE,q90,0.9,0.9018,0.3012,0.4175
2020-ERE,q99,0.99,0.9825,0.5384,1.035
2020-2,q50,0.5,0.5,0.1995,0.2113
2020-2,q90,0.9,0.8994,0.2412,0.4144
2020-2,q99,0.99,0.9882,0.2721,2.0769
2021-1,q50,0.5,0.4931,0.199,0.2091
2021-1,q90,0.9,0.8936,0.2396,0.4154
2021-1,q99,0.99,0.9872,0.2655,0.9025
2021-2,q50,0.5,0.4955,0.2034,0.2148
2021-2,q90,0.9,0.9012,0.2442,0.4231
2021-2,q99,0.99,0.9869,0.2855,1.5396
2022-1,q50,0.5,0.2608,0.181,0.2086
2022-1,q90,0.9,0.8947,0.2371,0.428
2022-1,q99,0.99,0.9938,0.3635,3.0132
2022-2,q50,0.5,0.4129,0.198,0.211
2022-2,q90,0.9,0.8633,0.2397,0.4114
2022-2,q99,0.99,0.9832,0.4585,2.806
