target,score,spearman,auroc_heavy,top_slice_pct,work_share_top,heavy_recall_top
2020-ERE,log,0.3412,0.8931,0.82,0.1569,0.4157
2020-ERE,l2raw,0.2729,0.9159,0.82,0.126,0.3041
2020-ERE,tweedie,0.3635,0.921,0.82,0.165,0.4066
2020-ERE,gamma,0.3883,0.9118,0.82,0.1686,0.4314
2020-ERE,hurdle,0.3364,0.9381,0.82,0.1511,0.376
2020-ERE,q50,0.4399,0.8178,0.82,0.157,0.4413
2020-ERE,q90,0.3412,0.8787,0.82,0.1652,0.4124
2020-ERE,q99,0.296,0.93,0.82,0.0897,0.2116
2020-ERE,phv,0.3004,0.9505,0.82,0.1568,0.4397
2020-ERE,logvar,0.2989,0.9304,0.82,0.1595,0.3917
2020-2,log,0.52,0.9325,1.06,0.2267,0.5142
2020-2,l2raw,0.3786,0.9266,1.06,0.2183,0.4668
2020-2,tweedie,0.4617,0.9551,1.06,0.2407,0.5351
2020-2,gamma,0.4972,0.9454,1.06,0.2433,0.5446
2020-2,hurdle,0.4875,0.9659,1.06,0.244,0.5313
2020-2,q50,0.5835,0.8049,1.06,0.2236,0.5142
2020-2,q90,0.561,0.8846,1.06,0.2374,0.5256
2020-2,q99,0.4008,0.9582,1.06,0.2269,0.4839
2020-2,phv,0.3707,0.9724,1.06,0.2387,0.5351
2020-2,logvar,0.4845,0.9596,1.06,0.2414,0.5332
2021-1,log,0.4842,0.9161,0.81,0.1398,0.4026
2021-1,l2raw,0.3656,0.9414,0.81,0.1427,0.3918
2021-1,tweedie,0.4497,0.9422,0.81,0.1491,0.4069
2021-1,gamma,0.4833,0.9153,0.81,0.1512,0.4113
2021-1,hurdle,0.4693,0.9457,0.81,0.1419,0.3896
2021-1,q50,0.5579,0.7992,0.81,0.1323,0.3874
2021-1,q90,0.5309,0.8394,0.81,0.1456,0.3939
2021-1,q99,0.3933,0.9502,0.81,0.1378,0.3701
2021-1,phv,0.3634,0.9582,0.81,0.1325,0.3766
2021-1,logvar,0.4561,0.9402,0.81,0.153,0.4113
2021-2,log,0.5171,0.9266,0.99,0.1762,0.4227
2021-2,l2raw,0.3777,0.9336,0.99,0.177,0.3957
2021-2,tweedie,0.472,0.9473,0.99,0.1794,0.4263
2021-2,gamma,0.5005,0.93,0.99,0.1814,0.4299
2021-2,hurdle,0.4791,0.9516,0.99,0.1779,0.4083
2021-2,q50,0.5691,0.8426,0.99,0.1581,0.3903
2021-2,q90,0.537,0.8805,0.99,0.1744,0.4119
2021-2,q99,0.412,0.9347,0.99,0.1765,0.3777
2021-2,phv,0.398,0.9606,0.99,0.1691,0.3993
2021-2,logvar,0.4853,0.9446,0.99,0.1797,0.4245
2022-1,log,0.478,0.9307,1.63,0.2023,0.4398
2022-1,l2raw,0.3851,0.9201,1.63,0.1951,0.3075
2022-1,tweedie,0.4286,0.9429,1.63,0.2199,0.4148
2022-1,gamma,0.446,0.9255,1.63,0.2182,0.435
2022-1,hurdle,0.4269,0.9399,1.63,0.2121,0.3564
2022-1,q50,0.5041,0.8671,1.63,0.1888,0.4279
2022-1,q90,0.4928,0.8734,1.63,0.2068,0.4076
2022-1,q99,0.3832,0.9064,1.63,0.2062,0.3075
2022-1,phv,0.3948,0.9497,1.63,0.2027,0.4422
2022-1,logvar,0.445,0.9433,1.63,0.2073,0.4207
2022-2,log,0.3602,0.9183,1.31,0.2006,0.3974
2022-2,l2raw,0.2661,0.9196,1.31,0.2045,0.3937
2022-2,tweedie,0.3182,0.9371,1.31,0.218,0.416
2022-2,gamma,0.3334,0.9261,1.31,0.2138,0.4104
2022-2,hurdle,0.3424,0.9385,1.31,0.2059,0.3918
2022-2,q50,0.4252,0.7701,1.31,0.1706,0.3284
2022-2,q90,0.4014,0.8631,1.31,0.2066,0.3993
2022-2,q99,0.2588,0.9312,1.31,0.2029,0.3881
2022-2,phv,0.2547,0.9445,1.31,0.2046,0.3937
2022-2,logvar,0.3391,0.9343,1.31,0.2136,0.4179
