trace,reps,rho,metric,policy,k,wait,gain,lo,hi,fcfs_minus_sjf
primary,"0,1,2,3,4",0.5,p99dl,FCFS,7.8,27.64457209587104,0.0,0.0,0.0,17.05702342748645
primary,"0,1,2,3,4",0.5,p99dl,SJF-ref,7.8,10.587548668384589,1.0,1.0,1.0,17.05702342748645
primary,"0,1,2,3,4",0.5,p99dl,SPJF-M4,7.8,14.727770876139449,0.7528488667222545,0.721324028075664,0.7761070372429358,17.05702342748645
primary,"0,1,2,3,4",0.5,p99dl,SPJF-tweedie,7.8,14.725104676485111,0.7515004250616844,0.7229423045631915,0.7753327475054452,17.05702342748645
primary,"0,1,2,3,4",0.5,p99dl,SPJF-M4refit,7.8,14.723947255760493,0.7533956899209809,0.72169304898799,0.7759815576016349,17.05702342748645
primary,"0,1,2,3,4",0.5,p99dl,SPJF-l2raw,7.8,15.271715863943209,0.7197215757517519,0.6886146211841477,0.745443265642441,17.05702342748645
primary,"0,1,2,3,4",0.5,p99dl,SPJF-gamma,7.8,14.764731425047035,0.7484043699193942,0.7159927347920153,0.7739238273249155,17.05702342748645
primary,"0,1,2,3,4",0.5,p99dl,SPJF-hurdle,7.8,14.920347470343184,0.7404000906678313,0.7093688800980562,0.7653186168220718,17.05702342748645
primary,"0,1,2,3,4",0.5,p99dl,SPJF-q50,7.8,15.529013609141213,0.7071402876795762,0.6763234485450406,0.7328962237309005,17.05702342748645
primary,"0,1,2,3,4",0.5,p99dl,SPJF-q90,7.8,15.558893208354846,0.7024053560833572,0.6657044127723964,0.7344330743397303,17.05702342748645
primary,"0,1,2,3,4",0.5,p99dl,SPJF-q99,7.8,15.171334545612487,0.7244848219305798,0.7004280379737567,0.7454316557172568,17.05702342748645
primary,"0,1,2,3,4",0.5,p99dl,SPJF-phv,7.8,14.796431332826694,0.7476316273995802,0.7171281764226765,0.7705062003683781,17.05702342748645
primary,"0,1,2,3,4",0.5,p99dl,SPJF-logvar,7.8,14.865289866924357,0.7435318501681797,0.7153894629956764,0.7657972216153492,17.05702342748645
primary,"0,1,2,3,4",0.5,mean,FCFS,7.8,0.718913425317915,0.0,0.0,0.0,0.4907656591208937
primary,"0,1,2,3,4",0.5,mean,SJF-ref,7.8,0.22814776619702135,1.0,1.0,1.0,0.4907656591208937
primary,"0,1,2,3,4",0.5,mean,SPJF-M4,7.8,0.29508347505108284,0.8652440851543007,0.7958063100896474,0.8954616260882704,0.4907656591208937
primary,"0,1,2,3,4",0.5,mean,SPJF-tweedie,7.8,0.2922781765343986,0.8705374234981601,0.8049814673460008,0.8987765760843394,0.4907656591208937
primary,"0,1,2,3,4",0.5,mean,SPJF-M4refit,7.8,0.295380416446663,0.8647390427028718,0.79552344585258,0.8943889102307236,0.4907656591208937
primary,"0,1,2,3,4",0.5,mean,SPJF-l2raw,7.8,0.3004996134850566,0.85379899989887,0.7818736949350111,0.8859285323710007,0.4907656591208937
primary,"0,1,2,3,4",0.5,mean,SPJF-gamma,7.8,0.2927436714982033,0.8694987624903471,0.8065247861975655,0.8970847362444748,0.4907656591208937
primary,"0,1,2,3,4",0.5,mean,SPJF-hurdle,7.8,0.293402280765844,0.8678407885232549,0.8054295795642433,0.8956646215251474,0.4907656591208937
primary,"0,1,2,3,4",0.5,mean,SPJF-q50,7.8,0.3015664188167292,0.8522979168634179,0.7845547218082985,0.8823048911180756,0.4907656591208937
primary,"0,1,2,3,4",0.5,mean,SPJF-q90,7.8,0.3040314507846613,0.8475713613141987,0.7704822110424492,0.8809319884723215,0.4907656591208937
primary,"0,1,2,3,4",0.5,mean,SPJF-q99,7.8,0.3098367863017438,0.8350799556627464,0.7579585448281616,0.8728639672324744,0.4907656591208937
primary,"0,1,2,3,4",0.5,mean,SPJF-phv,7.8,0.2974328055764148,0.8602512675453621,0.7935390377832635,0.8896410030340839,0.4907656591208937
primary,"0,1,2,3,4",0.5,mean,SPJF-logvar,7.8,0.2967276357619278,0.861502390508489,0.7926514580099334,0.8914541523978438,0.4907656591208937
primary,"0,1,2,3,4",0.8,p99dl,FCFS,5.0,119.35185892388252,0.0,0.0,0.0,85.79927553683544
primary,"0,1,2,3,4",0.8,p99dl,SJF-ref,5.0,33.552583387047086,1.0,1.0,1.0,85.79927553683544
primary,"0,1,2,3,4",0.8,p99dl,SPJF-M4,5.0,44.39447505906233,0.8728131601236118,0.8508763041860739,0.8865171235824466,85.79927553683544
primary,"0,1,2,3,4",0.8,p99dl,SPJF-tweedie,5.0,43.38931273520004,0.8846750091248878,0.861981667774171,0.8984638268455045,85.79927553683544
primary,"0,1,2,3,4",0.8,p99dl,SPJF-M4refit,5.0,44.40678300067808,0.8726476427537708,0.8507545858879706,0.8864443606316673,85.79927553683544
primary,"0,1,2,3,4",0.8,p99dl,SPJF-l2raw,5.0,45.634267670214264,0.8584855274961658,0.8282949903102166,0.8750793984863595,85.79927553683544
primary,"0,1,2,3,4",0.8,p99dl,SPJF-gamma,5.0,43.69477944195292,0.8811247192791269,0.857494320554129,0.8948201981362595,85.79927553683544
primary,"0,1,2,3,4",0.8,p99dl,SPJF-hurdle,5.0,43.55204382807024,0.8826435742571229,0.8587171366240669,0.8971379542434742,85.79927553683544
primary,"0,1,2,3,4",0.8,p99dl,SPJF-q50,5.0,48.96831606138505,0.8195914805027555,0.7934973290422269,0.837634037829716,85.79927553683544
primary,"0,1,2,3,4",0.8,p99dl,SPJF-q90,5.0,46.585915127694705,0.8470207363109278,0.8189655773270823,0.864053343571749,85.79927553683544
primary,"0,1,2,3,4",0.8,p99dl,SPJF-q99,5.0,44.27284022331248,0.8742414906203777,0.8507594574466166,0.8874021673463354,85.79927553683544
primary,"0,1,2,3,4",0.8,p99dl,SPJF-phv,5.0,43.601196492985075,0.882140641221377,0.8589296896063386,0.8959359118179058,85.79927553683544
primary,"0,1,2,3,4",0.8,p99dl,SPJF-logvar,5.0,43.855828115791226,0.8790465572599189,0.8571326597580906,0.8926848426111043,85.79927553683544
primary,"0,1,2,3,4",0.8,mean,FCFS,5.0,4.160141228293902,0.0,0.0,0.0,3.2013337019303556
primary,"0,1,2,3,4",0.8,mean,SJF-ref,5.0,0.9588075263635462,1.0,1.0,1.0,3.2013337019303556
primary,"0,1,2,3,4",0.8,mean,SPJF-M4,5.0,1.2507146498701185,0.9086714141899822,0.875479868831781,0.9255112993966901,3.2013337019303556
primary,"0,1,2,3,4",0.8,mean,SPJF-tweedie,5.0,1.2297177248600337,0.9152527093477912,0.8840954979166578,0.9309422742204254,3.2013337019303556
primary,"0,1,2,3,4",0.8,mean,SPJF-M4refit,5.0,1.250915058865387,0.9086058043781644,0.8752539784336645,0.9254190773810764,3.2013337019303556
primary,"0,1,2,3,4",0.8,mean,SPJF-l2raw,5.0,1.2836421530855748,0.8983454522764752,0.8614925419780414,0.9175455469368875,3.2013337019303556
