trace,reps,rho,metric,policy,k,wait,gain,lo,hi,fcfs_minus_sjf
validpre,"0,1",0.5,p99dl,FCFS,7.5,38.06589563742274,0.0,0.0,0.0,21.50963397324082
validpre,"0,1",0.5,p99dl,SJF-ref,7.5,16.556261664181918,1.0,1.0,1.0,21.50963397324082
validpre,"0,1",0.5,p99dl,SPJF-M4,7.5,22.089421111941313,0.7414116354570865,0.7027924994919114,0.7714544616968838,21.50963397324082
validpre,"0,1",0.5,p99dl,SPJF-M4refit,7.5,22.043467427194066,0.743775278944613,0.7048984085004916,0.7741239819444643,21.50963397324082
validpre,"0,1",0.5,p99dl,SPJF-l2raw,7.5,22.988386320769727,0.6994814804349727,0.6566073729711974,0.7303360654535125,21.50963397324082
validpre,"0,1",0.5,p99dl,SPJF-tweedie,7.5,21.918261719942073,0.7464656270019991,0.712222709297186,0.7711838914964769,21.50963397324082
validpre,"0,1",0.5,p99dl,SPJF-gamma,7.5,22.070208651572443,0.7385772306139757,0.7045284275013044,0.7594936689704929,21.50963397324082
validpre,"0,1",0.5,p99dl,SPJF-hurdle,7.5,22.32563243255013,0.7281005892154833,0.6898106809912559,0.7542167212381197,21.50963397324082
validpre,"0,1",0.5,p99dl,SPJF-q50,7.5,23.001936561018127,0.6991901649181678,0.6640074624555485,0.7251368552422048,21.50963397324082
validpre,"0,1",0.5,p99dl,SPJF-q90,7.5,23.094789077043515,0.6927776201567056,0.6481541462849904,0.7251622727853684,21.50963397324082
validpre,"0,1",0.5,p99dl,SPJF-q99,7.5,22.62491923585533,0.7151288662198726,0.6793829462073948,0.7413823360472833,21.50963397324082
validpre,"0,1",0.5,p99dl,SPJF-phv,7.5,21.97554248750209,0.7437200584773372,0.7038126039167221,0.7692129343852119,21.50963397324082
validpre,"0,1",0.5,p99dl,SPJF-logvar,7.5,22.145203538387975,0.7372865168731446,0.6945916845585132,0.7653955666862279,21.50963397324082
validpre,"0,1",0.5,mean,FCFS,7.5,0.8915698235331162,0.0,0.0,0.0,0.5555972026723588
validpre,"0,1",0.5,mean,SJF-ref,7.5,0.3359726208607574,1.0,1.0,1.0,0.5555972026723588
validpre,"0,1",0.5,mean,SPJF-M4,7.5,0.43214545749513883,0.8263954310071053,0.7449250290510783,0.8736444253301779,0.5555972026723588
validpre,"0,1",0.5,mean,SPJF-M4refit,7.5,0.4318957082419243,0.8271004351837713,0.7458206824594507,0.8750399064354355,0.5555972026723588
validpre,"0,1",0.5,mean,SPJF-l2raw,7.5,0.4427714600952321,0.8076905038678603,0.7228363718167211,0.8584580376544726,0.5555972026723588
validpre,"0,1",0.5,mean,SPJF-tweedie,7.5,0.42883868365928357,0.831599439222733,0.7576751935584144,0.8757349263066596,0.5555972026723588
validpre,"0,1",0.5,mean,SPJF-gamma,7.5,0.43097921176102216,0.8288608058204832,0.755196474125065,0.8726755059501544,0.5555972026723588
validpre,"0,1",0.5,mean,SPJF-hurdle,7.5,0.4289322388520239,0.8332634104740039,0.7583272984251161,0.8779912848458534,0.5555972026723588
validpre,"0,1",0.5,mean,SPJF-q50,7.5,0.44161949570823467,0.8100849029137832,0.7354147292927882,0.8544536824337446,0.5555972026723588
validpre,"0,1",0.5,mean,SPJF-q90,7.5,0.4459197590259386,0.8012704922049743,0.7101850046057594,0.8547592101779959,0.5555972026723588
validpre,"0,1",0.5,mean,SPJF-q99,7.5,0.4503731497557071,0.7930106659119505,0.7009008858923751,0.8480477256072758,0.5555972026723588
validpre,"0,1",0.5,mean,SPJF-phv,7.5,0.433611282138346,0.8232678774513902,0.7452988297091491,0.8700477390104996,0.5555972026723588
validpre,"0,1",0.5,mean,SPJF-logvar,7.5,0.43426409519114123,0.8223191724449839,0.7401339571466587,0.8707382743079733,0.5555972026723588
validpre,"0,1",0.8,p99dl,FCFS,5.0,125.71889571815682,0.0,0.0,0.0,89.11696223631458
validpre,"0,1",0.8,p99dl,SJF-ref,5.0,36.60193348184224,1.0,1.0,1.0,89.11696223631458
validpre,"0,1",0.8,p99dl,SPJF-M4,5.0,50.282449220120796,0.8462834341911181,0.8175769292920512,0.8628513842561062,89.11696223631458
validpre,"0,1",0.8,p99dl,SPJF-M4refit,5.0,50.284543846994616,0.846291185210148,0.8178399108137316,0.8625399904268812,89.11696223631458
validpre,"0,1",0.8,p99dl,SPJF-l2raw,5.0,52.538198595643024,0.8211174690006111,0.7819518331725398,0.8413347406944798,89.11696223631458
validpre,"0,1",0.8,p99dl,SPJF-tweedie,5.0,48.62781028658149,0.8648523138400326,0.8416902208419167,0.8769538722572021,89.11696223631458
