trace,reps,rho,metric,pair,d_gain,lo,hi,resolved,verdict,wait,wait_base,d_wait_pct
primary,"0,1",0.5,p99dl,FCFS - SPJF-M4,-0.7483762906570249,-0.7791569268316967,-0.7155133720324804,True,SPJF-M4 better,21.6869404096157,11.397772194817682,90.27350291731817
primary,"0,1",0.5,p99dl,SJF-ref - SPJF-M4,0.25162370934297507,0.22084307316830332,0.28448662796751956,True,SJF-ref better,7.936368020251434,11.397772194817682,-30.36912929475878
primary,"0,1",0.5,p99dl,SPJF-tweedie - SPJF-M4,-0.010595363844219663,-0.03246719885599181,0.006019452410113914,False,unresolved,11.54396955147389,11.397772194817682,1.2826836170903673
primary,"0,1",0.5,p99dl,ORACLE-on-true-heavy - SPJF-M4,0.1898096264353364,0.15627731216383092,0.21759898296132021,True,ORACLE-on-true-heavy better,8.78658658415086,11.397772194817682,-22.909613966965143
primary,"0,1",0.5,p99dl,ORACLE-on-true-light - SPJF-M4,0.13258599345472077,0.11635810311752232,0.1557387659922801,True,ORACLE-on-true-light better,9.573595773428691,11.397772194817682,-16.00467521379664
primary,"0,1",0.5,p99dl,ORACLE-top0.1pct-under - SPJF-M4,0.03439384122491396,0.019095037057234372,0.04588752738678202,True,ORACLE-top0.1pct-under better,10.924356446042687,11.397772194817682,-4.153581425238933
primary,"0,1",0.5,p99dl,ORACLE-top0.1pct-over - SPJF-M4,0.003667956188443733,-0.0005848135497231038,0.0073955421670242405,False,unresolved,11.347351662814628,11.397772194817682,-0.4423718174151531
primary,"0,1",0.5,p99dl,ORACLE-top1.0pct-under - SPJF-M4,0.19175340003597896,0.15856010620109573,0.21803812896657945,True,ORACLE-top1.0pct-under better,8.75968907736248,11.397772194817682,-23.145603126325685
primary,"0,1",0.5,p99dl,ORACLE-top1.0pct-over - SPJF-M4,0.05796342048597525,0.041925282525558626,0.07218464636545453,True,ORACLE-top1.0pct-over better,10.599945765361248,11.397772194817682,-6.999845371705078
primary,"0,1",0.5,p99dl,SPJF-M4refit - SPJF-M4,0.0027384474021390215,-0.0009026365151561383,0.005737647801116121,False,unresolved,11.359919187799104,11.397772194817682,-0.33210882242223433
