target,score,n_heavy,heavy_rank_med,heavy_rank_p10,heavy_in_bottom_half,light_rank_med,light_in_top_2pct,heavy_work_jumping,work_all
2020-ERE,log,1210,0.9809,0.5729,80,0.4964,2336,2182.3,56065.3
2020-ERE,tweedie,1210,0.9847,0.7944,34,0.4961,2317,1210.8,56065.3
2020-ERE,gamma,1210,0.9869,0.6988,44,0.4962,2295,1486.6,56065.3
2020-ERE,hurdle,1210,0.9748,0.8322,11,0.496,2379,988.9,56065.3
2020-ERE,phv,1210,0.9879,0.853,16,0.496,2267,938.1,56065.3
2020-ERE,q50,1210,0.9755,0.3042,174,0.4971,2347,3934.3,56065.3
2020-ERE,q90,1210,0.987,0.5711,91,0.4965,2272,2642.8,56065.3
2020-ERE,q99,1210,0.9701,0.7994,12,0.496,2417,978.2,56065.3
2020-ERE,l2raw,1210,0.965,0.7897,31,0.4961,2434,1401.1,56065.3
2020-ERE,logvar,1210,0.9797,0.8087,23,0.496,2344,1244.8,56065.3
2020-2,log,527,0.99,0.7244,2,0.4947,666,733.0,21709.0
2020-2,tweedie,527,0.9906,0.8266,0,0.4947,677,439.3,21709.0
2020-2,gamma,527,0.9907,0.8044,7,0.4948,668,587.9,21709.0
2020-2,hurdle,527,0.9905,0.8921,0,0.4947,667,368.5,21709.0
2020-2,phv,527,0.9908,0.9023,0,0.4947,655,299.6,21709.0
2020-2,q50,527,0.9898,0.1635,97,0.4966,683,2157.0,21709.0
2020-2,q90,527,0.9903,0.6759,44,0.4956,659,1290.5,21709.0
2020-2,q99,527,0.9881,0.856,0,0.4947,692,338.4,21709.0
2020-2,l2raw,527,0.9869,0.8212,17,0.495,699,774.2,21709.0
2020-2,logvar,527,0.9906,0.8815,0,0.4947,665,416.3,21709.0
2021-1,log,462,0.9814,0.7195,4,0.496,907,836.1,21999.4
2021-1,tweedie,462,0.9829,0.7885,3,0.496,903,537.8,21999.4
2021-1,gamma,462,0.9816,0.7347,16,0.4962,906,773.8,21999.4
2021-1,hurdle,462,0.9775,0.8692,1,0.496,917,507.2,21999.4
2021-1,phv,462,0.9831,0.8734,1,0.496,899,399.8,21999.4
2021-1,q50,462,0.9294,0.3121,76,0.4973,936,1935.9,21999.4
2021-1,q90,462,0.9807,0.2645,58,0.497,911,1625.0,21999.4
2021-1,q99,462,0.9785,0.8473,1,0.496,915,370.2,21999.4
2021-1,l2raw,462,0.9755,0.8519,4,0.496,920,497.3,21999.4
2021-1,logvar,462,0.9804,0.7482,1,0.496,908,563.4,21999.4
2021-2,log,556,0.9825,0.7124,1,0.495,825,737.6,22295.2
2021-2,tweedie,556,0.9788,0.8559,0,0.495,845,445.2,22295.2
2021-2,gamma,556,0.9786,0.7559,9,0.4952,846,712.5,22295.2
2021-2,hurdle,556,0.9792,0.871,1,0.495,843,430.1,22295.2
2021-2,phv,556,0.9815,0.8737,0,0.495,827,369.4,22295.2
2021-2,q50,556,0.982,0.4532,65,0.4962,832,1600.6,22295.2
2021-2,q90,556,0.9769,0.5861,43,0.4958,853,1273.4,22295.2
2021-2,q99,556,0.9642,0.8135,0,0.495,874,407.0,22295.2
2021-2,l2raw,556,0.9756,0.8121,4,0.4951,855,525.1,22295.2
2021-2,logvar,556,0.9813,0.8346,0,0.495,838,533.0,22295.2
2022-1,log,839,0.9792,0.7336,2,0.4919,620,727.1,21052.2
2022-1,tweedie,839,0.9745,0.8002,1,0.4919,646,395.7,21052.2
2022-1,gamma,839,0.9757,0.7456,12,0.4921,639,523.7,21052.2
2022-1,hurdle,839,0.9679,0.8126,1,0.4919,697,380.8,21052.2
2022-1,phv,839,0.9799,0.827,1,0.4919,613,379.1,21052.2
2022-1,q50,839,0.9739,0.5552,75,0.4933,635,1464.2,21052.2
2022-1,q90,839,0.979,0.7005,63,0.4931,620,1358.8,21052.2
2022-1,q99,839,0.9144,0.8067,0,0.4919,754,458.0,21052.2
2022-1,l2raw,839,0.9496,0.7859,6,0.492,752,543.8,21052.2
2022-1,logvar,839,0.9773,0.8154,1,0.4919,640,470.6,21052.2
2022-2,log,536,0.968,0.7604,3,0.4935,580,544.1,17078.1
2022-2,tweedie,536,0.9756,0.8015,3,0.4935,564,369.8,17078.1
2022-2,gamma,536,0.9745,0.7669,7,0.4936,562,453.9,17078.1
2022-2,hurdle,536,0.9681,0.8252,4,0.4935,576,372.7,17078.1
2022-2,phv,536,0.9735,0.8372,3,0.4935,572,338.2,17078.1
2022-2,q50,536,0.93,0.1603,115,0.4963,613,1683.8,17078.1
2022-2,q90,536,0.9661,0.5562,51,0.4947,582,1007.8,17078.1
2022-2,q99,536,0.9644,0.8038,2,0.4935,584,329.9,17078.1
2022-2,l2raw,536,0.9711,0.7685,9,0.4937,576,443.3,17078.1
2022-2,logvar,536,0.9737,0.7783,2,0.4935,565,418.8,17078.1
