
=== primary, reps 0,1,2,3,4: gain on p99dl (point [95% week-block CI]) ===
rho                              0.5                     0.8                     1.0
policy                                                                              
FCFS          0.0000 [0.0000,0.0000]  0.0000 [0.0000,0.0000]  0.0000 [0.0000,0.0000]
SJF-ref       1.0000 [1.0000,1.0000]  1.0000 [1.0000,1.0000]  1.0000 [1.0000,1.0000]
SPJF-M4       0.7528 [0.7213,0.7761]  0.8728 [0.8509,0.8865]  0.8967 [0.8721,0.9133]
SPJF-tweedie  0.7515 [0.7229,0.7753]  0.8847 [0.8620,0.8985]  0.9159 [0.8915,0.9289]
SPJF-M4refit  0.7534 [0.7217,0.7760]  0.8726 [0.8508,0.8864]  0.8964 [0.8713,0.9132]
SPJF-l2raw    0.7197 [0.6886,0.7454]  0.8585 [0.8283,0.8751]  0.8873 [0.8557,0.9064]
SPJF-gamma    0.7484 [0.7160,0.7739]  0.8811 [0.8575,0.8948]  0.9108 [0.8861,0.9249]
SPJF-hurdle   0.7404 [0.7094,0.7653]  0.8826 [0.8587,0.8971]  0.9141 [0.8909,0.9267]
SPJF-q50      0.7071 [0.6763,0.7329]  0.8196 [0.7935,0.8376]  0.8402 [0.8081,0.8618]
SPJF-q90      0.7024 [0.6657,0.7344]  0.8470 [0.8190,0.8641]  0.8755 [0.8446,0.8947]
SPJF-q99      0.7245 [0.7004,0.7454]  0.8742 [0.8508,0.8874]  0.9005 [0.8750,0.9156]
SPJF-phv      0.7476 [0.7171,0.7705]  0.8821 [0.8589,0.8959]  0.9122 [0.8860,0.9259]
SPJF-logvar   0.7435 [0.7154,0.7658]  0.8790 [0.8571,0.8927]  0.9119 [0.8880,0.9256]

wait (s), p99dl:
rho               0.5       0.8       1.0
policy                                   
FCFS          27.6446  119.3519  273.4974
SJF-ref       10.5875   33.5526   43.6292
SPJF-M4       14.7278   44.3945   67.2871
SPJF-tweedie  14.7251   43.3893   62.9111
SPJF-M4refit  14.7239   44.4068   67.3551
SPJF-l2raw    15.2717   45.6343   69.4738
SPJF-gamma    14.7647   43.6948   64.0898
SPJF-hurdle   14.9203   43.5520   63.3021
SPJF-q50      15.5290   48.9683   80.2669
SPJF-q90      15.5589   46.5859   72.1355
SPJF-q99      15.1713   44.2728   66.4262
SPJF-phv      14.7964   43.6012   63.7439
SPJF-logvar   14.8653   43.8558   63.8213

=== primary, reps 0,1,2,3,4: gain on mean (point [95% week-block CI]) ===
rho                              0.5                     0.8                     1.0
policy                                                                              
FCFS          0.0000 [0.0000,0.0000]  0.0000 [0.0000,0.0000]  0.0000 [0.0000,0.0000]
SJF-ref       1.0000 [1.0000,1.0000]  1.0000 [1.0000,1.0000]  1.0000 [1.0000,1.0000]
SPJF-M4       0.8652 [0.7958,0.8955]  0.9087 [0.8755,0.9255]  0.9233 [0.9012,0.9348]
SPJF-tweedie  0.8705 [0.8050,0.8988]  0.9153 [0.8841,0.9309]  0.9304 [0.9092,0.9414]
SPJF-M4refit  0.8647 [0.7955,0.8944]  0.9086 [0.8753,0.9254]  0.9233 [0.9010,0.9348]
SPJF-l2raw    0.8538 [0.7819,0.8859]  0.8983 [0.8615,0.9175]  0.9145 [0.8891,0.9277]
SPJF-gamma    0.8695 [0.8065,0.8971]  0.9105 [0.8784,0.9270]  0.9270 [0.9053,0.9385]
SPJF-hurdle   0.8678 [0.8054,0.8957]  0.9125 [0.8800,0.9290]  0.9280 [0.9061,0.9398]
SPJF-q50      0.8523 [0.7846,0.8823]  0.8860 [0.8505,0.9045]  0.8983 [0.8731,0.9122]
SPJF-q90      0.8476 [0.7705,0.8809]  0.8931 [0.8529,0.9130]  0.9109 [0.8846,0.9243]
SPJF-q99      0.8351 [0.7580,0.8729]  0.8866 [0.8493,0.9076]  0.9049 [0.8787,0.9203]
SPJF-phv      0.8603 [0.7935,0.8896]  0.9079 [0.8754,0.9250]  0.9259 [0.9035,0.9376]
SPJF-logvar   0.8615 [0.7927,0.8915]  0.9104 [0.8771,0.9268]  0.9270 [0.9056,0.9381]

wait (s), mean:
rho              0.5     0.8      1.0
policy                               
FCFS          0.7189  4.1601  10.2700
SJF-ref       0.2281  0.9588   1.6955
SPJF-M4       0.2951  1.2507   2.3519
SPJF-tweedie  0.2923  1.2297   2.2915
SPJF-M4refit  0.2954  1.2509   2.3520
SPJF-l2raw    0.3005  1.2836   2.4272
SPJF-gamma    0.2927  1.2449   2.3207
SPJF-hurdle   0.2934  1.2384   2.3114
SPJF-q50      0.3016  1.3231   2.5665
SPJF-q90      0.3040  1.3007   2.4584
SPJF-q99      0.3098  1.3213   2.5091
SPJF-phv      0.2974  1.2533   2.3298
SPJF-logvar   0.2967  1.2451   2.3203

=== differences of the gain against SPJF-M4 (paired week-block bootstrap) ===
  trace      reps  rho metric                   pair  d_gain      lo      hi  resolved             verdict     wait  wait_base  d_wait_pct
primary 0,1,2,3,4  0.5  p99dl         FCFS - SPJF-M4 -0.7528 -0.7761 -0.7213      True      SPJF-M4 better  27.6446    14.7278     87.7037
primary 0,1,2,3,4  0.5  p99dl      SJF-ref - SPJF-M4  0.2472  0.2239  0.2787      True      SJF-ref better  10.5875    14.7278    -28.1117
primary 0,1,2,3,4  0.5  p99dl SPJF-tweedie - SPJF-M4 -0.0013 -0.0172  0.0125     False          unresolved  14.7251    14.7278     -0.0181
primary 0,1,2,3,4  0.5  p99dl SPJF-M4refit - SPJF-M4  0.0005 -0.0016  0.0022     False          unresolved  14.7239    14.7278     -0.0260
primary 0,1,2,3,4  0.5  p99dl   SPJF-l2raw - SPJF-M4 -0.0331 -0.0464 -0.0210      True      SPJF-M4 better  15.2717    14.7278      3.6933
primary 0,1,2,3,4  0.5  p99dl   SPJF-gamma - SPJF-M4 -0.0044 -0.0175  0.0067     False          unresolved  14.7647    14.7278      0.2510
primary 0,1,2,3,4  0.5  p99dl  SPJF-hurdle - SPJF-M4 -0.0124 -0.0288  0.0020     False          unresolved  14.9203    14.7278      1.3076
primary 0,1,2,3,4  0.5  p99dl     SPJF-q50 - SPJF-M4 -0.0457 -0.0580 -0.0329      True      SPJF-M4 better  15.5290    14.7278      5.4404
primary 0,1,2,3,4  0.5  p99dl     SPJF-q90 - SPJF-M4 -0.0504 -0.0602 -0.0389      True      SPJF-M4 better  15.5589    14.7278      5.6432
primary 0,1,2,3,4  0.5  p99dl     SPJF-q99 - SPJF-M4 -0.0284 -0.0391 -0.0157      True      SPJF-M4 better  15.1713    14.7278      3.0118
primary 0,1,2,3,4  0.5  p99dl     SPJF-phv - SPJF-M4 -0.0052 -0.0175  0.0064     False          unresolved  14.7964    14.7278      0.4662
primary 0,1,2,3,4  0.5  p99dl  SPJF-logvar - SPJF-M4 -0.0093 -0.0158 -0.0021      True      SPJF-M4 better  14.8653    14.7278      0.9337
primary 0,1,2,3,4  0.5   mean         FCFS - SPJF-M4 -0.8652 -0.8955 -0.7958      True      SPJF-M4 better   0.7189     0.2951    143.6305
primary 0,1,2,3,4  0.5   mean      SJF-ref - SPJF-M4  0.1348  0.1045  0.2042      True      SJF-ref better   0.2281     0.2951    -22.6837
primary 0,1,2,3,4  0.5   mean SPJF-tweedie - SPJF-M4  0.0053  0.0025  0.0103      True SPJF-tweedie better   0.2923     0.2951     -0.9507
primary 0,1,2,3,4  0.5   mean SPJF-M4refit - SPJF-M4 -0.0005 -0.0024  0.0012     False          unresolved   0.2954     0.2951      0.1006
primary 0,1,2,3,4  0.5   mean   SPJF-l2raw - SPJF-M4 -0.0114 -0.0170 -0.0073      True      SPJF-M4 better   0.3005     0.2951      1.8355
primary 0,1,2,3,4  0.5   mean   SPJF-gamma - SPJF-M4  0.0043  0.0004  0.0117      True   SPJF-gamma better   0.2927     0.2951     -0.7929
primary 0,1,2,3,4  0.5   mean  SPJF-hurdle - SPJF-M4  0.0026 -0.0012  0.0107     False          unresolved   0.2934     0.2951     -0.5697
primary 0,1,2,3,4  0.5   mean     SPJF-q50 - SPJF-M4 -0.0129 -0.0181 -0.0081      True      SPJF-M4 better   0.3016     0.2951      2.1970
primary 0,1,2,3,4  0.5   mean     SPJF-q90 - SPJF-M4 -0.0177 -0.0260 -0.0131      True      SPJF-M4 better   0.3040     0.2951      3.0324
primary 0,1,2,3,4  0.5   mean     SPJF-q99 - SPJF-M4 -0.0302 -0.0455 -0.0188      True      SPJF-M4 better   0.3098     0.2951      4.9997
primary 0,1,2,3,4  0.5   mean     SPJF-phv - SPJF-M4 -0.0050 -0.0073 -0.0012      True      SPJF-M4 better   0.2974     0.2951      0.7962
primary 0,1,2,3,4  0.5   mean  SPJF-logvar - SPJF-M4 -0.0037 -0.0056 -0.0015      True      SPJF-M4 better   0.2967     0.2951      0.5572
primary 0,1,2,3,4  0.8  p99dl         FCFS - SPJF-M4 -0.8728 -0.8865 -0.8509      True      SPJF-M4 better 119.3519    44.3945    168.8439
primary 0,1,2,3,4  0.8  p99dl      SJF-ref - SPJF-M4  0.1272  0.1135  0.1491      True      SJF-ref better  33.5526    44.3945    -24.4217
primary 0,1,2,3,4  0.8  p99dl SPJF-tweedie - SPJF-M4  0.0119  0.0052  0.0185      True SPJF-tweedie better  43.3893    44.3945     -2.2642
primary 0,1,2,3,4  0.8  p99dl SPJF-M4refit - SPJF-M4 -0.0002 -0.0009  0.0006     False          unresolved  44.4068    44.3945      0.0277
primary 0,1,2,3,4  0.8  p99dl   SPJF-l2raw - SPJF-M4 -0.0143 -0.0249 -0.0080      True      SPJF-M4 better  45.6343    44.3945      2.7927
primary 0,1,2,3,4  0.8  p99dl   SPJF-gamma - SPJF-M4  0.0083  0.0013  0.0134      True   SPJF-gamma better  43.6948    44.3945     -1.5761
primary 0,1,2,3,4  0.8  p99dl  SPJF-hurdle - SPJF-M4  0.0098  0.0010  0.0171      True  SPJF-hurdle better  43.5520    44.3945     -1.8976
primary 0,1,2,3,4  0.8  p99dl     SPJF-q50 - SPJF-M4 -0.0532 -0.0611 -0.0460      True      SPJF-M4 better  48.9683    44.3945     10.3027
