trace,reps,rho,k,policy,p99_dl_s,mean_s,p99_s,max_heavy_s,p99_heavy_s,p99_exam_s,gain_p99dl,dgain_p99dl_vs_M4,gain_mean,dgain_mean_vs_M4
primary,"0,1",0.5,8,FCFS,21.6869,0.5915,11.5185,392.0,90.59,23.6134,"0.0000 [0.0000,0.0000]","-0.7484 [-0.7792,-0.7155]","0.0000 [0.0000,0.0000]","-0.8778 [-0.9086,-0.8058]"
primary,"0,1",0.5,8,SJF-ref,7.9364,0.1826,3.4967,1073.1,73.36,8.7155,"1.0000 [1.0000,1.0000]","+0.2516 [+0.2208,+0.2845]","1.0000 [1.0000,1.0000]","+0.1222 [+0.0914,+0.1942]"
primary,"0,1",0.5,8,SPJF-M4,11.3978,0.2325,4.6994,1274.9,85.05,11.0254,"0.7484 [0.7155,0.7792]",,"0.8778 [0.8058,0.9086]",
primary,"0,1",0.5,8,SPJF-M4refit,11.3599,0.2325,4.6956,1282.3,85.0,10.9262,"0.7511 [0.7178,0.7824]","+0.0027 [-0.0009,+0.0057] ns","0.8779 [0.8062,0.9085]","+0.0000 [-0.0025,+0.0016] ns"
primary,"0,1",0.5,8,SPJF-tweedie,11.544,0.2316,4.7331,1279.4,85.9,11.183,"0.7378 [0.7085,0.7660]","-0.0106 [-0.0325,+0.0060] ns","0.8802 [0.8102,0.9092]","+0.0024 [-0.0013,+0.0080] ns"
primary,"0,1",0.5,8,SPJF-gamma,11.5338,0.2318,4.6894,1090.8,84.58,10.9924,"0.7385 [0.7079,0.7689]","-0.0099 [-0.0248,+0.0045] ns","0.8795 [0.8117,0.9085]","+0.0017 [-0.0020,+0.0087] ns"
primary,"0,1",0.5,8,SPJF-hurdle,11.6587,0.2338,4.7075,1281.8,85.28,11.0318,"0.7294 [0.6970,0.7606]","-0.0190 [-0.0394,-0.0028]","0.8749 [0.8042,0.9047]","-0.0030 [-0.0059,+0.0009] ns"
primary,"0,1",0.5,8,SPJF-phv,11.4813,0.2352,4.6461,1183.1,87.53,10.6897,"0.7423 [0.7127,0.7718]","-0.0061 [-0.0216,+0.0105] ns","0.8714 [0.8002,0.9010]","-0.0065 [-0.0091,-0.0023]"
primary,"0,1",0.5,8,SPJF-logvar,11.5734,0.2347,4.7413,1271.2,86.39,11.012,"0.7356 [0.7053,0.7659]","-0.0128 [-0.0228,-0.0034]","0.8727 [0.7981,0.9044]","-0.0052 [-0.0092,-0.0026]"
primary,"0,1",0.5,8,SPJF-q99,11.8341,0.2451,4.9329,1081.8,84.83,11.2845,"0.7166 [0.6862,0.7475]","-0.0317 [-0.0488,-0.0155]","0.8471 [0.7616,0.8856]","-0.0307 [-0.0510,-0.0196]"
primary,"0,1",0.5,8,SPJF-q90,12.1653,0.2397,4.8514,1293.0,83.99,11.3187,"0.6926 [0.6544,0.7304]","-0.0558 [-0.0720,-0.0392]","0.8603 [0.7839,0.8927]","-0.0175 [-0.0243,-0.0131]"
primary,"0,1",0.5,8,SPJF-q50,11.9067,0.2373,4.7624,1109.1,85.78,11.9369,"0.7114 [0.6813,0.7395]","-0.0370 [-0.0542,-0.0214]","0.8661 [0.7934,0.8967]","-0.0118 [-0.0196,-0.0063]"
primary,"0,1",0.5,8,SPJF-l2raw,11.9089,0.2382,4.8857,1271.7,79.84,10.7359,"0.7112 [0.6768,0.7424]","-0.0372 [-0.0535,-0.0221]","0.8639 [0.7850,0.8983]","-0.0140 [-0.0221,-0.0091]"
primary,"0,1",0.5,8,2CLASS-FCFS-tau0.02,14.9005,0.3128,6.2936,538.7,94.98,12.9446,"0.4936 [0.4070,0.5515]","-0.2547 [-0.3261,-0.2096]","0.6815 [0.5955,0.7232]","-0.1964 [-0.2206,-0.1789]"
primary,"0,1",0.5,8,2CLASS-FCFS-tau0.05,14.3891,0.2951,6.5993,579.6,96.16,12.8718,"0.5308 [0.4380,0.5873]","-0.2176 [-0.2946,-0.1724]","0.7250 [0.6296,0.7656]","-0.1529 [-0.1786,-0.1408]"
primary,"0,1",0.5,8,2CLASS-FCFS-tau0.1,14.0856,0.2912,6.8035,606.0,93.4,12.7999,"0.5530 [0.4656,0.6088]","-0.1954 [-0.2672,-0.1531]","0.7345 [0.6392,0.7752]","-0.1434 [-0.1709,-0.1314]"
primary,"0,1",0.5,8,2CLASS-FCFS-tau0.2,14.0139,0.2864,6.9538,600.6,99.54,13.2223,"0.5582 [0.4950,0.6067]","-0.1902 [-0.2427,-0.1536]","0.7462 [0.6522,0.7865]","-0.1317 [-0.1616,-0.1184]"
primary,"0,1",0.5,8,2CLASS-FCFS-tau0.4,13.8988,0.2907,7.3005,675.3,96.19,13.784,"0.5665 [0.5169,0.6067]","-0.1819 [-0.2295,-0.1479]","0.7355 [0.6371,0.7790]","-0.1423 [-0.1789,-0.1251]"
primary,"0,1",0.5,8,2CLASS-SPJF-tau0.02,11.2959,0.2303,4.6391,1313.5,84.79,10.6635,"0.7558 [0.7219,0.7864]","+0.0074 [-0.0011,+0.0148] ns","0.8832 [0.8116,0.9138]","+0.0054 [+0.0035,+0.0072]"
primary,"0,1",0.5,8,2CLASS-SPJF-tau0.05,11.4337,0.232,4.6684,1273.3,85.51,11.0157,"0.7458 [0.7112,0.7788]","-0.0026 [-0.0088,+0.0034] ns","0.8792 [0.8078,0.9097]","+0.0013 [-0.0003,+0.0038] ns"
primary,"0,1",0.5,8,2CLASS-SPJF-tau0.1,11.3339,0.2319,4.6809,1274.9,85.12,11.043,"0.7530 [0.7195,0.7816]","+0.0047 [-0.0007,+0.0074] ns","0.8794 [0.8081,0.9094]","+0.0016 [-0.0003,+0.0039] ns"
primary,"0,1",0.5,8,2CLASS-SPJF-tau0.2,11.3732,0.2319,4.6942,1279.7,85.27,11.0279,"0.7502 [0.7185,0.7811]","+0.0018 [-0.0040,+0.0074] ns","0.8794 [0.8079,0.9096]","+0.0015 [+0.0000,+0.0031]"
primary,"0,1",0.5,8,2CLASS-SPJF-tau0.4,11.3755,0.2328,4.6831,1274.9,85.77,11.0222,"0.7500 [0.7171,0.7803]","+0.0016 [-0.0022,+0.0047] ns","0.8773 [0.8040,0.9088]","-0.0006 [-0.0027,+0.0006] ns"
primary,"0,1",0.5,8,2CLASS-TWEEDIE-tau0.02,11.4717,0.23,4.6677,1271.3,86.11,10.9973,"0.7430 [0.7136,0.7696]","-0.0054 [-0.0284,+0.0104] ns","0.8841 [0.8145,0.9131]","+0.0062 [+0.0022,+0.0122]"
primary,"0,1",0.5,8,2CLASS-TWEEDIE-tau0.05,11.5704,0.2318,4.6927,1284.2,86.09,11.1633,"0.7359 [0.7058,0.7633]","-0.0125 [-0.0313,-0.0002]","0.8798 [0.8089,0.9099]","+0.0019 [-0.0019,+0.0066] ns"
primary,"0,1",0.5,8,2CLASS-TWEEDIE-tau0.1,11.6105,0.2329,4.7588,1279.7,86.05,11.4325,"0.7329 [0.7049,0.7584]","-0.0154 [-0.0359,-0.0002]","0.8770 [0.8070,0.9064]","-0.0008 [-0.0042,+0.0043] ns"
primary,"0,1",0.5,8,2CLASS-TWEEDIE-tau0.2,11.6368,0.2321,4.7585,1294.9,86.64,11.2892,"0.7310 [0.7020,0.7566]","-0.0174 [-0.0376,-0.0032]","0.8788 [0.8094,0.9083]","+0.0010 [-0.0029,+0.0065] ns"
primary,"0,1",0.5,8,2CLASS-TWEEDIE-tau0.4,11.5743,0.2322,4.7288,1294.7,86.32,11.2742,"0.7356 [0.7072,0.7607]","-0.0128 [-0.0317,+0.0004] ns","0.8787 [0.8072,0.9094]","+0.0009 [-0.0031,+0.0049] ns"
primary,"0,1",0.5,8,ORACLE-on-true-heavy,8.7866,0.1925,4.0059,1085.9,72.91,9.1273,"0.9382 [0.9192,0.9523]","+0.1898 [+0.1563,+0.2176]","0.9757 [0.9596,0.9826]","+0.0979 [+0.0720,+0.1568]"
primary,"0,1",0.5,8,ORACLE-on-true-light,9.5736,0.2081,3.9044,1296.2,94.02,10.0988,"0.8810 [0.8566,0.9124]","+0.1326 [+0.1164,+0.1557]","0.9376 [0.8957,0.9563]","+0.0598 [+0.0471,+0.0912]"
primary,"0,1",0.5,8,ORACLE-top0.1pct-over,11.3474,0.2313,4.6797,1296.1,85.29,10.9274,"0.7520 [0.7207,0.7819]","+0.0037 [-0.0006,+0.0074] ns","0.8809 [0.8089,0.9116]","+0.0030 [+0.0007,+0.0048]"
primary,"0,1",0.5,8,ORACLE-top0.1pct-under,10.9244,0.2223,4.6164,1102.1,77.98,10.7362,"0.7828 [0.7477,0.8107]","+0.0344 [+0.0191,+0.0459]","0.9028 [0.8363,0.9304]","+0.0250 [+0.0183,+0.0364]"
primary,"0,1",0.5,8,ORACLE-top1.0pct-over,10.5999,0.2189,4.5044,1290.4,89.0,10.6556,"0.8063 [0.7801,0.8293]","+0.0580 [+0.0419,+0.0722]","0.9111 [0.8562,0.9350]","+0.0333 [+0.0245,+0.0526]"
primary,"0,1",0.5,8,ORACLE-top1.0pct-under,8.7597,0.1932,4.0075,1076.4,71.13,9.1578,"0.9401 [0.9217,0.9522]","+0.1918 [+0.1586,+0.2180]","0.9739 [0.9585,0.9806]","+0.0961 [+0.0701,+0.1550]"
primary,"0,1",0.8,5,FCFS,110.5858,4.1896,83.29,935.6,336.89,211.9349,"0.0000 [0.0000,0.0000]","-0.8648 [-0.8835,-0.8413]","0.0000 [0.0000,0.0000]","-0.9155 [-0.9312,-0.8799]"
primary,"0,1",0.8,5,SJF-ref,33.1997,0.9416,25.4386,2914.1,268.25,32.2805,"1.0000 [1.0000,1.0000]","+0.1352 [+0.1165,+0.1587]","1.0000 [1.0000,1.0000]","+0.0845 [+0.0688,+0.1201]"
primary,"0,1",0.8,5,SPJF-M4,43.6585,1.2158,29.9748,3182.0,315.49,39.1413,"0.8648 [0.8413,0.8835]",,"0.9155 [0.8799,0.9312]",
