==============================================================================
C2 part 1  two-size batch family, k = 1, base = exact SJF, rule R
==============================================================================
(m,n,L,sigma)          G    cap ell    closed F   pred phi_R PropA1 sz  maxexc
(3, 4, 6, 2)           0    2          0          0          0          0
(3, 4, 6, 2)           0    4          0          0          0          0
(3, 4, 6, 2)           0    6          0          0          0          0
(3, 4, 6, 2)           2    2          1/4        1/4        1/4        2
(3, 4, 6, 2)           2    4          0          0          1/4        0
(3, 4, 6, 2)           2    6          0          0          1/4        0
(3, 4, 6, 2)           6    2          3/4        3/4        3/4        6
(3, 4, 6, 2)           6    4          1/2        1/2        3/4        4
(3, 4, 6, 2)           6    6          1/4        1/4        3/4        2
(3, 4, 6, 2)           8    2          1          1          1          8
(3, 4, 6, 2)           8    4          3/4        3/4        1          6
(3, 4, 6, 2)           8    6          1/2        1/2        1          4
(3, 4, 6, 2)           12   2          1          1          1          8
(3, 4, 6, 2)           12   4          1          1          1          8
(3, 4, 6, 2)           12   6          1          1          1          8
(2, 5, 8, 3)           0    3          0          0          0          0
(2, 5, 8, 3)           0    5          0          0          0          0
(2, 5, 8, 3)           0    8          0          0          0          0
(2, 5, 8, 3)           3    3          1/5        1/5        1/5        3
(2, 5, 8, 3)           3    5          0          0          1/5        0
(2, 5, 8, 3)           3    8          0          0          1/5        0
(2, 5, 8, 3)           8    3          2/5        2/5        2/5        6
(2, 5, 8, 3)           8    5          2/5        2/5        2/5        6
(2, 5, 8, 3)           8    8          1/5        1/5        2/5        3
(2, 5, 8, 3)           11   3          3/5        3/5        3/5        9
(2, 5, 8, 3)           11   5          3/5        3/5        3/5        9
(2, 5, 8, 3)           11   8          2/5        2/5        3/5        6
(2, 5, 8, 3)           16   3          1          1          1          15
(2, 5, 8, 3)           16   5          4/5        4/5        1          12
(2, 5, 8, 3)           16   8          3/5        3/5        1          9
(4, 4, 5, 1)           0    1          0          0          0          0
(4, 4, 5, 1)           0    3          0          0          0          0
(4, 4, 5, 1)           0    5          0          0          0          0
(4, 4, 5, 1)           1    1          1/4        1/4        1/4        1
(4, 4, 5, 1)           1    3          0          0          1/4        0
(4, 4, 5, 1)           1    5          0          0          1/4        0
(4, 4, 5, 1)           5    1          1          1          1          4
(4, 4, 5, 1)           5    3          3/4        3/4        1          3
(4, 4, 5, 1)           5    5          1/4        1/4        1          1
(4, 4, 5, 1)           6    1          1          1          1          4
(4, 4, 5, 1)           6    3          1          1          1          4
(4, 4, 5, 1)           6    5          1/2        1/2        1          2
(4, 4, 5, 1)           10   1          1          1          1          4
(4, 4, 5, 1)           10   3          1          1          1          4
(4, 4, 5, 1)           10   5          1          1          1          4
(3, 6, 12, 4)          0    4          0          0          0          0
(3, 6, 12, 4)          0    8          0          0          0          0
(3, 6, 12, 4)          0    12         0          0          0          0
(3, 6, 12, 4)          4    4          1/6        1/6        1/6        4
(3, 6, 12, 4)          4    8          0          0          1/6        0
(3, 6, 12, 4)          4    12         0          0          1/6        0
(3, 6, 12, 4)          12   4          1/2        1/2        1/2        12
(3, 6, 12, 4)          12   8          1/3        1/3        1/2        8
(3, 6, 12, 4)          12   12         1/6        1/6        1/2        4
(3, 6, 12, 4)          16   4          2/3        2/3        2/3        16
(3, 6, 12, 4)          16   8          1/2        1/2        2/3        12
(3, 6, 12, 4)          16   12         1/3        1/3        2/3        8
(3, 6, 12, 4)          24   4          1          1          1          24
(3, 6, 12, 4)          24   8          5/6        5/6        1          20
(3, 6, 12, 4)          24   12         2/3        2/3        1          16
(5, 3, 9, 2)           0    2          0          0          0          0
(5, 3, 9, 2)           0    5          0          0          0          0
(5, 3, 9, 2)           0    9          0          0          0          0
(5, 3, 9, 2)           2    2          1/3        1/3        1/3        2
(5, 3, 9, 2)           2    5          0          0          1/3        0
(5, 3, 9, 2)           2    9          0          0          1/3        0
(5, 3, 9, 2)           9    2          1          1          1          6
(5, 3, 9, 2)           9    5          1          1          1          6
(5, 3, 9, 2)           9    9          1/3        1/3        1          2
(5, 3, 9, 2)           11   2          1          1          1          6
(5, 3, 9, 2)           11   5          1          1          1          6
(5, 3, 9, 2)           11   9          2/3        2/3        1          4
(5, 3, 9, 2)           18   2          1          1          1          6
(5, 3, 9, 2)           18   5          1          1          1          6
(5, 3, 9, 2)           18   9          1          1          1          6
(2, 7, 10, 5)          0    5          0          0          0          0
(2, 7, 10, 5)          0    7          0          0          0          0
(2, 7, 10, 5)          0    10         0          0          0          0
(2, 7, 10, 5)          5    5          1/7        1/7        1/7        5
(2, 7, 10, 5)          5    7          0          0          1/7        0
(2, 7, 10, 5)          5    10         0          0          1/7        0
(2, 7, 10, 5)          10   5          2/7        2/7        2/7        10
(2, 7, 10, 5)          10   7          1/7        1/7        2/7        5
(2, 7, 10, 5)          10   10         1/7        1/7        2/7        5
(2, 7, 10, 5)          15   5          3/7        3/7        3/7        15
(2, 7, 10, 5)          15   7          2/7        2/7        3/7        10
(2, 7, 10, 5)          15   10         2/7        2/7        3/7        10
(2, 7, 10, 5)          20   5          4/7        4/7        4/7        20
(2, 7, 10, 5)          20   7          3/7        3/7        4/7        15
(2, 7, 10, 5)          20   10         3/7        3/7        4/7        15

rows checked 468, mismatches 0
phi_R(ell)=min(1,max(0,floor((G-ell)/sigma)+1)/n);  at ell=sigma it equals Prop.A1 floor(G/sigma)/n, at ell=L the oblivious frontier.

==============================================================================
C2 part 2  necessity of rule R's test at k = 1 (relabelling)
==============================================================================
rejected-candidate relabelling tests: 117108
cases where the relabelled excess did NOT exceed G: 0
(every rejection is therefore forced: no cap-informed wrapper with promise G may permit it)
